corpus,comparison,model,window,endpoint,unit,hypothesis_test,mean_pp,n_draws,df,sd_draw_pp,se_pp,interval_scope,p_two_sided,holm_p_ten,pointwise_95_ci_pp,status,t_statistic
cremad,hubert_minus_wavlm15,hubert_minus_wavlm,15,D_CE,percentage_points,False,0.5578312915129221,24,23,1.6474889232941106,0.3362922682464855,pointwise95%; conditional on fixed corpus/panels/program,NA,NA,"[-0.13784226852025427, 1.2535048515460985]",descriptive_estimate,NA
cremad,hubert_minus_wavlm15,hubert_minus_wavlm,15,D_UAR,percentage_points,False,0.1691705669388848,24,23,1.7451273497111865,0.356222628580662,pointwise95%; conditional on fixed corpus/panels/program,NA,NA,"[-0.5677320846779798, 0.9060732185557493]",descriptive_estimate,NA
cremad,hubert_minus_wavlm15,hubert_minus_wavlm,15,J,percentage_points,False,0.3886607245740373,24,23,2.3307400754281744,0.4757603256545837,pointwise95%; conditional on fixed corpus/panels/program,NA,NA,"[-0.5955244938267623, 1.3728459429748368]",descriptive_estimate,NA
cremad,hubert_minus_wavlm15,hubert_minus_wavlm,15,T_seen_ce,percentage_points,False,1.88121956710708,24,23,2.277395839589766,0.464871479111018,pointwise95%; conditional on fixed corpus/panels/program,NA,NA,"[0.9195596439773127, 2.842879490236847]",descriptive_estimate,NA
cremad,hubert_minus_wavlm15,hubert_minus_wavlm,15,T_unseen_ce,percentage_points,False,1.323388275594158,24,23,1.5712106601898816,0.3207220329905584,pointwise95%; conditional on fixed corpus/panels/program,NA,NA,"[0.6599242012191702, 1.9868523499691457]",descriptive_estimate,NA
cremad,hubert_minus_wavlm15,hubert_minus_wavlm,15,T_seen_uar,percentage_points,False,2.241896318973202,24,23,2.0509233923040706,0.4186429843902418,pointwise95%; conditional on fixed corpus/panels/program,NA,NA,"[1.3758673232657856, 3.1079253146806187]",descriptive_estimate,NA
cremad,hubert_minus_wavlm15,hubert_minus_wavlm,15,T_unseen_uar,percentage_points,False,2.0727257520343176,24,23,1.8935624081790643,0.38652180801286934,pointwise95%; conditional on fixed corpus/panels/program,NA,NA,"[1.2731444722955652, 2.87230703177307]",descriptive_estimate,NA
cremad,hubert_minus_wavlm15,hubert_minus_wavlm,15,T_last,percentage_points,False,3.206773441616063,24,23,2.6667677246866526,0.5443516823337659,pointwise95%; conditional on fixed corpus/panels/program,NA,NA,"[2.0806961912119055, 4.33285069202022]",descriptive_estimate,NA
cremad,model_window,hubert_base,15,D_CE,percentage_points,False,1.5761419431440071,24,23,1.36493871712714,0.2786169489275466,pointwise95%; conditional on fixed corpus/panels/program,NA,NA,"[0.9997788713533025, 2.152505014934712]",descriptive_estimate,NA
cremad,model_window,hubert_base,15,D_UAR,percentage_points,False,0.28011822535816344,24,23,1.1594030225418555,0.23666215095567408,pointwise95%; conditional on fixed corpus/panels/program,NA,NA,"[-0.20945473431443346, 0.7696911850307604]",descriptive_estimate,NA
cremad,model_window,hubert_base,15,J,percentage_points,False,1.2960237177858438,24,23,1.8877013535784932,0.38532542525237007,pointwise95%; conditional on fixed corpus/panels/program,NA,NA,"[0.49891734434957224, 2.0931300912221156]",descriptive_estimate,NA
cremad,model_window,hubert_base,15,T_seen_ce,UAR_percent,False,57.00214476317417,24,23,1.733210614973597,0.35379013528839587,pointwise95%; conditional on fixed corpus/panels/program,NA,NA,"[56.27027410731865, 57.734015419029696]",descriptive_estimate,NA
cremad,model_window,hubert_base,15,T_unseen_ce,UAR_percent,False,55.42600282003017,24,23,1.6851516563272433,0.34398014143397215,pointwise95%; conditional on fixed corpus/panels/program,NA,NA,"[54.71442568261976, 56.13757995744058]",descriptive_estimate,NA
cremad,model_window,hubert_base,15,T_seen_uar,UAR_percent,False,58.78265037869011,24,23,1.475983470131129,0.30128386421697684,pointwise95%; conditional on fixed corpus/panels/program,NA,NA,"[58.159397220081196, 59.40590353729902]",descriptive_estimate,NA
cremad,model_window,hubert_base,15,T_unseen_uar,UAR_percent,False,58.50253215333195,24,23,1.4734088469423288,0.3007583214592687,pointwise95%; conditional on fixed corpus/panels/program,NA,NA,"[57.88036616274837, 59.12469814391552]",descriptive_estimate,NA
cremad,model_window,hubert_base,15,T_last,UAR_percent,False,56.446335260447746,24,23,2.0738122162076635,0.42331514600492687,pointwise95%; conditional on fixed corpus/panels/program,NA,NA,"[55.570641162059005, 57.32202935883649]",descriptive_estimate,NA
cremad,model_window,wavlm_base_plus,15,D_CE,percentage_points,False,1.0183106516310851,24,23,1.4263961083876886,0.29116188638679047,pointwise95%; conditional on fixed corpus/panels/program,NA,NA,"[0.41599639949308465, 1.6206249037690856]",descriptive_estimate,NA
cremad,model_window,wavlm_base_plus,15,D_UAR,percentage_points,False,0.11094765841927864,24,23,1.000429076593009,0.20421173012471852,pointwise95%; conditional on fixed corpus/panels/program,NA,NA,"[-0.3114964912400612, 0.5333918080786185]",descriptive_estimate,NA
cremad,model_window,wavlm_base_plus,15,J,percentage_points,False,0.9073629932118065,24,23,1.6889140464178272,0.3447481360952417,pointwise95%; conditional on fixed corpus/panels/program,NA,NA,"[0.19419713780060288, 1.62052884862301]",descriptive_estimate,NA
cremad,model_window,wavlm_base_plus,15,T_seen_ce,UAR_percent,False,55.1209251960671,24,23,2.0032435861674043,0.4089103847177706,pointwise95%; conditional on fixed corpus/panels/program,NA,NA,"[54.2750296167413, 55.9668207753929]",descriptive_estimate,NA
cremad,model_window,wavlm_base_plus,15,T_unseen_ce,UAR_percent,False,54.10261454443601,24,23,1.8721959888230149,0.3821604059251487,pointwise95%; conditional on fixed corpus/panels/program,NA,NA,"[53.31205551231812, 54.8931735765539]",descriptive_estimate,NA
cremad,model_window,wavlm_base_plus,15,T_seen_uar,UAR_percent,False,56.54075405971691,24,23,1.5780269775994293,0.3221134079554119,pointwise95%; conditional on fixed corpus/panels/program,NA,NA,"[55.87441170693193, 57.20709641250189]",descriptive_estimate,NA
