unit_id,corpus,draw,fold,model,window,units,D_CE_pp,D_UAR_pp,J_pp,T_seen_ce_pp,T_unseen_ce_pp,T_seen_uar_pp,T_unseen_uar_pp,T_last_pp,epoch_last,epoch_seen_ce,epoch_unseen_ce,epoch_seen_uar,epoch_unseen_uar,ce_epoch_disagreement,uar_epoch_disagreement
ads2_formal_cremad_d00_f0_wavlm_base_plus_A,cremad,0,0,wavlm_base_plus,15,"{""D_CE"": ""percentage_points"", ""D_UAR"": ""percentage_points"", ""J"": ""percentage_points"", ""T_seen_ce"": ""UAR_percent"", ""T_unseen_ce"": ""UAR_percent"", ""T_seen_uar"": ""UAR_percent"", ""T_unseen_uar"": ""UAR_percent"", ""T_last"": ""UAR_percent""}",0.0,0.0,0.0,53.733997155049785,53.733997155049785,59.815078236130866,59.815078236130866,49.17022285443338,15,4,4,8,8,0,0
ads2_formal_cremad_d00_f0_hubert_base_A,cremad,0,0,hubert_base,15,"{""D_CE"": ""percentage_points"", ""D_UAR"": ""percentage_points"", ""J"": ""percentage_points"", ""T_seen_ce"": ""UAR_percent"", ""T_unseen_ce"": ""UAR_percent"", ""T_seen_uar"": ""UAR_percent"", ""T_unseen_uar"": ""UAR_percent"", ""T_last"": ""UAR_percent""}",1.256519677572309,0.45045045045045046,0.8060692271218587,54.599336178283544,53.34281650071124,54.599336178283544,54.1488857278331,52.821242294926506,15,8,4,8,12,1,1
ads2_formal_cremad_d00_f1_wavlm_base_plus_A,cremad,0,1,wavlm_base_plus,15,"{""D_CE"": ""percentage_points"", ""D_UAR"": ""percentage_points"", ""J"": ""percentage_points"", ""T_seen_ce"": ""UAR_percent"", ""T_unseen_ce"": ""UAR_percent"", ""T_seen_uar"": ""UAR_percent"", ""T_unseen_uar"": ""UAR_percent"", ""T_last"": ""UAR_percent""}",1.3157894736842106,1.3157894736842106,0.0,64.91228070175438,63.59649122807018,64.91228070175438,63.59649122807018,54.3859649122807,15,7,5,7,5,1,1
ads2_formal_cremad_d00_f1_hubert_base_A,cremad,0,1,hubert_base,15,"{""D_CE"": ""percentage_points"", ""D_UAR"": ""percentage_points"", ""J"": ""percentage_points"", ""T_seen_ce"": ""UAR_percent"", ""T_unseen_ce"": ""UAR_percent"", ""T_seen_uar"": ""UAR_percent"", ""T_unseen_uar"": ""UAR_percent"", ""T_last"": ""UAR_percent""}",4.824561403508772,0.0,4.824561403508772,64.47368421052632,59.64912280701754,68.42105263157895,68.42105263157895,67.10526315789474,15,4,3,14,14,1,0
ads2_formal_cremad_d00_f2_wavlm_base_plus_A,cremad,0,2,wavlm_base_plus,15,"{""D_CE"": ""percentage_points"", ""D_UAR"": ""percentage_points"", ""J"": ""percentage_points"", ""T_seen_ce"": ""UAR_percent"", ""T_unseen_ce"": ""UAR_percent"", ""T_seen_uar"": ""UAR_percent"", ""T_unseen_uar"": ""UAR_percent"", ""T_last"": ""UAR_percent""}",0.0,-7.017543859649122,7.017543859649122,58.771929824561404,58.771929824561404,57.45614035087719,64.47368421052632,53.07017543859649,15,7,7,11,13,0,1
ads2_formal_cremad_d00_f2_hubert_base_A,cremad,0,2,hubert_base,15,"{""D_CE"": ""percentage_points"", ""D_UAR"": ""percentage_points"", ""J"": ""percentage_points"", ""T_seen_ce"": ""UAR_percent"", ""T_unseen_ce"": ""UAR_percent"", ""T_seen_uar"": ""UAR_percent"", ""T_unseen_uar"": ""UAR_percent"", ""T_last"": ""UAR_percent""}",0.0,1.3157894736842106,-1.3157894736842106,65.35087719298245,65.35087719298245,63.1578947368421,61.8421052631579,55.70175438596491,15,7,7,13,8,0,1
ads2_formal_cremad_d00_f3_wavlm_base_plus_A,cremad,0,3,wavlm_base_plus,15,"{""D_CE"": ""percentage_points"", ""D_UAR"": ""percentage_points"", ""J"": ""percentage_points"", ""T_seen_ce"": ""UAR_percent"", ""T_unseen_ce"": ""UAR_percent"", ""T_seen_uar"": ""UAR_percent"", ""T_unseen_uar"": ""UAR_percent"", ""T_last"": ""UAR_percent""}",0.0,0.0,0.0,54.54545454545455,54.54545454545455,57.57575757575758,57.57575757575758,54.04040404040404,15,7,7,12,12,0,0
ads2_formal_cremad_d00_f3_hubert_base_A,cremad,0,3,hubert_base,15,"{""D_CE"": ""percentage_points"", ""D_UAR"": ""percentage_points"", ""J"": ""percentage_points"", ""T_seen_ce"": ""UAR_percent"", ""T_unseen_ce"": ""UAR_percent"", ""T_seen_uar"": ""UAR_percent"", ""T_unseen_uar"": ""UAR_percent"", ""T_last"": ""UAR_percent""}",0.0,-1.5151515151515151,1.5151515151515151,57.07070707070707,57.07070707070707,54.54545454545455,56.06060606060606,53.535353535353536,15,4,4,14,10,0,1
ads2_formal_cremad_d00_f4_wavlm_base_plus_A,cremad,0,4,wavlm_base_plus,15,"{""D_CE"": ""percentage_points"", ""D_UAR"": ""percentage_points"", ""J"": ""percentage_points"", ""T_seen_ce"": ""UAR_percent"", ""T_unseen_ce"": ""UAR_percent"", ""T_seen_uar"": ""UAR_percent"", ""T_unseen_uar"": ""UAR_percent"", ""T_last"": ""UAR_percent""}",-1.9607843137254901,-3.9215686274509802,1.9607843137254901,49.01960784313726,50.98039215686274,53.431372549019606,57.35294117647059,53.431372549019606,15,6,5,10,12,1,1
ads2_formal_cremad_d00_f4_hubert_base_A,cremad,0,4,hubert_base,15,"{""D_CE"": ""percentage_points"", ""D_UAR"": ""percentage_points"", ""J"": ""percentage_points"", ""T_seen_ce"": ""UAR_percent"", ""T_unseen_ce"": ""UAR_percent"", ""T_seen_uar"": ""UAR_percent"", ""T_unseen_uar"": ""UAR_percent"", ""T_last"": ""UAR_percent""}",0.0,-0.9803921568627451,0.9803921568627451,51.470588235294116,51.470588235294116,52.94117647058823,53.92156862745098,52.450980392156865,15,3,3,7,13,0,1
