corpus,model,window,criterion,draw,folds,seen_minus_unseen_outer_uar_pp
subesco,wavlm_base_plus,1,CE,0,5,0.0
subesco,wavlm_base_plus,1,CE,1,5,0.0
subesco,wavlm_base_plus,1,CE,2,5,0.0
subesco,wavlm_base_plus,1,CE,3,5,0.0
subesco,wavlm_base_plus,1,CE,4,5,0.0
subesco,wavlm_base_plus,1,CE,5,5,0.0
subesco,wavlm_base_plus,1,CE,6,5,0.0
subesco,wavlm_base_plus,1,CE,7,5,0.0
subesco,wavlm_base_plus,1,CE,8,5,0.0
subesco,wavlm_base_plus,1,CE,9,5,0.0
subesco,wavlm_base_plus,1,CE,10,5,0.0
subesco,wavlm_base_plus,1,CE,11,5,0.0
subesco,wavlm_base_plus,1,CE,12,5,0.0
subesco,wavlm_base_plus,1,CE,13,5,0.0
subesco,wavlm_base_plus,1,CE,14,5,0.0
subesco,wavlm_base_plus,1,CE,15,5,0.0
subesco,wavlm_base_plus,1,CE,16,5,0.0
subesco,wavlm_base_plus,1,CE,17,5,0.0
subesco,wavlm_base_plus,1,CE,18,5,0.0
subesco,wavlm_base_plus,1,CE,19,5,0.0
subesco,wavlm_base_plus,1,CE,20,5,0.0
subesco,wavlm_base_plus,1,CE,21,5,0.0
subesco,wavlm_base_plus,1,CE,22,5,0.0
subesco,wavlm_base_plus,1,CE,23,5,0.0
subesco,wavlm_base_plus,1,UAR,0,5,0.0
subesco,wavlm_base_plus,1,UAR,1,5,0.0
subesco,wavlm_base_plus,1,UAR,2,5,0.0
subesco,wavlm_base_plus,1,UAR,3,5,0.0
subesco,wavlm_base_plus,1,UAR,4,5,0.0
subesco,wavlm_base_plus,1,UAR,5,5,0.0
subesco,wavlm_base_plus,1,UAR,6,5,0.0
subesco,wavlm_base_plus,1,UAR,7,5,0.0
subesco,wavlm_base_plus,1,UAR,8,5,0.0
subesco,wavlm_base_plus,1,UAR,9,5,0.0
subesco,wavlm_base_plus,1,UAR,10,5,0.0
subesco,wavlm_base_plus,1,UAR,11,5,0.0
subesco,wavlm_base_plus,1,UAR,12,5,0.0
subesco,wavlm_base_plus,1,UAR,13,5,0.0
subesco,wavlm_base_plus,1,UAR,14,5,0.0
subesco,wavlm_base_plus,1,UAR,15,5,0.0
subesco,wavlm_base_plus,1,UAR,16,5,0.0
subesco,wavlm_base_plus,1,UAR,17,5,0.0
subesco,wavlm_base_plus,1,UAR,18,5,0.0
subesco,wavlm_base_plus,1,UAR,19,5,0.0
subesco,wavlm_base_plus,1,UAR,20,5,0.0
subesco,wavlm_base_plus,1,UAR,21,5,0.0
subesco,wavlm_base_plus,1,UAR,22,5,0.0
subesco,wavlm_base_plus,1,UAR,23,5,0.0
subesco,wavlm_base_plus,2,CE,0,5,0.0
subesco,wavlm_base_plus,2,CE,1,5,0.0
subesco,wavlm_base_plus,2,CE,2,5,0.0
subesco,wavlm_base_plus,2,CE,3,5,0.0
subesco,wavlm_base_plus,2,CE,4,5,0.0
subesco,wavlm_base_plus,2,CE,5,5,0.0
subesco,wavlm_base_plus,2,CE,6,5,0.0
subesco,wavlm_base_plus,2,CE,7,5,0.0
subesco,wavlm_base_plus,2,CE,8,5,0.0
subesco,wavlm_base_plus,2,CE,9,5,0.0
subesco,wavlm_base_plus,2,CE,10,5,0.0
subesco,wavlm_base_plus,2,CE,11,5,0.0
