kind,model,B,S,scenario,contrast,primary,unit,estimate,ci95_low,ci95_high,n_speakers
absolute,ridge_wavlm,288,12,prompt_seen,,False,UAR %,44.741369741369745,43.450496262996275,45.98734598734598,91
absolute,ridge_wavlm,288,12,prompt_new,,False,UAR %,28.535816035816033,27.753704628704632,29.302688052688055,91
absolute,ridge_wavlm,288,48,prompt_seen,,False,UAR %,44.53971953971954,43.204006641506645,45.85794992044992,91
absolute,ridge_wavlm,288,48,prompt_new,,False,UAR %,29.26980426980427,28.569567007067008,30.00334156584157,91
absolute,ridge_wavlm,576,12,prompt_seen,,False,UAR %,46.96460946460946,45.51417332667333,48.40809653309654,91
absolute,ridge_wavlm,576,12,prompt_new,,False,UAR %,28.325840825840825,27.66816516816517,28.98589836089836,91
absolute,ridge_wavlm,576,48,prompt_seen,,False,UAR %,46.5007215007215,45.119695119695116,47.83646908646909,91
absolute,ridge_wavlm,576,48,prompt_new,,False,UAR %,28.387815887815886,27.69497863247863,29.077889702889706,91
absolute,cnn,288,12,prompt_seen,,False,UAR %,41.27307877307877,39.725829725829726,42.832179394679386,91
absolute,cnn,288,12,prompt_new,,False,UAR %,40.24031524031524,38.69046462796463,41.82624088874089,91
absolute,cnn,288,48,prompt_seen,,False,UAR %,42.573167573167574,40.85403022903022,44.28904428904429,91
absolute,cnn,288,48,prompt_new,,False,UAR %,41.32025382025382,39.663577163577166,42.96400358900358,91
absolute,cnn,576,12,prompt_seen,,False,UAR %,43.141118141118135,41.47930772930773,44.80151792651793,91
absolute,cnn,576,12,prompt_new,,False,UAR %,41.05801605801606,39.42255661005661,42.666650479150476,91
absolute,cnn,576,48,prompt_seen,,False,UAR %,45.288507788507786,43.54995698745699,47.06595487845489,91
absolute,cnn,576,48,prompt_new,,False,UAR %,43.218818218818214,41.55100686350687,44.87133237133237,91
contrast,ridge_wavlm,288,,prompt_new,S48_minus_S12,True,percentage points,0.7339882339882342,0.07302882302882337,1.4342601842601836,91
contrast,ridge_wavlm,288,,prompt_seen,S48_minus_S12,False,percentage points,-0.20165020165020206,-1.053113553113554,0.6239131239131235,91
contrast,ridge_wavlm,288,,,new_minus_seen_of_S48_minus_S12,False,percentage points,0.935638435638436,-0.08514633514633539,1.9772126022126029,91
contrast,ridge_wavlm,576,,prompt_new,S48_minus_S12,True,percentage points,0.061975061975062105,-0.643361268361268,0.756211381211381,91
contrast,ridge_wavlm,576,,prompt_seen,S48_minus_S12,False,percentage points,-0.4638879638879626,-1.3999888999888987,0.4352360602360603,91
contrast,ridge_wavlm,576,,,new_minus_seen_of_S48_minus_S12,False,percentage points,0.5258630258630247,-0.5540871165871182,1.6229372479372461,91
contrast,cnn,288,,prompt_new,S48_minus_S12,True,percentage points,1.07993857993858,0.49947737447737417,1.6650016650016646,91
contrast,cnn,288,,prompt_seen,S48_minus_S12,False,percentage points,1.3000888000888,0.7015785140785141,1.9055134680134678,91
contrast,cnn,288,,,new_minus_seen_of_S48_minus_S12,False,percentage points,-0.2201502201502202,-0.9162481037481035,0.4897995522995522,91
contrast,cnn,576,,prompt_new,S48_minus_S12,True,percentage points,2.160802160802161,1.5405427905427902,2.7787143412143407,91
contrast,cnn,576,,prompt_seen,S48_minus_S12,False,percentage points,2.147389647389647,1.5738890738890738,2.7195142820142815,91
contrast,cnn,576,,,new_minus_seen_of_S48_minus_S12,False,percentage points,0.01341251341251314,-0.5980130980130975,0.6512122137122127,91
