candidate_id,first_seen_at,discovery_source,search_ids,repo_url,canonical_repo_url,paper_title,paper_url,target_datasets,repo_relation,screening_status,exclusion_code,exclusion_reason,duplicate_of,notes
C001,2026-08-10T14:54:27-04:00,GitHub|GitHubAPI,GH01|RC_GH_RAV_1|RC_GH_RAV_2,https://github.com/hwang9u/emocatcher,https://github.com/hwang9u/emocatcher,,,RAVDESS,supplemental_code,include,,,,Pilot audited at df2135ff858f913861d2b7221f282b567705a22e || raw GitHub repository-search hit; GH-RAV-1 rank=9; raw GitHub repository-search hit; GH-RAV-2 rank=12
C002,2026-08-10T14:54:27-04:00,GitHub|GitHubAPI,GH01|RC_GH_RAV_1|RC_GH_RAV_2,https://github.com/yipenglai/Audio-Emotion-Classification,https://github.com/yipenglai/Audio-Emotion-Classification,,,RAVDESS,unknown,pending,,,,raw GitHub repository-search hit; GH-RAV-1 rank=11; raw GitHub repository-search hit; GH-RAV-2 rank=15
C003,2026-08-10T14:54:27-04:00,GitHub|GitHubAPI,GH01|RC_GH_RAV_1|RC_GH_RAV_2,https://github.com/mohnikbakht/RAVDESS_Speech_Emotion_Recognition,https://github.com/mohnikbakht/RAVDESS_Speech_Emotion_Recognition,,,RAVDESS,unknown,pending,,,,raw GitHub repository-search hit; GH-RAV-1 rank=18; raw GitHub repository-search hit; GH-RAV-2 rank=28
C004,2026-08-10T14:54:27-04:00,GitHub,GH01,https://github.com/bradleyshelley99/Speech-Emotion-Recognition-through-Ensemble-Learning,https://github.com/bradleyshelley99/Speech-Emotion-Recognition-through-Ensemble-Learning,,,RAVDESS,unknown,pending,,,,
C005,2026-08-10T14:54:27-04:00,GitHub,GH01,https://github.com/SaqibShah-dev/Speech-emotion-recognition-cnn-lstm,https://github.com/SaqibShah-dev/Speech-emotion-recognition-cnn-lstm,,,RAVDESS,unknown,pending,,,,
C006,2026-08-10T14:54:27-04:00,GitHub,GH01,https://github.com/DiveshSonawane/Speech-Emotion-Recognition,https://github.com/DiveshSonawane/Speech-Emotion-Recognition,,,RAVDESS,unknown,pending,,,,
C007,2026-08-10T14:54:27-04:00,GitHub|GitHubAPI,GH01|RC_GH_RAV_1|RC_GH_RAV_2,https://github.com/azraa4/RAVDESS-Speech-Emotion-Recognition,https://github.com/azraa4/RAVDESS-Speech-Emotion-Recognition,,,RAVDESS,unknown,pending,,,,raw GitHub repository-search hit; GH-RAV-1 rank=46; raw GitHub repository-search hit; GH-RAV-2 rank=73
C008,2026-08-10T14:54:27-04:00,GitHub|GitHubAPI,GH01|RC_GH_RAV_1,https://github.com/GaybsGimenez/RAVDESS-Speech-Emotion-Recognition-SER,https://github.com/GaybsGimenez/RAVDESS-Speech-Emotion-Recognition-SER,,,RAVDESS,unknown,pending,,,,raw GitHub repository-search hit; GH-RAV-1 rank=63
C009,2026-08-10T14:54:27-04:00,GitHub|GitHubAPI,GH01|RC_GH_RAV_1|RC_GH_RAV_2,https://github.com/devansh-tiwari-2003/Ravdess-Speech-emotion-recognition-system,https://github.com/devansh-tiwari-2003/Ravdess-Speech-emotion-recognition-system,,,RAVDESS,unknown,pending,,,,raw GitHub repository-search hit; GH-RAV-1 rank=62; raw GitHub repository-search hit; GH-RAV-2 rank=100
C010,2026-08-10T14:54:27-04:00,GitHub,GH01,https://github.com/sanskardherange/codeAlpha_EmotionRecognition,https://github.com/sanskardherange/codeAlpha_EmotionRecognition,,,RAVDESS,unknown,pending,,,,
C011,2026-08-10T14:54:27-04:00,GitHub,GH01,https://github.com/humayooniqbal12-star/Emotion-Recognition-from-Speech,https://github.com/humayooniqbal12-star/Emotion-Recognition-from-Speech,,,RAVDESS,unknown,pending,,,,
C012,2026-08-10T14:54:27-04:00,GitHub|GitHubAPI,GH02|RC_GH_RAV_2,https://github.com/nik-2002/ravdess-emotion-recognition,https://github.com/nik-2002/ravdess-emotion-recognition,,,RAVDESS,unknown,pending,,,,raw GitHub repository-search hit; GH-RAV-2 rank=63
C013,2026-08-10T14:54:27-04:00,GitHub|GitHubAPI,GH02|RC_GH_RAV_2,https://github.com/Ab-Romia/RAVDESS-emotion-recognition,https://github.com/Ab-Romia/RAVDESS-emotion-recognition,,,RAVDESS,unknown,pending,,,,raw GitHub repository-search hit; GH-RAV-2 rank=59
C014,2026-08-10T14:54:27-04:00,GitHub|GitHubAPI,GH02|RC_GH_RAV_2,https://github.com/lh060616/RAVDESS-Emotion-Recognition-Epoch,https://github.com/lh060616/RAVDESS-Emotion-Recognition-Epoch,,,RAVDESS,unknown,pending,,,,raw GitHub repository-search hit; GH-RAV-2 rank=69
C015,2026-08-10T14:54:27-04:00,GitHub,GH02,https://github.com/Nabilthahamid/CSE_427_RAVDESS-Emotion-Recognition-System,https://github.com/Nabilthahamid/CSE_427_RAVDESS-Emotion-Recognition-System,,,RAVDESS,unknown,pending,,,,
C016,2026-08-10T14:54:27-04:00,GitHub|GitHubAPI,GH02|RC_GH_RAV_2,https://github.com/khirobenn/RAVDESS-Emotion-Recognition-from-Speech,https://github.com/khirobenn/RAVDESS-Emotion-Recognition-from-Speech,,,RAVDESS,unknown,pending,,,,raw GitHub repository-search hit; GH-RAV-2 rank=96
C017,2026-08-10T14:54:27-04:00,GitHub|GitHubAPI,GH02|RC_GH_RAV_2,https://github.com/Nabilthahamid/RAVDESS-Emotion-Recognition-System-,https://github.com/Nabilthahamid/RAVDESS-Emotion-Recognition-System-,,,RAVDESS,unknown,pending,,,,raw GitHub repository-search hit; GH-RAV-2 rank=84
C018,2026-08-10T14:54:27-04:00,GitHub|GitHubAPI,GH02|RC_GH_RAV_2,https://github.com/Pranav-RB/ravdess-emotion-recognition,https://github.com/Pranav-RB/ravdess-emotion-recognition,,,RAVDESS,unknown,pending,,,,raw GitHub repository-search hit; GH-RAV-2 rank=57
C019,2026-08-10T14:54:27-04:00,GitHub|GitHubAPI,GH02|RC_GH_RAV_1|RC_GH_RAV_2,https://github.com/Aneeqa-Irej/ravdess-emotion-recognition,https://github.com/Aneeqa-Irej/ravdess-emotion-recognition,,,RAVDESS,unknown,pending,,,,raw GitHub repository-search hit; GH-RAV-1 rank=100; raw GitHub repository-search hit; GH-RAV-2 rank=53
C020,2026-08-10T14:54:27-04:00,GitHub|GitHubAPI,GH02|RC_GH_RAV_2,https://github.com/BeestRatish/RAVDESS-Emotion-Recognition,https://github.com/BeestRatish/RAVDESS-Emotion-Recognition,,,RAVDESS,unknown,pending,,,,raw GitHub repository-search hit; GH-RAV-2 rank=62
C021,2026-08-10T14:54:27-04:00,GitHub|GitHubAPI,GH02|RC_GH_RAV_2,https://github.com/anastasia-drojjina/ravdess-emotion-recognition,https://github.com/anastasia-drojjina/ravdess-emotion-recognition,,,RAVDESS,unknown,pending,,,,raw GitHub repository-search hit; GH-RAV-2 rank=61
C022,2026-08-10T14:54:27-04:00,GitHub|GitHubAPI,GH03|RC_GH_CRE_1|RC_GH_CRE_2,https://github.com/CaioJustino/CREMA-D-SpeechEmotionRecognition,https://github.com/CaioJustino/CREMA-D-SpeechEmotionRecognition,,,CREMA-D,unknown,pending,,,,raw GitHub repository-search hit; GH-CRE-1 rank=3; raw GitHub repository-search hit; GH-CRE-2 rank=13
C023,2026-08-10T14:54:27-04:00,GitHub|GitHubAPI,GH04|RC_GH_CRE_2,https://github.com/saloninarang27/Multimodal-Emotion-Recognition,https://github.com/saloninarang27/Multimodal-Emotion-Recognition,,,CREMA-D,unknown,pending,,,,raw GitHub repository-search hit; GH-CRE-2 rank=29
C024,2026-08-10T14:54:27-04:00,GitHub|GitHubAPI,GH04|RC_GH_CRE_1|RC_GH_CRE_2,https://github.com/YunusEmre1213/crema-d-emotion-recognition,https://github.com/YunusEmre1213/crema-d-emotion-recognition,,,CREMA-D,unknown,pending,,,,raw GitHub repository-search hit; GH-CRE-1 rank=14; raw GitHub repository-search hit; GH-CRE-2 rank=5
C025,2026-08-10T14:54:27-04:00,GitHub|GitHubAPI,GH05|IE_GH_I_01|IE_GH_I_02,https://github.com/FEDI-HASSINE/IEMOCAP-Speech-Emotion-Recognition,https://github.com/FEDI-HASSINE/IEMOCAP-Speech-Emotion-Recognition,,,IEMOCAP,unknown,exclude,E5_duplicate_or_fork,retain=https://github.com/ShaheenPerveen/speech-emotion-recognition-iemocap,https://github.com/ShaheenPerveen/speech-emotion-recognition-iemocap,suggested_exclusion=E5_duplicate_or_fork; retain=https://github.com/ShaheenPerveen/speech-emotion-recognition-iemocap; README/method/tree mirror and only 2 commits versus 40
C026,2026-08-10T14:54:27-04:00,GitHub|GitHubAPI|WebSearch,GH06|IE_GH_I_02|IE_WEB_IE_00|IE_WEB_I_01,https://github.com/Aditya3107/IEMOCAP_EMOTION_Recognition,https://github.com/Aditya3107/IEMOCAP_EMOTION_Recognition,,,IEMOCAP,unknown,pending,,,,WEB-IE-00 timestamp reconstructed between adjacent logged calls; combined connector output did not expose a stable result-page URL
C027,2026-08-10T14:54:27-04:00,GitHub|GitHubAPI,GH06|IE_GH_I_01|IE_GH_I_02,https://github.com/flaviorainhoavila/IEMOCAPspeechEmotionRecognition,https://github.com/flaviorainhoavila/IEMOCAPspeechEmotionRecognition,,,IEMOCAP,unknown,pending,,,,
C028,2026-08-10T14:54:27-04:00,GitHub|GitHubAPI,GH06|IE_GH_I_02,https://github.com/leecool9669/IEMOCAP-emotion-recognition-WebUI,https://github.com/leecool9669/IEMOCAP-emotion-recognition-WebUI,,,IEMOCAP,unknown,pending,,,,
C029,2026-08-10T14:54:27-04:00,GitHub|GitHubAPI,GH06|IE_GH_I_02,https://github.com/swethasri1-9/IEMOCAPspeechEmotionRecognition,https://github.com/swethasri1-9/IEMOCAPspeechEmotionRecognition,,,IEMOCAP,unknown,pending,,,,
C030,2026-08-10T14:55:00-04:00,WebSearch|GitHubAPI,WEB01|RC_GH_RAV_1|RC_GH_RAV_2|RC_WEB_RAV_VERIFY,https://github.com/s-omranpour/Speech-Emotion-Recognition,https://github.com/s-omranpour/Speech-Emotion-Recognition,,,RAVDESS,supplemental_code,pending,,,,raw GitHub repository-search hit; GH-RAV-1 rank=15; raw GitHub repository-search hit; GH-RAV-2 rank=26; raw RAVDESS supplementary-web result; unique-repository order=2
C031,2026-08-10T14:55:00-04:00,WebSearch|arXiv,WEB03|IE_WEB_IE_00|IE_WEB_I_01|PA_AX01|PA_AX04|PA_WEB05_08,https://github.com/ispamm/rhemo,https://github.com/ispamm/rhemo,Learning Speech Emotion Representations in the Quaternion Domain,https://arxiv.org/abs/2204.02385v2,IEMOCAP|EmoDB|RAVDESS,author_linked,exclude,E5_duplicate_or_fork,All 17 source/config files have identical SHA-256 hashes to upstream; only README wording differs,https://github.com/ericguizzo/transferable_quaternion_embeddings,WEB-IE-00 timestamp reconstructed between adjacent logged calls; paper directly links this fork; frozen tree comparison at 6b18e3420faed509c07e1c462670b3585bded6e2 versus upstream 03c1729020d82a3782e7cd3285926ba7884be464 found code/config diff=0 and README-only diff || WEB-IE-00 timestamp reconstructed between adjacent logged calls; combined connector output did not expose a stable result-page URL; dedup_review_required; GitHub marks fork of ericguizzo/transferable_quaternion_embeddings but paper explicitly points to ispamm/rhemo || paper directly links repository; fork relation requires substantive-change screening || Frozen comparison: fork 6b18e3420faed509c07e1c462670b3585bded6e2 versus upstream 03c1729020d82a3782e7cd3285926ba7884be464; code/config diff=0 and README-only diff
C032,2026-08-10T14:55:00-04:00,WebSearch|GitHubAPI,WEB01|RC_GH_RAV_1|RC_GH_RAV_2|RC_WEB_BATCH|RC_WEB_RAV_VERIFY|IE_WEB_E_01,https://github.com/praweshd/speech_emotion_recognition,https://github.com/praweshd/speech_emotion_recognition,,,RAVDESS|EmoDB,supplemental_code,pending,,,,raw GitHub repository-search hit; GH-RAV-1 rank=5; raw GitHub repository-search hit; GH-RAV-2 rank=8; raw combined web-search result; unique-repository order=5; per-query allocation unavailable; raw RAVDESS supplementary-web result; unique-repository order=3
C033,2026-08-10T14:55:00-04:00,WebSearch|arXiv,WEB03|IE_WEB_IE_00|IE_WEB_I_01|PA_AX03,https://github.com/ECNU-Cross-Innovation-Lab/ENT,https://github.com/ECNU-Cross-Innovation-Lab/ENT,Emotion Neural Transducer for Fine-Grained Speech Emotion Recognition,https://arxiv.org/abs/2403.19224v1,IEMOCAP,official,include,,,,WEB-IE-00 timestamp reconstructed between adjacent logged calls; combined connector output did not expose a stable result-page URL || arXiv abstract directly supplies repository URL || P0 static audit included at 9beb016bfe89c2246242415db8713aa19f731402; batch=audit_batch_root.csv
C034,2026-08-10T14:55:00-04:00,WebSearch,WEB01,https://github.com/vatsalmehta2001/speech-emotion-recognition,https://github.com/vatsalmehta2001/speech-emotion-recognition,,,RAVDESS,supplemental_code,pending,,,,Canonical owner differs from search title vmehtacode
C035,2026-08-10T14:55:00-04:00,WebSearch|GitHubAPI,WEB01|WEB02|WEB03|RC_GH_RAV_1|RC_GH_RAV_2|RC_WEB_BATCH|RC_WEB_RAV_VERIFY|RC_WEB_CRE_VERIFY|IE_WEB_IE_00|IE_WEB_I_01,https://github.com/ThomasRigoni7/Audio-emotion-recognition-RAVDESS,https://github.com/ThomasRigoni7/Audio-emotion-recognition-RAVDESS,Emotion recognition from audio in the context of social assistive robotics,https://github.com/ThomasRigoni7/Audio-emotion-recognition-RAVDESS/blob/ae44256edfcb320a32696444cd301264e1800866/thesis.pdf,RAVDESS|CREMA-D|IEMOCAP,author_linked_thesis,include,,,,Pilot audited at ae44256edfcb320a32696444cd301264e1800866 || raw GitHub repository-search hit; GH-RAV-1 rank=19; raw GitHub repository-search hit; GH-RAV-2 rank=21; raw combined web-search result; unique-repository order=8; per-query allocation unavailable; raw RAVDESS supplementary-web result; unique-repository order=8; raw CREMA-D supplementary-web result; unique-repository order=6 || WEB-IE-00 timestamp reconstructed between adjacent logged calls; combined connector output did not expose a stable result-page URL
C036,2026-08-10T14:55:00-04:00,WebSearch|arXiv,WEB01|RC_WEB_RAV_VERIFY|PA_AX01,https://github.com/Mak-Sim/ResLSTM-SER,https://github.com/Mak-Sim/ResLSTM-SER,Speech Emotion Recognition using Attention-based LSTM-Network with Residual Connection,https://ieeexplore.ieee.org/document/11476771,RAVDESS,official,include,,,,raw RAVDESS supplementary-web result; unique-repository order=10 || arXiv abstract directly supplies repository URL || P0 static audit included at f2b74391a70f5ae2be80064bd37634429c07d9fa; batch=audit_batch_rc.csv
C037,2026-08-10T14:55:00-04:00,WebSearch,WEB02|WEB04|RC_WEB_BATCH|RC_WEB_RAV_VERIFY|RC_WEB_CRE_VERIFY|IE_WEB_IE_00|IE_WEB_I_01|IE_WEB_E_01,https://github.com/KanikeSaiPrakash/Speech-Emotion-Recognition,https://github.com/KanikeSaiPrakash/Speech-Emotion-Recognition,,,RAVDESS|CREMA-D|IEMOCAP|EmoDB,supplemental_code,pending,,,,raw combined web-search result; unique-repository order=11; per-query allocation unavailable; raw RAVDESS supplementary-web result; unique-repository order=4; raw CREMA-D supplementary-web result; unique-repository order=2 || WEB-IE-00 timestamp reconstructed between adjacent logged calls; combined connector output did not expose a stable result-page URL
C038,2026-08-10T14:55:00-04:00,WebSearch|GitHubAPI,WEB01|RC_GH_RAV_1|RC_GH_RAV_2,https://github.com/Divyansh-Devrani/SPEECH-EMOTION-RECOGNITION-USING-PYTHON-AND-RAVDESS,https://github.com/Divyansh-Devrani/SPEECH-EMOTION-RECOGNITION-USING-PYTHON-AND-RAVDESS,,,RAVDESS,supplemental_code,pending,,,,raw GitHub repository-search hit; GH-RAV-1 rank=16; raw GitHub repository-search hit; GH-RAV-2 rank=24
C039,2026-08-10T14:55:00-04:00,WebSearch,WEB03|ARX01|IE_WEB_IE_00|IE_WEB_I_01,https://github.com/ddlBoJack/emotion2vec,https://github.com/ddlBoJack/emotion2vec,emotion2vec: Self-Supervised Pre-Training for Speech Emotion Representation,https://arxiv.org/abs/2312.15185,IEMOCAP|RAVDESS|EmoDB,official,include,,,,Pilot audited at a0e606c668227ab0c01527e196a4acc42b1efad9 || WEB-IE-00 timestamp reconstructed between adjacent logged calls; combined connector output did not expose a stable result-page URL
C040,2026-08-10T14:53:50-04:00,GitHubAPI,RC_GH_RAV_1|RC_GH_RAV_2,https://github.com/mkosaka1/Speech_Emotion_Recognition,https://github.com/mkosaka1/Speech_Emotion_Recognition,,,RAVDESS,unknown,pending,,,,raw GitHub repository-search hit; GH-RAV-1 rank=1; raw GitHub repository-search hit; GH-RAV-2 rank=1
C041,2026-08-10T14:53:50-04:00,GitHubAPI,RC_GH_RAV_1|RC_GH_RAV_2,https://github.com/LetianLee/Speech-Emotion-Recognition,https://github.com/LetianLee/Speech-Emotion-Recognition,,,RAVDESS,unknown,pending,,,,raw GitHub repository-search hit; GH-RAV-1 rank=2; raw GitHub repository-search hit; GH-RAV-2 rank=5
C042,2026-08-10T14:53:50-04:00,GitHubAPI,RC_GH_RAV_1|RC_GH_RAV_2,https://github.com/rudrajikadra/Speech-Emotion-Recognition-using-Librosa-library-and-MLPClassifier,https://github.com/rudrajikadra/Speech-Emotion-Recognition-using-Librosa-library-and-MLPClassifier,,,RAVDESS,unknown,pending,,,,raw GitHub repository-search hit; GH-RAV-1 rank=3; raw GitHub repository-search hit; GH-RAV-2 rank=7
C043,2026-08-10T14:53:50-04:00,GitHubAPI|WebSearch,RC_GH_RAV_1|RC_GH_RAV_2|IE_GH_I_01|IE_GH_I_02|IE_GH_E_01|IE_GH_E_02|IE_WEB_E_01,https://github.com/Jiaxin-Ye/TIM-Net_SER,https://github.com/Jiaxin-Ye/TIM-Net_SER,Temporal Modeling Matters: A Novel Temporal Emotional Modeling Approach for Speech Emotion Recognition,https://arxiv.org/abs/2211.08233,RAVDESS|IEMOCAP|EmoDB,official,include,,,,raw GitHub repository-search hit; GH-RAV-1 rank=4; raw GitHub repository-search hit; GH-RAV-2 rank=6 || P0 static audit included at 2e68cfc69617451131d89695e96168f76d10a4c5; batch=audit_batch_rc.csv
C044,2026-08-10T14:53:50-04:00,GitHubAPI,RC_GH_RAV_1|RC_GH_RAV_2,https://github.com/hotelll/speech-emotion-recognition,https://github.com/hotelll/speech-emotion-recognition,,,RAVDESS,unknown,pending,,,,raw GitHub repository-search hit; GH-RAV-1 rank=6; raw GitHub repository-search hit; GH-RAV-2 rank=11
C045,2026-08-10T14:53:50-04:00,GitHubAPI,RC_GH_RAV_1|RC_GH_RAV_2,https://github.com/bagustris/ravdess_ser,https://github.com/bagustris/ravdess_ser,"On The Differences Between Song and Speech Emotion Recognition: Effect of Feature Sets, Feature Types, and Classifiers",https://doi.org/10.1109/TENCON50793.2020.9293852,RAVDESS,author_linked_paper,include,,,,raw GitHub repository-search hit; GH-RAV-1 rank=7; raw GitHub repository-search hit; GH-RAV-2 rank=9 || P0 static audit included at c5ed08d4ccb9b3d2bce1e3473af2019fda1ec10a; batch=audit_batch_rc.csv
C046,2026-08-10T14:53:50-04:00,GitHubAPI,RC_GH_RAV_1|RC_GH_RAV_2,https://github.com/pushpanshu0501/Speech-Emotion-Recognition--1,https://github.com/pushpanshu0501/Speech-Emotion-Recognition--1,,,RAVDESS,unknown,pending,,,,raw GitHub repository-search hit; GH-RAV-1 rank=8; raw GitHub repository-search hit; GH-RAV-2 rank=14
C047,2026-08-10T14:53:50-04:00,GitHubAPI,RC_GH_RAV_1|RC_GH_RAV_2,https://github.com/pdadial/Speech_Emotion_Recognition_CNN-LSTM,https://github.com/pdadial/Speech_Emotion_Recognition_CNN-LSTM,,,RAVDESS,unknown,pending,,,,raw GitHub repository-search hit; GH-RAV-1 rank=10; raw GitHub repository-search hit; GH-RAV-2 rank=16
C048,2026-08-10T14:53:50-04:00,GitHubAPI,RC_GH_RAV_1|RC_GH_RAV_2,https://github.com/likhithapotnuru/Speech-Emotion-Recognition-using-Machine-Learning,https://github.com/likhithapotnuru/Speech-Emotion-Recognition-using-Machine-Learning,,,RAVDESS,unknown,pending,,,,raw GitHub repository-search hit; GH-RAV-1 rank=12; raw GitHub repository-search hit; GH-RAV-2 rank=20
