repository_id,repository_url,commit_sha,commit_date,audited_at,license,paper_title,paper_url,publication_year,repo_relation,target_datasets,reported_results,result_evidence,result_code_link,split_category,split_by_dataset,speaker_disjointness,split_evidence,normalization_leakage,normalization_by_dataset,normalization_evidence,test_selection,test_selection_by_dataset,test_selection_evidence,augmentation_leakage,augmentation_by_dataset,augmentation_evidence,evaluation_repetition,repetition_by_dataset,n_folds,n_seeds,variance_reported,repetition_evidence,paper_code_discrepancy,evidence_strength,primary_reviewer,verification_status,notes
P05R001,https://github.com/Vansh-187/speech-emotion-recognition,f21f3700413ea8e5c39921fb102c10672cae69a8,2025-06-24T19:07:01+05:30,2026-08-10T18:19:10-04:00,Apache-2.0,,,2025,third_party_reproduction,RAVDESS,stored output (n=1472): accuracy=82.61%; macro precision/recall/F1=82%/82%/82%; weighted precision/recall/F1=83%/83%/83%,README.md:L50-L56; notebooks/emotion_classifier_final.ipynb:L1 cell 30 output accuracy=0.8261,uncertain,random,"RAVDESS=utterance-level train_test_split(test_size=0.2, random_state=0)",not_enforced,notebooks/emotion_classifier_final.ipynb:L1 cells 6 and 16 parse emotion but do not group actor and call train_test_split,no,RAVDESS=per-utterance deterministic features; no corpus-fitted scaler on the audited path,notebooks/emotion_classifier_final.ipynb:L1 cells 13-16 compute per-utterance features before splitting without a fitted cross-sample normalizer,yes_explicit,RAVDESS=the test loader is evaluated every epoch and best checkpoint is chosen by test accuracy,"notebooks/emotion_classifier_final.ipynb:L1 cells 25,27,30 build test_loader, save on best test_acc, then reload it",yes,RAVDESS=stored reported-result state indicates original plus noise plus stretch-and-pitch variants were pooled before the 80/20 split; currently saved cells 16-19 instead define train-only augmentation but are not consumed by cells 25-30,"notebooks/emotion_classifier_final.ipynb:L1 cells 15-19,25,27,30: n_base=2452; two variants are defined per item; model cells ignore *_final; stored batches and support n=1472 match a 3 x 2452 pool split 80/20",single_split_single_seed,RAVDESS=one 80/20 split with random_state=0 and one training run,1,1,none,notebooks/emotion_classifier_final.ipynb:L1 cells 16 and 27 contain one fixed split and one training loop,not_applicable_no_paper,medium,root,verified_corrected,"P0.5 draw_rank=1; test-selected checkpoint makes the displayed metric optimistically selected on the same holdout. In addition, frozen cells 16-19 and 25-30 are not one executable dataflow; stored n=1472 output indicates an older augment-before-split state. || draw_rank=1; initial_batch=p0_5_audit_root.csv"
P05R002,https://github.com/fdhlhdc12/ravdess-dtw-emotion-recognition,c20123028d7e718e624eb56599ae7436ca9991e4,2026-06-27T12:47:50+07:00,2026-08-10T18:19:10-04:00,no license file found,,,2026,third_party_reproduction,RAVDESS,"dashboard claims accuracy=90.28%, precision=90.11%, recall=89.56%, F1=90.22%, with 5-fold GridSearchCV",app.py:L1983-L2010,uncertain,unknown,RAVDESS=training split and fold construction absent from frozen repository,unknown,app.py:L735-L752 loads serialized models/scaler; no training or split-generation code is present,unknown,RAVDESS=serialized scaler is applied at inference but its fit population is unavailable,app.py:L737-L743|L779-L784 loads scaler.pkl and transforms a feature; fit code/provenance is absent,unknown,RAVDESS=model selection and final-test data flow unavailable,app.py:L1983-L2010 contains static displayed metrics and a GridSearchCV claim but no training/evaluation path,unknown,RAVDESS=training/evaluation augmentation provenance is absent; frozen code covers inference feature extraction only,"app.py:L735-L752,L779-L784 and feature_extraction_ml.py:L4-L45 expose inference only; no training/evaluation loader or augmentation provenance is present",unknown,"RAVDESS=dashboard claims 5-fold GridSearchCV, but the frozen implementation and fold outputs are absent",unknown,unknown,none,"app.py:L2005-L2010 is a static 5-fold GridSearchCV claim; the repository contains no training/fold-construction path or executed fold outputs, so repetition is unknown",not_applicable_no_paper,low,root,verified_corrected,P0.5 draw_rank=2; low evidence converts the five risk endpoints to unknown in primary-risk aggregation. Serialized pkl files were not loaded or executed. || draw_rank=2; initial_batch=p0_5_audit_root.csv
P05R003,https://github.com/Shiva9855/CodeAlpha_Emotion-Recognition-from-Speech,cbc84f527fc14b375d34ce2c8aec9b00cabaf459,2026-07-20T01:15:32+05:30,2026-08-10T18:19:10-04:00,MIT,,,2026,third_party_reproduction,RAVDESS|EmoDB,no numeric RAVDESS or EmoDB result reported in frozen repository,README.md:L129-L137 discusses expected outputs and recommends actor-wise splitting but gives no metric,uncertain,random,RAVDESS=random utterance holdout | EmoDB=random utterance holdout in one merged dataset,not_enforced,utils/dataset_loader.py:L34-L43 retains only path and emotion for RAVDESS; train.py:L145-L159 stratifies by label only,no,RAVDESS=train-only StandardScaler | EmoDB=train-only StandardScaler,train.py:L66-L74 fits StandardScaler on X_train and transforms X_test,yes_explicit,RAVDESS=yes_explicit | EmoDB=yes_explicit,"train.py:L158-L159|L169-L196 uses the sole test_loader each epoch, early-stops and saves on its accuracy",yes,RAVDESS=augment-before-split | EmoDB=augment-before-split,train.py:L47-L63 builds original plus three augmentations for all rows; train.py:L136-L153 then splits the combined matrix,single_split_single_seed,RAVDESS=one fixed random split | EmoDB=one fixed random split,1,1,none,train.py:L151-L154 uses one random_state; train.py:L174-L196 contains one training run,not_applicable_no_paper,high,root,verified_agree,P0.5 draw_rank=4; README.md:L137 itself suggests speaker-wise splitting as a stricter alternative. || draw_rank=4; initial_batch=p0_5_audit_root.csv
P05R004,https://github.com/dingdongwang/EmotionThinker,afcc5c578bc69df436fbb2317957fe4897e33342,2026-08-07T13:27:05-07:00,2026-08-10T18:19:10-04:00,no license file found,EmotionThinker: Prosody-Aware Reinforcement Learning for Explainable Speech Emotion Reasoning,https://arxiv.org/abs/2601.15668,2026,author_official,IEMOCAP|RAVDESS,paper section 4.1/Table 2: IEMOCAP test-set accuracy=77.68%; RAVDESS zero-shot accuracy=71.56%,paper arXiv:2601.15668 Table 2; README.md:L5-L8 identifies the official paper and README.md:L79-L85 lists IEMOCAP annotations,uncertain,unknown,IEMOCAP=training/evaluation split absent | RAVDESS=training/evaluation split absent,unknown,scripts/emotionthinker_infer.py:L1-L18 provides model inference only; no target training or evaluation split code exists,unknown,IEMOCAP=unknown | RAVDESS=unknown,scripts/emotionthinker_infer.py:L1-L18 delegates preprocessing to a downloaded pretrained model; target training statistics are absent,unknown,IEMOCAP=unknown | RAVDESS=unknown,README.md:L54-L69 documents inference only; target training/checkpoint-selection code is absent,unknown,IEMOCAP=unknown | RAVDESS=unknown,"README.md:L74-L89 describes released annotations/prosody pipeline, not the target benchmark training loaders",unknown,IEMOCAP=unknown in frozen code | RAVDESS=unknown in frozen code,unknown,unknown,none,scripts/emotionthinker_infer.py:L1-L18 has no fold/seed loop and the frozen repository lacks target evaluation code,unassessable_missing_training_evaluation_code,low,root,verified_corrected,"P0.5 draw_rank=5; official paper/repository relation is clear, but all preregistered implementation-risk fields remain unknown under the code-first rule. || draw_rank=5; initial_batch=p0_5_audit_root.csv"
P05R005,https://github.com/jobinjoy12/Speech-Emotion-Recognition-using-CREMA-D-dataset,10f7e5102b86904ea3b3bb40708238988834ccd0,2024-02-22T09:13:09+05:30,2026-08-10T18:19:10-04:00,no license file found,,,2024,third_party_reproduction,CREMA-D,CREMA-D holdout accuracy=52.10%,emotion speech recognition code (2).ipynb:L1 cell gHy_VEo2btF3 output,direct,random,CREMA-D=utterance-level train_test_split(test_size=0.2) without speaker groups,not_enforced,emotion speech recognition code (2).ipynb:L1 cells TmZwQAAia6dU and xQYo6vSXbkTy parse labels and call ordinary train_test_split,no,CREMA-D=StandardScaler fitted on x_train only,emotion speech recognition code (2).ipynb:L1 cell BBnu4lqxboil fits x_train then transforms x_test,no_fixed_training,CREMA-D=one fixed MLP fit followed by one holdout prediction,emotion speech recognition code (2).ipynb:L1 cells HLTsAspAbqR1 and gHy_VEo2btF3 fit once then predict once,yes,"CREMA-D=noise is applied to every utterance before the holdout split, including eventual test items",emotion speech recognition code (2).ipynb:L1 cell xyJe_5Q1-xcV injects noise while building all X; cell xQYo6vSXbkTy splits afterward,single_split_single_seed,CREMA-D=one unseeded holdout and one MLP fit,1,1,none,emotion speech recognition code (2).ipynb:L1 cells xQYo6vSXbkTy and HLTsAspAbqR1 contain one split and one fit,not_applicable_no_paper,high,root,verified_agree,"P0.5 draw_rank=6; test audio itself is noise-augmented before splitting, satisfying the frozen augmentation-risk definition. || draw_rank=6; initial_batch=p0_5_audit_root.csv"
P05R006,https://github.com/ShaheenPerveen/Speech_Emotion_Recognition_IEMOCAP,1f2a835abbf1fbce138b7c26e7e2eb74b35b8147,2020-01-01T15:42:44+05:30,2026-08-10T18:19:10-04:00,no license file found,,,2020,third_party_reproduction,IEMOCAP,"representative normalized-MFCC gradient-boosting path: 2-fold internal-CV best_score=0.66499; holdout n=947 weighted precision=0.71, recall=0.70, F1=0.69",Model_Codes/ML_DL_Models_Using_MFCC/ML_with_MFCC_Normalized.ipynb:L1 cells 35-38,direct,random,IEMOCAP=utterance-level stratified 80/20 split; ordinary 2- or 3-fold CV inside training subset,not_enforced,Model_Codes/ML_DL_Models_Using_MFCC/ML_with_MFCC_Normalized.ipynb:L1 cell 16 uses train_test_split stratified only by target,yes,IEMOCAP=MinMaxScaler fitted on the full feature table before train/test split,Model_Codes/ML_DL_Models_Using_MFCC/ML_with_MFCC_Normalized.ipynb:L1 cells 14-16 call fit_transform(train) before train_test_split,test_exposed_each_epoch,IEMOCAP=the same X_test is repeatedly reported across many candidate classifiers without an outer untouched set,Model_Codes/ML_DL_Models_Using_MFCC/ML_with_MFCC_Normalized.ipynb:L1 cells 22-65 tune several models then repeatedly print X_test reports,not_applicable,IEMOCAP=no augmentation in the representative normalized-MFCC path,"Model_Codes/ML_DL_Models_Using_MFCC/ML_with_MFCC_Normalized.ipynb:L1 cells 1-16 load fixed features, normalize, and split without augmentation",single_split_single_seed|kfold_single_run,IEMOCAP=one unseeded holdout; 2-fold grids for most models and one 3-fold grid,2|3,1,none,"Model_Codes/ML_DL_Models_Using_MFCC/ML_with_MFCC_Normalized.ipynb:L1 cells 16,22,27,35,40,44 show one holdout plus cv=2/3",not_applicable_no_paper,high,root,verified_corrected,P0.5 draw_rank=8; representative auditable path selected before aggregate results were computed. || draw_rank=8; initial_batch=p0_5_audit_root.csv
P05R007,https://github.com/sss3799/audio_emotion_recognition,d83a682e7b0abe95fa983ce0323bb71010cd2af5,2023-04-22T21:40:34+05:30,2026-08-10T18:19:10-04:00,no license file found,,,2023,third_party_reproduction,RAVDESS,RAVDESS holdout n=9122: accuracy=60.7433%; macro precision/recall/F1=0.63/0.65/0.64; weighted precision/recall/F1=0.61/0.61/0.61,hsl621_emotion_recognition.ipynb:L1 cell 46 output,direct,random,"RAVDESS=utterance-level train_test_split(random_state=0, shuffle=True)",not_enforced,hsl621_emotion_recognition.ipynb:L1 cells 7 and 40 retain emotion labels but call ordinary train_test_split without actor groups,no,RAVDESS=StandardScaler fitted on x_train then applied to x_test,hsl621_emotion_recognition.ipynb:L1 cell 41,test_exposed_each_epoch,RAVDESS=the sole test split is passed as validation_data for all 50 epochs,"hsl621_emotion_recognition.ipynb:L1 cells 45-46 train with validation_data=(x_test,y_test) then report it as test",yes,"RAVDESS=original, noise, and stretch-plus-pitch variants are generated before random splitting",hsl621_emotion_recognition.ipynb:L1 cells 33-34 generate three variants for all paths; cell 40 splits afterward,single_split_single_seed,RAVDESS=one split with random_state=0 and one 50-epoch fit,1,1,none,hsl621_emotion_recognition.ipynb:L1 cells 40 and 45,not_applicable_no_paper,high,root,verified_corrected,P0.5 draw_rank=9; augmented counterparts can cross the random split and the holdout is exposed every epoch. || draw_rank=9; initial_batch=p0_5_audit_root.csv
P05R008,https://github.com/neerajk23-cmd/Speech-Emotion-Recognition-on-RAVDESS-Dataset,516bc2802eddc65dc382c7d51cd0384410c3e056,2026-08-06T22:25:03+05:30,2026-08-10T18:19:10-04:00,no license file found,,,2026,third_party_reproduction,RAVDESS,held-out actors 20-24 (n=300): accuracy=62.33%; weighted precision=61.18%; weighted recall=62.33%; weighted F1=61.11%,Evaluation_Test_Data.ipynb:L1 cells 8-10 outputs found 5 actors/300 files and accuracy=0.6233,uncertain,predefined_speaker_independent,RAVDESS=actors 1-19 training pool and actors 20-24 final test; utterance-random inner train/validation split within actors 1-19,enforced,"cnn-final-ee708-project.ipynb:L1 cells 5-6 show 19 train actors and inner random validation; Evaluation_Test_Data.ipynb:L1 cells 3,6,8 show five separate test actor directories",no,RAVDESS=per-utterance fixed mel-spectrogram/decibel transforms; no cross-sample fitted scaler,Evaluation_Test_Data.ipynb:L1 cell 3 constructs each test spectrogram independently with fixed parameters,no_separate_validation,RAVDESS=best checkpoint chosen on an inner validation subset; actor-held-out test evaluated once in separate notebook,cnn-final-ee708-project.ipynb:L1 cell 6 saves on validation loss; Evaluation_Test_Data.ipynb:L1 cells 8-10 load and evaluate final test once,not_applicable,RAVDESS=no augmentation in the final train or held-out-test notebook paths,cnn-final-ee708-project.ipynb:L1 cells 4-6 and Evaluation_Test_Data.ipynb:L1 cell 3 contain fixed mel transforms only,single_split_single_seed,RAVDESS=one actor holdout and one inner split with seed=42,1,1,none,cnn-final-ee708-project.ipynb:L1 cells 5-6; Evaluation_Test_Data.ipynb:L1 cells 8-10,unassessable_report_not_mapped_to_claims,medium,root,verified_corrected,P0.5 draw_rank=10; the final test is speaker-disjoint even though the inner validation split is not grouped. Static inspection only; candidate torchaudio code was not run. The reported test output loads an external Kaggle checkpoint whose exact frozen-training provenance is unavailable. || draw_rank=10; initial_batch=p0_5_audit_root.csv
P05R009,https://github.com/shreyash-alt/Emotion_Recognition_RAVDESS,36743de708023c2ae1a5aa7b538e79b79c3337cd,2025-06-25T08:48:43+05:30,2026-08-10T18:26:04-04:00,none_found,,,2025,supplemental_code,RAVDESS,"RAVDESS: held-out classification accuracy=0.98 (n=981); selected epoch 92 mean(train_acc,val_acc)=0.9846",README.md:L81-L89 [https://github.com/shreyash-alt/Emotion_Recognition_RAVDESS/blob/36743de708023c2ae1a5aa7b538e79b79c3337cd/README.md#L81-L89]; classification_report.txt:L1-L14 [https://github.com/shreyash-alt/Emotion_Recognition_RAVDESS/blob/36743de708023c2ae1a5aa7b538e79b79c3337cd/classification_report.txt#L1-L14],direct,random,RAVDESS=random_utterance_80/20_stratified,not_enforced,emotionravdess2.ipynb:L537-L560 encodes emotion but not actor and then performs ordinary stratified train_test_split [https://github.com/shreyash-alt/Emotion_Recognition_RAVDESS/blob/36743de708023c2ae1a5aa7b538e79b79c3337cd/emotionravdess2.ipynb#L537-L560],no,RAVDESS=no_train_only_StandardScaler,emotionravdess2.ipynb:L571-L594 fits StandardScaler on X_train and only transforms X_val [https://github.com/shreyash-alt/Emotion_Recognition_RAVDESS/blob/36743de708023c2ae1a5aa7b538e79b79c3337cd/emotionravdess2.ipynb#L571-L594],yes_explicit,RAVDESS=yes_explicit_same_holdout_selects_epoch_and_supplies_final_report,emotionravdess2.ipynb:L1103-L1103 evaluates X_val every epoch; L1142-L1153 selects the maximum mean train/validation accuracy; L1203-L1216 reports that same X_val [https://github.com/shreyash-alt/Emotion_Recognition_RAVDESS/blob/36743de708023c2ae1a5aa7b538e79b79c3337cd/emotionravdess2.ipynb#L1142-L1153],not_applicable,RAVDESS=not_applicable_no_active_augmentation,emotionravdess2.ipynb:L348-L390 contains the active per-file feature path and no stochastic augmentation transform [https://github.com/shreyash-alt/Emotion_Recognition_RAVDESS/blob/36743de708023c2ae1a5aa7b538e79b79c3337cd/emotionravdess2.ipynb#L348-L390],single_split_single_seed,RAVDESS=single_80/20_split_seed42_one_training_run,1,1,none,emotionravdess2.ipynb:L560-L560 fixes the sole split seed at 42 and L1103-L1103 performs one 200-epoch fit [https://github.com/shreyash-alt/Emotion_Recognition_RAVDESS/blob/36743de708023c2ae1a5aa7b538e79b79c3337cd/emotionravdess2.ipynb#L560-L560],not_applicable_no_paper,high,p0_7_reliability,verified_agree,"The object named validation is the only holdout and doubles as the final report set. Class weights are computed from all labels before splitting (emotionravdess2.ipynb:L537-L545), a label-distribution issue recorded separately from feature normalization. || draw_rank=12; initial_batch=p0_5_audit_batch_12_20.csv"
P05R010,https://github.com/KangHyunWook/Pytorch-implementation-of-Multimodal-emotion-recognition-on-RAVDESS-dataset,dd366fbcde5a8248195a47b7c0efd974f25f74c2,2024-08-01T10:07:22+09:00,2026-08-10T18:26:04-04:00,none_found,,,2024,supplemental_code,RAVDESS,RAVDESS: shared+private encoder accuracy=0.8556; shared-only=0.8444; audio-only=0.3167,README.md:L19-L28 [https://github.com/KangHyunWook/Pytorch-implementation-of-Multimodal-emotion-recognition-on-RAVDESS-dataset/blob/dd366fbcde5a8248195a47b7c0efd974f25f74c2/README.md#L19-L28],partial,random,RAVDESS=random_utterance_shuffle_then_fixed_slices_with_one_dev/test_record_overlap,observed_overlap,"train.py:L17-L41 shuffles feature rows without actor grouping. A read-only static inventory finds 1,440 unique keys in au_mfcc.pkl; at train.py:L130-L139, test indices 1259..1438 and dev indices 1020..1259 share row 1259 [https://github.com/KangHyunWook/Pytorch-implementation-of-Multimodal-emotion-recognition-on-RAVDESS-dataset/blob/dd366fbcde5a8248195a47b7c0efd974f25f74c2/train.py#L119-L139]",unknown,RAVDESS=unknown_missing_raw_feature_preprocessing,"unknown after inspecting README.md:L11-L17, train.py:L17-L41 and models.py: committed au_mfcc.pkl is consumed directly, while the raw MP4/OpenFace/MFCC preprocessing is explicitly absent [https://github.com/KangHyunWook/Pytorch-implementation-of-Multimodal-emotion-recognition-on-RAVDESS-dataset/blob/dd366fbcde5a8248195a47b7c0efd974f25f74c2/README.md#L11-L17]",yes_explicit,RAVDESS=yes_explicit_one_final_test_record_overlaps_dev_and_drives_checkpoint_selection,"A read-only static inventory finds 1,440 unique keys in au_mfcc.pkl. train.py:L130-L139 makes test indices 1259..1438 and dev indices 1020..1259, sharing row 1259; L224-L249 uses dev loss for checkpointing/early stopping and L251-L252 evaluates final test [https://github.com/KangHyunWook/Pytorch-implementation-of-Multimodal-emotion-recognition-on-RAVDESS-dataset/blob/dd366fbcde5a8248195a47b7c0efd974f25f74c2/train.py#L130-L139; https://github.com/KangHyunWook/Pytorch-implementation-of-Multimodal-emotion-recognition-on-RAVDESS-dataset/blob/dd366fbcde5a8248195a47b7c0efd974f25f74c2/train.py#L224-L252]",unknown,RAVDESS=unknown_missing_raw_feature_preprocessing,"unknown after inspecting README.md, train.py and models.py: the active consumer has no augmentation, but the explicitly missing raw preprocessing path prevents a positive no-augmentation judgment [https://github.com/KangHyunWook/Pytorch-implementation-of-Multimodal-emotion-recognition-on-RAVDESS-dataset/blob/dd366fbcde5a8248195a47b7c0efd974f25f74c2/README.md#L15-L17]",single_split_single_seed,RAVDESS=one_shuffled_partition_one_training_run,1,1,none,train.py:L130-L148 creates one partition and sets one model seed; no fold/seed loop or variance calculation is present [https://github.com/KangHyunWook/Pytorch-implementation-of-Multimodal-emotion-recognition-on-RAVDESS-dataset/blob/dd366fbcde5a8248195a47b7c0efd974f25f74c2/train.py#L130-L148],not_applicable_no_paper,medium,p0_7_reliability,verified_corrected,"README says raw preprocessing will be uploaded. sklearn.utils.shuffle at train.py:L36 occurs before numpy/torch seeds are set at L141-L148, so the single split is not reproducible from the stated seed. Only the full-model path is directly visible; ablation result linkage is partial. Additionally, the fixed slice endpoints create one exact dev/test record overlap; that record participates in dev-loss checkpoint selection, motivating observed_overlap and yes_explicit. || draw_rank=13; initial_batch=p0_5_audit_batch_12_20.csv"
