sample_index,corpus,relative_path,file_size_bytes,sha256,label_name,label_index,speaker_id,wav_samplerate,wav_frames,wav_channels,wav_subtype,parse_status,read_status,error
0,ravdess,Actor_01/03-01-01-01-01-01-01.wav,375720,c467aad2ca80b089dbd4c2ba0dd16be508e4ce08230f46d36a208b859dc7fbac,neutral,0,01,48000,158558,1,PCM_16,ok,ok,
1,ravdess,Actor_01/03-01-01-01-01-02-01.wav,379106,bdee67020559b789983fb4eb8b143e65e91f5b3d510afc2a9ba3bbb3360d3e47,neutral,0,01,48000,160160,1,PCM_16,ok,ok,
2,ravdess,Actor_01/03-01-01-01-02-01-01.wav,372698,53970b4b7c4fd2a1efabeb74409dd06914e8c113d0e5cced4d9fceb036318739,neutral,0,01,48000,156956,1,PCM_16,ok,ok,
3,ravdess,Actor_01/03-01-01-01-02-02-01.wav,363108,478cc0be62382c4c4615eded2d20482570f15eb6ee34606d0e0f13a568d2131f,neutral,0,01,48000,152152,1,PCM_16,ok,ok,
4,ravdess,Actor_01/03-01-02-01-01-01-01.wav,399494,4c442cd4ea63c77b38adddcbd67c051e9476c8fff79ca555a677755c2d7f2c6a,calm,1,01,48000,169769,1,PCM_16,ok,ok,
5,ravdess,Actor_01/03-01-02-01-01-02-01.wav,751848,57271aa6c5c22081f9bd560afb0605b122fd80e36796dc04bec1a67f2b62b41c,calm,1,01,48000,172972,2,PCM_16,ok,ok,
6,ravdess,Actor_01/03-01-02-01-02-01-01.wav,396294,8ba7c44161ec9bec67c7ba25d531e4118f81578321686c02451e425f2dd3c0a7,calm,1,01,48000,168168,1,PCM_16,ok,ok,
7,ravdess,Actor_01/03-01-02-01-02-02-01.wav,393086,ef76cad95e9a695009edff703deee1da15833743a801536b223ec4ffb8c51c0d,calm,1,01,48000,166567,1,PCM_16,ok,ok,
8,ravdess,Actor_01/03-01-02-02-01-01-01.wav,415516,2b66015924416040ade81cd92deca032ec15fc53dfb73b0db80af268e0fa691b,calm,1,01,48000,177778,1,PCM_16,ok,ok,
9,ravdess,Actor_01/03-01-02-02-01-02-01.wav,444344,d4fd63e69a155b00c978a7ed50d21b159d57a241dedc58d673ae16ccf4fa04c7,calm,1,01,48000,192192,1,PCM_16,ok,ok,
10,ravdess,Actor_01/03-01-02-02-02-01-01.wav,463564,a5ebeece0c1d5cfb64fdefa0407191014b2540b1ebe766e951c3bf7298b60edc,calm,1,01,48000,201802,1,PCM_16,ok,ok,
11,ravdess,Actor_01/03-01-02-02-02-02-01.wav,444344,64b4d14dbb2ff4c9656661a3ba8d09f0c5aa2a22a0acc4b083da877e85a1a3ef,calm,1,01,48000,192192,1,PCM_16,ok,ok,
12,ravdess,Actor_01/03-01-03-01-01-01-01.wav,393094,db3035ff3b1dd243f0c63be0791514fae2762c941093dcef6ffdcb02cc013d14,happy,2,01,48000,166567,1,PCM_16,ok,ok,
13,ravdess,Actor_01/03-01-03-01-01-02-01.wav,393092,074747121ec0b45290ee9c0f28350324e40af442afead70e641db4f7d1e1afa6,happy,2,01,48000,166566,1,PCM_16,ok,ok,
14,ravdess,Actor_01/03-01-03-01-02-01-01.wav,399498,7733fbdc0ea79eb710e4a81031aa4e9cbd0b015de25a5babe1b0ee3fc4e0c03a,happy,2,01,48000,169769,1,PCM_16,ok,ok,
15,ravdess,Actor_01/03-01-03-01-02-02-01.wav,415516,4d89c73d25a870901b10f002d419ff0403372d946293e051b6f6ada9069aa546,happy,2,01,48000,177778,1,PCM_16,ok,ok,
16,ravdess,Actor_01/03-01-03-02-01-01-01.wav,412300,1bc1ae2f36d7fa7314a42f7d250cc346723e2ed3d455a3b0dc4a1dbb50917044,happy,2,01,48000,176176,1,PCM_16,ok,ok,
17,ravdess,Actor_01/03-01-03-02-01-02-01.wav,409108,6f54c164f6c1ce34e5ec94b52749e9bb63a6adc3042eda9abb02f9aff847cb18,happy,2,01,48000,174574,1,PCM_16,ok,ok,
18,ravdess,Actor_01/03-01-03-02-02-01-01.wav,437936,1198128784b8f851ee52ff21ad8f28e0c8a28feea19243b2c001b74efd0731c2,happy,2,01,48000,188988,1,PCM_16,ok,ok,
19,ravdess,Actor_01/03-01-03-02-02-02-01.wav,437938,e0d180fa12e5d5199bde4b629805bf1168019e51494ae3d27a9635560a2f7a9b,happy,2,01,48000,188989,1,PCM_16,ok,ok,
20,ravdess,Actor_01/03-01-04-01-01-01-01.wav,428338,217c63ffd1b13eaa258c827c56acfcde592bed80c4809e158c755c284de2511a,sad,3,01,48000,184184,1,PCM_16,ok,ok,
21,ravdess,Actor_01/03-01-04-01-01-02-01.wav,402714,9c6bde015cb897b5ef6e37e8e5895a84635a6662ca515e762e9715b04a4d4cdc,sad,3,01,48000,171371,1,PCM_16,ok,ok,
22,ravdess,Actor_01/03-01-04-01-02-01-01.wav,396306,ee8d71ab08e246729098d4277f2d6643287c2cfa9b8a09606a6761a58875fa8f,sad,3,01,48000,168168,1,PCM_16,ok,ok,
23,ravdess,Actor_01/03-01-04-01-02-02-01.wav,383494,b93d8c5458f0e32071405d0499c33982d819637323b04e014b04d83b7dcccc04,sad,3,01,48000,161762,1,PCM_16,ok,ok,
24,ravdess,Actor_01/03-01-04-02-01-01-01.wav,425138,a617ba3cf207d2f22742a0b180c864c6311dc82b00944b7dab110b7ebf99e292,sad,3,01,48000,182582,1,PCM_16,ok,ok,
25,ravdess,Actor_01/03-01-04-02-01-02-01.wav,415530,35d3232f8c00b92b71dd34bea881d245df124e4f0784f7c135781acffe824511,sad,3,01,48000,177778,1,PCM_16,ok,ok,
26,ravdess,Actor_01/03-01-04-02-02-01-01.wav,418734,e4500d8ebbf3b5e4d090711ed165b096a963906edac733f140063f37e51e9a51,sad,3,01,48000,179380,1,PCM_16,ok,ok,
27,ravdess,Actor_01/03-01-04-02-02-02-01.wav,418732,feb72c843718f1e3b8ae7918419416e03385eeb55226f6262cd3fc48bb216626,sad,3,01,48000,179379,1,PCM_16,ok,ok,
28,ravdess,Actor_01/03-01-05-01-01-01-01.wav,431546,c9b2cfb8f3ed7153aa56b0a198ba0b81d9bae41c859c93f490b8c550b7c4cf97,angry,4,01,48000,185786,1,PCM_16,ok,ok,
29,ravdess,Actor_01/03-01-05-01-01-02-01.wav,437952,34adc22d8a19200194c2b8a08e06201234d87be5682bbe6267bdf073aaf0ab27,angry,4,01,48000,188989,1,PCM_16,ok,ok,
30,ravdess,Actor_01/03-01-05-01-02-01-01.wav,396310,81d4b5010bfbea54ae10b6ffa1068f9b5ae3f1ae1410eb1a97b8f6f9403d9353,angry,4,01,48000,168168,1,PCM_16,ok,ok,
31,ravdess,Actor_01/03-01-05-01-02-02-01.wav,418732,4939ee1a2d83c127e07ac0bfcf4178d375c4e0688a6daee2f656864b52e3a1a0,angry,4,01,48000,179379,1,PCM_16,ok,ok,
32,ravdess,Actor_01/03-01-05-02-01-01-01.wav,455342,ba4d1f678784d9656239885413edd9699696f08f9a6e800619eed975ad7a98d6,angry,4,01,48000,196997,1,PCM_16,ok,ok,
33,ravdess,Actor_01/03-01-05-02-01-02-01.wav,479606,745fd4153bf84d01560afc663decbe2f06f28c6fdca31078c94d9697606391a8,angry,4,01,48000,209810,1,PCM_16,ok,ok,
34,ravdess,Actor_01/03-01-05-02-02-01-01.wav,457178,c1db52e1172cf1040eba230f01a679c48e4e06e09b7dd76323aad9f5c3b8519b,angry,4,01,48000,198598,1,PCM_16,ok,ok,
35,ravdess,Actor_01/03-01-05-02-02-02-01.wav,486012,1c45eaf416533b088663e65d5ded05b139f892f6114ef3c5b6091d736af5fb01,angry,4,01,48000,213013,1,PCM_16,ok,ok,
