sequence,unit_id,corpus,model,protocol,seed,outer_fold,n_outer_folds,n_fit,n_validation,n_outer_test,manifest_sha256,cache_sha256,outer_fold_sha256,inner_split_path,inner_split_sha256
1,ravdess__cnn__random__s0__f000,ravdess,cnn,random,0,0,5,864,288,288,259b453ce6135242b03a34d113209a4b8a0234687c9717e56fbe2bd75acb7ab2,0e73160e1a5b88b13b437091332ec9479722e8feecb92061b9b6c0fb571a79f8,68ed3c00d5d2f33208c714cdf3e64cd8cf913de42b20ce82da6c04a7da94679b,splits/inner/ravdess/random/fold_000_seed_0.npz,f9516456fc61bc343089472cb472252158ab58669d1f63e3d8b6232653ce6ba3
2,ravdess__cnn__random__s0__f001,ravdess,cnn,random,0,1,5,864,288,288,259b453ce6135242b03a34d113209a4b8a0234687c9717e56fbe2bd75acb7ab2,0e73160e1a5b88b13b437091332ec9479722e8feecb92061b9b6c0fb571a79f8,721646e45962b82d513af0945226085470382d5ebce465a4e37dd528a8a4186d,splits/inner/ravdess/random/fold_001_seed_0.npz,87d3681b1c5eb0413696b949674ca410c3b387767f071684ccf39b3bc9e34644
3,ravdess__cnn__random__s0__f002,ravdess,cnn,random,0,2,5,864,288,288,259b453ce6135242b03a34d113209a4b8a0234687c9717e56fbe2bd75acb7ab2,0e73160e1a5b88b13b437091332ec9479722e8feecb92061b9b6c0fb571a79f8,f2b0e745909473d521b9ffa5904737eccd687ca2f04e4eb6cdd31eafb5392d82,splits/inner/ravdess/random/fold_002_seed_0.npz,dae4068b438ce72a4718b6074259e7f282a41b3ad659a6169c71ce9747d33289
4,ravdess__cnn__random__s0__f003,ravdess,cnn,random,0,3,5,864,288,288,259b453ce6135242b03a34d113209a4b8a0234687c9717e56fbe2bd75acb7ab2,0e73160e1a5b88b13b437091332ec9479722e8feecb92061b9b6c0fb571a79f8,a21d86511457f6f0fb888ed1da0b5088cfc19728c305137ae0e2201e96fa72ec,splits/inner/ravdess/random/fold_003_seed_0.npz,db7acef8682973fe23314a1601946e64279b205dcdb85785dbe87b8a29e6fa8b
5,ravdess__cnn__random__s0__f004,ravdess,cnn,random,0,4,5,864,288,288,259b453ce6135242b03a34d113209a4b8a0234687c9717e56fbe2bd75acb7ab2,0e73160e1a5b88b13b437091332ec9479722e8feecb92061b9b6c0fb571a79f8,64ef1a03810db92c62d5d0c90223495aa0e7f04af99a8c138aa8d133119c7458,splits/inner/ravdess/random/fold_004_seed_0.npz,2fb25c0c323dfa444ea98725848e1ea5cdfe3c784f8079ab0a145a189d3f834a
6,ravdess__cnn__random__s1__f000,ravdess,cnn,random,1,0,5,864,288,288,259b453ce6135242b03a34d113209a4b8a0234687c9717e56fbe2bd75acb7ab2,0e73160e1a5b88b13b437091332ec9479722e8feecb92061b9b6c0fb571a79f8,68ed3c00d5d2f33208c714cdf3e64cd8cf913de42b20ce82da6c04a7da94679b,splits/inner/ravdess/random/fold_000_seed_1.npz,ef5f07d487aa5d837c55954c0107eb1b13d9485a15fa0001b6e301dff41b45d9
7,ravdess__cnn__random__s1__f001,ravdess,cnn,random,1,1,5,864,288,288,259b453ce6135242b03a34d113209a4b8a0234687c9717e56fbe2bd75acb7ab2,0e73160e1a5b88b13b437091332ec9479722e8feecb92061b9b6c0fb571a79f8,721646e45962b82d513af0945226085470382d5ebce465a4e37dd528a8a4186d,splits/inner/ravdess/random/fold_001_seed_1.npz,0a0249534b85cc58ac154b6f4f58c58015c7471b842f3df497269672f49241d4
8,ravdess__cnn__random__s1__f002,ravdess,cnn,random,1,2,5,864,288,288,259b453ce6135242b03a34d113209a4b8a0234687c9717e56fbe2bd75acb7ab2,0e73160e1a5b88b13b437091332ec9479722e8feecb92061b9b6c0fb571a79f8,f2b0e745909473d521b9ffa5904737eccd687ca2f04e4eb6cdd31eafb5392d82,splits/inner/ravdess/random/fold_002_seed_1.npz,c29ae43219f07b012a9fc96f868a0047856aeef1c1f806844883410432be120b
9,ravdess__cnn__random__s1__f003,ravdess,cnn,random,1,3,5,864,288,288,259b453ce6135242b03a34d113209a4b8a0234687c9717e56fbe2bd75acb7ab2,0e73160e1a5b88b13b437091332ec9479722e8feecb92061b9b6c0fb571a79f8,a21d86511457f6f0fb888ed1da0b5088cfc19728c305137ae0e2201e96fa72ec,splits/inner/ravdess/random/fold_003_seed_1.npz,86d7b35d0456ee681fd4afbec428448f2f301074702dfd298709705d96f2bc86
10,ravdess__cnn__random__s1__f004,ravdess,cnn,random,1,4,5,864,288,288,259b453ce6135242b03a34d113209a4b8a0234687c9717e56fbe2bd75acb7ab2,0e73160e1a5b88b13b437091332ec9479722e8feecb92061b9b6c0fb571a79f8,64ef1a03810db92c62d5d0c90223495aa0e7f04af99a8c138aa8d133119c7458,splits/inner/ravdess/random/fold_004_seed_1.npz,a2ea720ed4a74b05b43908d2f2c83235b0a6e01bac70c17fa32172a30fd30725
