sequence,unit_id,corpus,model,protocol,seed,outer_fold,status
1,ravdess__cnn__random__s0__f000,ravdess,cnn,random,0,0,success
2,ravdess__cnn__random__s0__f001,ravdess,cnn,random,0,1,success
3,ravdess__cnn__random__s0__f002,ravdess,cnn,random,0,2,success
4,ravdess__cnn__random__s0__f003,ravdess,cnn,random,0,3,success
5,ravdess__cnn__random__s0__f004,ravdess,cnn,random,0,4,success
6,ravdess__cnn__random__s1__f000,ravdess,cnn,random,1,0,success
7,ravdess__cnn__random__s1__f001,ravdess,cnn,random,1,1,success
8,ravdess__cnn__random__s1__f002,ravdess,cnn,random,1,2,success
9,ravdess__cnn__random__s1__f003,ravdess,cnn,random,1,3,success
10,ravdess__cnn__random__s1__f004,ravdess,cnn,random,1,4,success
11,ravdess__cnn__random__s2__f000,ravdess,cnn,random,2,0,success
12,ravdess__cnn__random__s2__f001,ravdess,cnn,random,2,1,success
13,ravdess__cnn__random__s2__f002,ravdess,cnn,random,2,2,success
14,ravdess__cnn__random__s2__f003,ravdess,cnn,random,2,3,success
15,ravdess__cnn__random__s2__f004,ravdess,cnn,random,2,4,success
16,ravdess__cnn__groupkfold__s0__f000,ravdess,cnn,groupkfold,0,0,success
17,ravdess__cnn__groupkfold__s0__f001,ravdess,cnn,groupkfold,0,1,success
18,ravdess__cnn__groupkfold__s0__f002,ravdess,cnn,groupkfold,0,2,success
19,ravdess__cnn__groupkfold__s0__f003,ravdess,cnn,groupkfold,0,3,success
20,ravdess__cnn__groupkfold__s0__f004,ravdess,cnn,groupkfold,0,4,success
21,ravdess__cnn__groupkfold__s1__f000,ravdess,cnn,groupkfold,1,0,success
22,ravdess__cnn__groupkfold__s1__f001,ravdess,cnn,groupkfold,1,1,success
23,ravdess__cnn__groupkfold__s1__f002,ravdess,cnn,groupkfold,1,2,success
24,ravdess__cnn__groupkfold__s1__f003,ravdess,cnn,groupkfold,1,3,success
25,ravdess__cnn__groupkfold__s1__f004,ravdess,cnn,groupkfold,1,4,success
26,ravdess__cnn__groupkfold__s2__f000,ravdess,cnn,groupkfold,2,0,success
27,ravdess__cnn__groupkfold__s2__f001,ravdess,cnn,groupkfold,2,1,success
28,ravdess__cnn__groupkfold__s2__f002,ravdess,cnn,groupkfold,2,2,success
29,ravdess__cnn__groupkfold__s2__f003,ravdess,cnn,groupkfold,2,3,success
30,ravdess__cnn__groupkfold__s2__f004,ravdess,cnn,groupkfold,2,4,success
31,ravdess__cnn__loso__s0__f000,ravdess,cnn,loso,0,0,success
32,ravdess__cnn__loso__s0__f001,ravdess,cnn,loso,0,1,success
33,ravdess__cnn__loso__s0__f002,ravdess,cnn,loso,0,2,success
34,ravdess__cnn__loso__s0__f003,ravdess,cnn,loso,0,3,success
35,ravdess__cnn__loso__s0__f004,ravdess,cnn,loso,0,4,success
36,ravdess__cnn__loso__s0__f005,ravdess,cnn,loso,0,5,success
37,ravdess__cnn__loso__s0__f006,ravdess,cnn,loso,0,6,success
38,ravdess__cnn__loso__s0__f007,ravdess,cnn,loso,0,7,success
39,ravdess__cnn__loso__s0__f008,ravdess,cnn,loso,0,8,success
40,ravdess__cnn__loso__s0__f009,ravdess,cnn,loso,0,9,success
41,ravdess__cnn__loso__s0__f010,ravdess,cnn,loso,0,10,success
42,ravdess__cnn__loso__s0__f011,ravdess,cnn,loso,0,11,success
