corpus,protocol,outer_fold,seed,inner_key,base_u32,accepted_offset,n_fit,n_validation,n_outer_test,inner_split_path,inner_split_sha256,outer_fold_sha256
cremad,random,0,0,P1-inner|cremad|random|0|0,1175982870,0,4464,1489,1489,splits/inner/cremad/random/fold_000_seed_0.npz,6805403b50337f7a62935b6fd4464030e66094e3b283616fce63a6f91865e306,b81131d4a58a0afa1f709210c2ac98b28d52c26535e82cf3c92e444cf924f4e3
cremad,random,0,1,P1-inner|cremad|random|0|1,3332169427,0,4464,1489,1489,splits/inner/cremad/random/fold_000_seed_1.npz,8a7fb48af74f711bc4852f84f837a29b702b74cac8b496c65e92b8ec73e64dc3,b81131d4a58a0afa1f709210c2ac98b28d52c26535e82cf3c92e444cf924f4e3
cremad,random,0,2,P1-inner|cremad|random|0|2,331655716,0,4464,1489,1489,splits/inner/cremad/random/fold_000_seed_2.npz,1eb6d5f095037167a8f473af1a0798c198cc821abe3feab7331e2ee334830e0b,b81131d4a58a0afa1f709210c2ac98b28d52c26535e82cf3c92e444cf924f4e3
cremad,random,1,0,P1-inner|cremad|random|1|0,2968351190,0,4464,1489,1489,splits/inner/cremad/random/fold_001_seed_0.npz,291f3d68e54fa30f184106343d151243c31aeeb8e0b2184fe4a2d894cedf965c,bdcd7e02bf04b58e57753606ad84a1498241a2100b47ab8701b82a567937b4b4
cremad,random,1,1,P1-inner|cremad|random|1|1,1869579755,0,4464,1489,1489,splits/inner/cremad/random/fold_001_seed_1.npz,50db7d0b8ff03eb488d1431902c5062e2b3c6b338f1bd96a6d9f6207fb0cfa89,bdcd7e02bf04b58e57753606ad84a1498241a2100b47ab8701b82a567937b4b4
cremad,random,1,2,P1-inner|cremad|random|1|2,2630629901,0,4464,1489,1489,splits/inner/cremad/random/fold_001_seed_2.npz,97e4d1e9e89e814860c010c8c6e6b26be8bd48da6ffc12143074844c723cbd24,bdcd7e02bf04b58e57753606ad84a1498241a2100b47ab8701b82a567937b4b4
cremad,random,2,0,P1-inner|cremad|random|2|0,1260463323,0,4465,1489,1488,splits/inner/cremad/random/fold_002_seed_0.npz,9baf6c2ef10a675e0e2103efecf7e2fdbf6c348a45048e1159ceb7040b583ada,6fe423d70f44fb928ea069be02605baeb27ed1bafd9906ae7cff70ab53eebc27
cremad,random,2,1,P1-inner|cremad|random|2|1,989152161,0,4465,1489,1488,splits/inner/cremad/random/fold_002_seed_1.npz,73705352d7f52ed5fce92d9ec4e7efa028926353348d217c9f8493c4895c49e5,6fe423d70f44fb928ea069be02605baeb27ed1bafd9906ae7cff70ab53eebc27
cremad,random,2,2,P1-inner|cremad|random|2|2,2353851103,0,4465,1489,1488,splits/inner/cremad/random/fold_002_seed_2.npz,dc0e6ea1e7326b41729ddde7b2ffcfcb2a391e07d84e135b13b12ade55b63c9d,6fe423d70f44fb928ea069be02605baeb27ed1bafd9906ae7cff70ab53eebc27
cremad,random,3,0,P1-inner|cremad|random|3|0,2416454527,0,4465,1489,1488,splits/inner/cremad/random/fold_003_seed_0.npz,3771aa697f8334fc8c434af3e53841647bd4ab40416d682e13cec6f060791db6,93556c5b78315ce4f190f91c51594598eb06a963dde1cfc9fbf5af3ed7e32808
