corpus,protocol,outer_fold,n_train,n_test,n_train_speakers,n_test_speakers,n_overlap,overlap_fraction,test_speaker_ids,outer_fold_sha256
cremad,random,0,5953,1489,91,91,91,1,1001|1002|1003|1004|1005|1006|1007|1008|1009|1010|1011|1012|1013|1014|1015|1016|1017|1018|1019|1020|1021|1022|1023|1024|1025|1026|1027|1028|1029|1030|1031|1032|1033|1034|1035|1036|1037|1038|1039|1040|1041|1042|1043|1044|1045|1046|1047|1048|1049|1050|1051|1052|1053|1054|1055|1056|1057|1058|1059|1060|1061|1062|1063|1064|1065|1066|1067|1068|1069|1070|1071|1072|1073|1074|1075|1076|1077|1078|1079|1080|1081|1082|1083|1084|1085|1086|1087|1088|1089|1090|1091,b81131d4a58a0afa1f709210c2ac98b28d52c26535e82cf3c92e444cf924f4e3
cremad,random,1,5953,1489,91,91,91,1,1001|1002|1003|1004|1005|1006|1007|1008|1009|1010|1011|1012|1013|1014|1015|1016|1017|1018|1019|1020|1021|1022|1023|1024|1025|1026|1027|1028|1029|1030|1031|1032|1033|1034|1035|1036|1037|1038|1039|1040|1041|1042|1043|1044|1045|1046|1047|1048|1049|1050|1051|1052|1053|1054|1055|1056|1057|1058|1059|1060|1061|1062|1063|1064|1065|1066|1067|1068|1069|1070|1071|1072|1073|1074|1075|1076|1077|1078|1079|1080|1081|1082|1083|1084|1085|1086|1087|1088|1089|1090|1091,bdcd7e02bf04b58e57753606ad84a1498241a2100b47ab8701b82a567937b4b4
cremad,random,2,5954,1488,91,91,91,1,1001|1002|1003|1004|1005|1006|1007|1008|1009|1010|1011|1012|1013|1014|1015|1016|1017|1018|1019|1020|1021|1022|1023|1024|1025|1026|1027|1028|1029|1030|1031|1032|1033|1034|1035|1036|1037|1038|1039|1040|1041|1042|1043|1044|1045|1046|1047|1048|1049|1050|1051|1052|1053|1054|1055|1056|1057|1058|1059|1060|1061|1062|1063|1064|1065|1066|1067|1068|1069|1070|1071|1072|1073|1074|1075|1076|1077|1078|1079|1080|1081|1082|1083|1084|1085|1086|1087|1088|1089|1090|1091,6fe423d70f44fb928ea069be02605baeb27ed1bafd9906ae7cff70ab53eebc27
cremad,random,3,5954,1488,91,91,91,1,1001|1002|1003|1004|1005|1006|1007|1008|1009|1010|1011|1012|1013|1014|1015|1016|1017|1018|1019|1020|1021|1022|1023|1024|1025|1026|1027|1028|1029|1030|1031|1032|1033|1034|1035|1036|1037|1038|1039|1040|1041|1042|1043|1044|1045|1046|1047|1048|1049|1050|1051|1052|1053|1054|1055|1056|1057|1058|1059|1060|1061|1062|1063|1064|1065|1066|1067|1068|1069|1070|1071|1072|1073|1074|1075|1076|1077|1078|1079|1080|1081|1082|1083|1084|1085|1086|1087|1088|1089|1090|1091,93556c5b78315ce4f190f91c51594598eb06a963dde1cfc9fbf5af3ed7e32808
cremad,random,4,5954,1488,91,91,91,1,1001|1002|1003|1004|1005|1006|1007|1008|1009|1010|1011|1012|1013|1014|1015|1016|1017|1018|1019|1020|1021|1022|1023|1024|1025|1026|1027|1028|1029|1030|1031|1032|1033|1034|1035|1036|1037|1038|1039|1040|1041|1042|1043|1044|1045|1046|1047|1048|1049|1050|1051|1052|1053|1054|1055|1056|1057|1058|1059|1060|1061|1062|1063|1064|1065|1066|1067|1068|1069|1070|1071|1072|1073|1074|1075|1076|1077|1078|1079|1080|1081|1082|1083|1084|1085|1086|1087|1088|1089|1090|1091,10554ec3091ab00fb9bd7d2bb63942c7a861c8e08819db41320c34400a797167
cremad,groupkfold,0,5966,1476,73,18,0,0,1001|1007|1014|1020|1025|1030|1035|1040|1045|1050|1055|1060|1065|1070|1075|1081|1086|1091,7301e55411fafeb26a58fdcf42cb211ee39569f496f8b537ac848f32bbc72920
cremad,groupkfold,1,5967,1475,73,18,0,0,1006|1013|1018|1024|1029|1034|1039|1044|1049|1054|1059|1064|1069|1074|1076|1080|1085|1090,0295321ad52e4f929e2bdbc7c0f0811770a4f98bc3744e4ae3b11bc342d881a9
cremad,groupkfold,2,5967,1475,73,18,0,0,1002|1005|1012|1017|1023|1028|1033|1038|1043|1048|1053|1058|1063|1068|1073|1079|1084|1089,38b51d4f641fabb0a406f01faf23672848cd5c7c4e5f7fb51873f58ce00cfc16
cremad,groupkfold,3,5896,1546,72,19,0,0,1004|1008|1011|1016|1019|1022|1027|1032|1037|1042|1047|1052|1057|1062|1067|1072|1078|1083|1088,7b46ff1ae9bc6ac90327eba0cd8797929dd6cc3c059c16716e7c0bd7ff685fce
cremad,groupkfold,4,5972,1470,73,18,0,0,1003|1009|1010|1015|1021|1026|1031|1036|1041|1046|1051|1056|1061|1066|1071|1077|1082|1087,b4607a7e4925ca4072cf368ad75932363aaba5fdc18c5978edb60ebedb11c82a
