corpus,protocol,outer_fold,seed,inner_key,base_u32,accepted_offset,n_fit,n_validation,n_outer_test,inner_split_path,inner_split_sha256,outer_fold_sha256
ravdess,random,0,0,P1-inner|ravdess|random|0|0,354408858,0,864,288,288,splits/inner/ravdess/random/fold_000_seed_0.npz,f9516456fc61bc343089472cb472252158ab58669d1f63e3d8b6232653ce6ba3,68ed3c00d5d2f33208c714cdf3e64cd8cf913de42b20ce82da6c04a7da94679b
ravdess,random,0,1,P1-inner|ravdess|random|0|1,3877784143,0,864,288,288,splits/inner/ravdess/random/fold_000_seed_1.npz,ef5f07d487aa5d837c55954c0107eb1b13d9485a15fa0001b6e301dff41b45d9,68ed3c00d5d2f33208c714cdf3e64cd8cf913de42b20ce82da6c04a7da94679b
ravdess,random,0,2,P1-inner|ravdess|random|0|2,1169211914,0,864,288,288,splits/inner/ravdess/random/fold_000_seed_2.npz,22f3b1b95296636ef07d303bc33814b6764420e2a5fed7b5cc58e1c59ad8fe0c,68ed3c00d5d2f33208c714cdf3e64cd8cf913de42b20ce82da6c04a7da94679b
ravdess,random,1,0,P1-inner|ravdess|random|1|0,1246789972,0,864,288,288,splits/inner/ravdess/random/fold_001_seed_0.npz,87d3681b1c5eb0413696b949674ca410c3b387767f071684ccf39b3bc9e34644,721646e45962b82d513af0945226085470382d5ebce465a4e37dd528a8a4186d
ravdess,random,1,1,P1-inner|ravdess|random|1|1,2674056898,0,864,288,288,splits/inner/ravdess/random/fold_001_seed_1.npz,0a0249534b85cc58ac154b6f4f58c58015c7471b842f3df497269672f49241d4,721646e45962b82d513af0945226085470382d5ebce465a4e37dd528a8a4186d
ravdess,random,1,2,P1-inner|ravdess|random|1|2,896018922,0,864,288,288,splits/inner/ravdess/random/fold_001_seed_2.npz,feae93b78e938766a86d4d2fcea5e53e7a665b78277102000f4ea5c55e49d90b,721646e45962b82d513af0945226085470382d5ebce465a4e37dd528a8a4186d
ravdess,random,2,0,P1-inner|ravdess|random|2|0,2263888663,0,864,288,288,splits/inner/ravdess/random/fold_002_seed_0.npz,dae4068b438ce72a4718b6074259e7f282a41b3ad659a6169c71ce9747d33289,f2b0e745909473d521b9ffa5904737eccd687ca2f04e4eb6cdd31eafb5392d82
ravdess,random,2,1,P1-inner|ravdess|random|2|1,2703650591,0,864,288,288,splits/inner/ravdess/random/fold_002_seed_1.npz,c29ae43219f07b012a9fc96f868a0047856aeef1c1f806844883410432be120b,f2b0e745909473d521b9ffa5904737eccd687ca2f04e4eb6cdd31eafb5392d82
ravdess,random,2,2,P1-inner|ravdess|random|2|2,553843636,0,864,288,288,splits/inner/ravdess/random/fold_002_seed_2.npz,4d57b5fe8c91af88c49d2ee794690c05122a7c1e0bc274ec1072e11cf2dae778,f2b0e745909473d521b9ffa5904737eccd687ca2f04e4eb6cdd31eafb5392d82
ravdess,random,3,0,P1-inner|ravdess|random|3|0,2033467397,0,864,288,288,splits/inner/ravdess/random/fold_003_seed_0.npz,db7acef8682973fe23314a1601946e64279b205dcdb85785dbe87b8a29e6fa8b,a21d86511457f6f0fb888ed1da0b5088cfc19728c305137ae0e2201e96fa72ec
ravdess,random,3,1,P1-inner|ravdess|random|3|1,3015804486,0,864,288,288,splits/inner/ravdess/random/fold_003_seed_1.npz,86d7b35d0456ee681fd4afbec428448f2f301074702dfd298709705d96f2bc86,a21d86511457f6f0fb888ed1da0b5088cfc19728c305137ae0e2201e96fa72ec
ravdess,random,3,2,P1-inner|ravdess|random|3|2,2689825351,0,864,288,288,splits/inner/ravdess/random/fold_003_seed_2.npz,f0edaa45460a7761a008ffdd8cd6db02b9f0010f283214ab5217ddf83f463947,a21d86511457f6f0fb888ed1da0b5088cfc19728c305137ae0e2201e96fa72ec
ravdess,random,4,0,P1-inner|ravdess|random|4|0,884863153,0,864,288,288,splits/inner/ravdess/random/fold_004_seed_0.npz,2fb25c0c323dfa444ea98725848e1ea5cdfe3c784f8079ab0a145a189d3f834a,64ef1a03810db92c62d5d0c90223495aa0e7f04af99a8c138aa8d133119c7458
ravdess,random,4,1,P1-inner|ravdess|random|4|1,2884073696,0,864,288,288,splits/inner/ravdess/random/fold_004_seed_1.npz,a2ea720ed4a74b05b43908d2f2c83235b0a6e01bac70c17fa32172a30fd30725,64ef1a03810db92c62d5d0c90223495aa0e7f04af99a8c138aa8d133119c7458
ravdess,random,4,2,P1-inner|ravdess|random|4|2,2953649001,0,864,288,288,splits/inner/ravdess/random/fold_004_seed_2.npz,32642698e5ee2ecd282beb59219d2ad9878e210ce091a8b508a075b62a7597fb,64ef1a03810db92c62d5d0c90223495aa0e7f04af99a8c138aa8d133119c7458
ravdess,groupkfold,0,0,P1-inner|ravdess|groupkfold|0|0,2861369455,0,840,300,300,splits/inner/ravdess/groupkfold/fold_000_seed_0.npz,ab4a7e4434b39bb945a5f74a9c708d0d86827bfb12c8a1275ecd67032ad3bf66,c787582202f969ba2926cf3b5ec33bacecc0bc1eda8c808bd31727d76bdd49c3
ravdess,groupkfold,0,1,P1-inner|ravdess|groupkfold|0|1,3938573012,0,840,300,300,splits/inner/ravdess/groupkfold/fold_000_seed_1.npz,c6db6cd94fedab83e3b0fcee61bea72e20076252cd77c066d9fb73d2f7067c95,c787582202f969ba2926cf3b5ec33bacecc0bc1eda8c808bd31727d76bdd49c3
ravdess,groupkfold,0,2,P1-inner|ravdess|groupkfold|0|2,3900560867,0,840,300,300,splits/inner/ravdess/groupkfold/fold_000_seed_2.npz,b8cebe035e88f755101439c2155f99380373d1569632c124b59672e90181aeca,c787582202f969ba2926cf3b5ec33bacecc0bc1eda8c808bd31727d76bdd49c3
