corpus,protocol,outer_fold,n_train,n_test,n_train_speakers,n_test_speakers,n_overlap,overlap_fraction,test_speaker_ids,outer_fold_sha256
ravdess,random,0,1152,288,24,24,24,1,01|02|03|04|05|06|07|08|09|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24,68ed3c00d5d2f33208c714cdf3e64cd8cf913de42b20ce82da6c04a7da94679b
ravdess,random,1,1152,288,24,24,24,1,01|02|03|04|05|06|07|08|09|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24,721646e45962b82d513af0945226085470382d5ebce465a4e37dd528a8a4186d
ravdess,random,2,1152,288,24,24,24,1,01|02|03|04|05|06|07|08|09|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24,f2b0e745909473d521b9ffa5904737eccd687ca2f04e4eb6cdd31eafb5392d82
ravdess,random,3,1152,288,24,24,24,1,01|02|03|04|05|06|07|08|09|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24,a21d86511457f6f0fb888ed1da0b5088cfc19728c305137ae0e2201e96fa72ec
ravdess,random,4,1152,288,24,24,24,1,01|02|03|04|05|06|07|08|09|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24,64ef1a03810db92c62d5d0c90223495aa0e7f04af99a8c138aa8d133119c7458
ravdess,groupkfold,0,1140,300,19,5,0,0,04|09|14|19|24,c787582202f969ba2926cf3b5ec33bacecc0bc1eda8c808bd31727d76bdd49c3
ravdess,groupkfold,1,1140,300,19,5,0,0,03|08|13|18|23,cd1759ee99e22af731b569e0442cd55fef49c319b155f6131d4d5af1cd9b893d
ravdess,groupkfold,2,1140,300,19,5,0,0,02|07|12|17|22,90efda5a6791056ae039bacde5635e72360209a146ea4b360acead9f2a8ea4b0
ravdess,groupkfold,3,1140,300,19,5,0,0,01|06|11|16|21,a8af703994484a1df97a85337612dea687750e8b4c630dccf29a4df0850d62aa
ravdess,groupkfold,4,1200,240,20,4,0,0,05|10|15|20,e4c00ec75a546bb4c5716293f826faa43aedca48c09196f26d7cbc9bf2144666
ravdess,loso,0,1380,60,23,1,0,0,01,5a09f235080c29c7c6d6d5958eb8fe974aa52f24eddb6926bb284a83a57c3a8b
ravdess,loso,1,1380,60,23,1,0,0,02,3959b2fb1e1557319d6be85eadaeae4df0dcb312a6e4eb2c3a78fb6def05e89e
ravdess,loso,2,1380,60,23,1,0,0,03,d069952d9d708ac8f1932bfd01fd9075ac51f01ea6895f646ac9ac4c4692d5f1
ravdess,loso,3,1380,60,23,1,0,0,04,37cc3f4ac3e62f303631cd6a7e77970549b7e3f467fc99cfcefe7ae405539620
ravdess,loso,4,1380,60,23,1,0,0,05,4e84719991dab5f53917df4b95fcdadf9501cbe0ebec0156e3857fe66c59dd70
ravdess,loso,5,1380,60,23,1,0,0,06,8757cf39c7abe874a18f0c7e9b9b0a13916bc0ca5bde28aa0f8cb24e0aa9d66e
ravdess,loso,6,1380,60,23,1,0,0,07,829c4018775b5a6385339d8a684609f502eb95d8eeb983f8e86f84b5615598ba
ravdess,loso,7,1380,60,23,1,0,0,08,d2be5696ba60519af6d7a1892ffdfefee7be55c18a9998d55fad596993eda268
ravdess,loso,8,1380,60,23,1,0,0,09,95e038f03adba75872f5b7bd8040d05cd0d327dc3ed1b43713a2abe279f589d4
ravdess,loso,9,1380,60,23,1,0,0,10,1f7ce192a2e3071b2e4d94b0f357444d91acd37c0c50065b641639c22a2097be
ravdess,loso,10,1380,60,23,1,0,0,11,14a7d0dc44936361e5da0da0417e1d00761a6a816e7c3fecee6eebb4c89bbeb7
ravdess,loso,11,1380,60,23,1,0,0,12,ccb418ed1135a23e87272951f773aafb95746859bf5d5eb9b7b4267e4a10b973
ravdess,loso,12,1380,60,23,1,0,0,13,c479603a57b80666bfecb631c72ae105f93504c1f8eb911e6168528b7470b1fd
ravdess,loso,13,1380,60,23,1,0,0,14,06e6b3a03935724ea2a447c2f19c17f4a12acfbccc1789498578a5f0ab6d41ca
ravdess,loso,14,1380,60,23,1,0,0,15,bf63ccef717ec890d0cea9cff5e17b4f97cd39e58da440a85c31a16b0d607bf1
ravdess,loso,15,1380,60,23,1,0,0,16,ca5ce9a0e7a540bb56c0fc8a7b440fbccec5043691dc59e21e44e6c6dac7b927
ravdess,loso,16,1380,60,23,1,0,0,17,ab9d98f580f986db75465cfbe0b9adfa0b52beff1accac88f51397aff8c23bd9
ravdess,loso,17,1380,60,23,1,0,0,18,039b6c1230583a164ba25690d41326fe3b6c453e0d44d264e7abf5272f033088
ravdess,loso,18,1380,60,23,1,0,0,19,00e0518e9f471578d2b47409354235bc515aa75e58c62a6e634eda86e5acce01
ravdess,loso,19,1380,60,23,1,0,0,20,879dcb20cab0ea7567c970a32c1417cab348d005c8d71accd46d2fc498471419
ravdess,loso,20,1380,60,23,1,0,0,21,c266153b40f5a598b935c295c700beb8c871aaf1000a1a89c2acfeb25746221a
ravdess,loso,21,1380,60,23,1,0,0,22,89ca1ecc499c7cb0975ce6f8a8bfbf29503993809fba3e65a93998440fafd412
ravdess,loso,22,1380,60,23,1,0,0,23,5c924a3d3cddfec85bca96e1b181499ccb45605ee9957d0c4e01a5a3f9d4fe67
ravdess,loso,23,1380,60,23,1,0,0,24,fff917e7f9fe88dc51a7fa6e49bb74b8a16ffff571e9fecc31c9abf53c7675ca
