corpus,model,protocol,seed,status,reason,n_expected_folds,n_success_folds,n_missing_units,n_failed_units,n_invalid_units,n_expected_utterances,n_oof_utterances
ravdess,cnn,random,0,complete,,5,5,0,0,0,1440,1440
ravdess,cnn,random,1,complete,,5,5,0,0,0,1440,1440
ravdess,cnn,random,2,complete,,5,5,0,0,0,1440,1440
ravdess,cnn,groupkfold,0,complete,,5,5,0,0,0,1440,1440
ravdess,cnn,groupkfold,1,complete,,5,5,0,0,0,1440,1440
ravdess,cnn,groupkfold,2,complete,,5,5,0,0,0,1440,1440
ravdess,cnn,loso,0,complete,,24,24,0,0,0,1440,1440
ravdess,cnn,loso,1,complete,,24,24,0,0,0,1440,1440
ravdess,cnn,loso,2,complete,,24,24,0,0,0,1440,1440
ravdess,resnet_se,random,0,complete,,5,5,0,0,0,1440,1440
ravdess,resnet_se,random,1,complete,,5,5,0,0,0,1440,1440
ravdess,resnet_se,random,2,complete,,5,5,0,0,0,1440,1440
ravdess,resnet_se,groupkfold,0,complete,,5,5,0,0,0,1440,1440
ravdess,resnet_se,groupkfold,1,complete,,5,5,0,0,0,1440,1440
ravdess,resnet_se,groupkfold,2,complete,,5,5,0,0,0,1440,1440
ravdess,resnet_se,loso,0,complete,,24,24,0,0,0,1440,1440
ravdess,resnet_se,loso,1,complete,,24,24,0,0,0,1440,1440
ravdess,resnet_se,loso,2,complete,,24,24,0,0,0,1440,1440
ravdess,transformer,random,0,complete,,5,5,0,0,0,1440,1440
ravdess,transformer,random,1,complete,,5,5,0,0,0,1440,1440
ravdess,transformer,random,2,complete,,5,5,0,0,0,1440,1440
ravdess,transformer,groupkfold,0,complete,,5,5,0,0,0,1440,1440
ravdess,transformer,groupkfold,1,complete,,5,5,0,0,0,1440,1440
ravdess,transformer,groupkfold,2,complete,,5,5,0,0,0,1440,1440
ravdess,transformer,loso,0,complete,,24,24,0,0,0,1440,1440
ravdess,transformer,loso,1,complete,,24,24,0,0,0,1440,1440
ravdess,transformer,loso,2,complete,,24,24,0,0,0,1440,1440
ravdess,fno,random,0,complete,,5,5,0,0,0,1440,1440
ravdess,fno,random,1,complete,,5,5,0,0,0,1440,1440
ravdess,fno,random,2,complete,,5,5,0,0,0,1440,1440
ravdess,fno,groupkfold,0,complete,,5,5,0,0,0,1440,1440
ravdess,fno,groupkfold,1,complete,,5,5,0,0,0,1440,1440
ravdess,fno,groupkfold,2,complete,,5,5,0,0,0,1440,1440
ravdess,fno,loso,0,complete,,24,24,0,0,0,1440,1440
ravdess,fno,loso,1,complete,,24,24,0,0,0,1440,1440
ravdess,fno,loso,2,complete,,24,24,0,0,0,1440,1440
cremad,cnn,random,0,complete,,5,5,0,0,0,7442,7442
cremad,cnn,random,1,complete,,5,5,0,0,0,7442,7442
cremad,cnn,random,2,complete,,5,5,0,0,0,7442,7442
cremad,cnn,groupkfold,0,complete,,5,5,0,0,0,7442,7442
cremad,cnn,groupkfold,1,complete,,5,5,0,0,0,7442,7442
cremad,cnn,groupkfold,2,complete,,5,5,0,0,0,7442,7442
cremad,cnn,loso,0,complete,,91,91,0,0,0,7442,7442
cremad,cnn,loso,1,complete,,91,91,0,0,0,7442,7442
cremad,cnn,loso,2,complete,,91,91,0,0,0,7442,7442
cremad,resnet_se,random,0,complete,,5,5,0,0,0,7442,7442
cremad,resnet_se,random,1,complete,,5,5,0,0,0,7442,7442
cremad,resnet_se,random,2,complete,,5,5,0,0,0,7442,7442
cremad,resnet_se,groupkfold,0,complete,,5,5,0,0,0,7442,7442
cremad,resnet_se,groupkfold,1,complete,,5,5,0,0,0,7442,7442
cremad,resnet_se,groupkfold,2,complete,,5,5,0,0,0,7442,7442
cremad,resnet_se,loso,0,complete,,91,91,0,0,0,7442,7442
cremad,resnet_se,loso,1,complete,,91,91,0,0,0,7442,7442
cremad,resnet_se,loso,2,complete,,91,91,0,0,0,7442,7442
cremad,transformer,random,0,complete,,5,5,0,0,0,7442,7442
cremad,transformer,random,1,complete,,5,5,0,0,0,7442,7442
cremad,transformer,random,2,complete,,5,5,0,0,0,7442,7442
cremad,transformer,groupkfold,0,complete,,5,5,0,0,0,7442,7442
cremad,transformer,groupkfold,1,complete,,5,5,0,0,0,7442,7442
cremad,transformer,groupkfold,2,complete,,5,5,0,0,0,7442,7442
cremad,transformer,loso,0,complete,,91,91,0,0,0,7442,7442
cremad,transformer,loso,1,complete,,91,91,0,0,0,7442,7442
cremad,transformer,loso,2,complete,,91,91,0,0,0,7442,7442
cremad,fno,random,0,complete,,5,5,0,0,0,7442,7442
cremad,fno,random,1,complete,,5,5,0,0,0,7442,7442
cremad,fno,random,2,complete,,5,5,0,0,0,7442,7442
cremad,fno,groupkfold,0,complete,,5,5,0,0,0,7442,7442
cremad,fno,groupkfold,1,complete,,5,5,0,0,0,7442,7442
cremad,fno,groupkfold,2,complete,,5,5,0,0,0,7442,7442
cremad,fno,loso,0,complete,,91,91,0,0,0,7442,7442
cremad,fno,loso,1,complete,,91,91,0,0,0,7442,7442
cremad,fno,loso,2,complete,,91,91,0,0,0,7442,7442
