corpus,protocol,outer_fold,n_train_speakers,n_test_speakers,n_overlap,overlap_fraction,speaker_disjoint_required,assertion_pass
ravdess,random,0,24,24,24,1,false,true
ravdess,random,1,24,24,24,1,false,true
ravdess,random,2,24,24,24,1,false,true
ravdess,random,3,24,24,24,1,false,true
ravdess,random,4,24,24,24,1,false,true
ravdess,groupkfold,0,19,5,0,0,true,true
ravdess,groupkfold,1,19,5,0,0,true,true
ravdess,groupkfold,2,19,5,0,0,true,true
ravdess,groupkfold,3,19,5,0,0,true,true
ravdess,groupkfold,4,20,4,0,0,true,true
ravdess,loso,0,23,1,0,0,true,true
ravdess,loso,1,23,1,0,0,true,true
ravdess,loso,2,23,1,0,0,true,true
ravdess,loso,3,23,1,0,0,true,true
ravdess,loso,4,23,1,0,0,true,true
ravdess,loso,5,23,1,0,0,true,true
ravdess,loso,6,23,1,0,0,true,true
ravdess,loso,7,23,1,0,0,true,true
ravdess,loso,8,23,1,0,0,true,true
ravdess,loso,9,23,1,0,0,true,true
ravdess,loso,10,23,1,0,0,true,true
ravdess,loso,11,23,1,0,0,true,true
ravdess,loso,12,23,1,0,0,true,true
ravdess,loso,13,23,1,0,0,true,true
ravdess,loso,14,23,1,0,0,true,true
ravdess,loso,15,23,1,0,0,true,true
ravdess,loso,16,23,1,0,0,true,true
ravdess,loso,17,23,1,0,0,true,true
ravdess,loso,18,23,1,0,0,true,true
ravdess,loso,19,23,1,0,0,true,true
ravdess,loso,20,23,1,0,0,true,true
ravdess,loso,21,23,1,0,0,true,true
ravdess,loso,22,23,1,0,0,true,true
ravdess,loso,23,23,1,0,0,true,true
cremad,random,0,91,91,91,1,false,true
cremad,random,1,91,91,91,1,false,true
cremad,random,2,91,91,91,1,false,true
cremad,random,3,91,91,91,1,false,true
cremad,random,4,91,91,91,1,false,true
cremad,groupkfold,0,73,18,0,0,true,true
cremad,groupkfold,1,73,18,0,0,true,true
cremad,groupkfold,2,73,18,0,0,true,true
cremad,groupkfold,3,72,19,0,0,true,true
cremad,groupkfold,4,73,18,0,0,true,true
cremad,loso,0,90,1,0,0,true,true
cremad,loso,1,90,1,0,0,true,true
cremad,loso,2,90,1,0,0,true,true
cremad,loso,3,90,1,0,0,true,true
cremad,loso,4,90,1,0,0,true,true
cremad,loso,5,90,1,0,0,true,true
cremad,loso,6,90,1,0,0,true,true
cremad,loso,7,90,1,0,0,true,true
cremad,loso,8,90,1,0,0,true,true
cremad,loso,9,90,1,0,0,true,true
cremad,loso,10,90,1,0,0,true,true
cremad,loso,11,90,1,0,0,true,true
cremad,loso,12,90,1,0,0,true,true
cremad,loso,13,90,1,0,0,true,true
cremad,loso,14,90,1,0,0,true,true
cremad,loso,15,90,1,0,0,true,true
cremad,loso,16,90,1,0,0,true,true
cremad,loso,17,90,1,0,0,true,true
cremad,loso,18,90,1,0,0,true,true
cremad,loso,19,90,1,0,0,true,true
cremad,loso,20,90,1,0,0,true,true
cremad,loso,21,90,1,0,0,true,true
cremad,loso,22,90,1,0,0,true,true
cremad,loso,23,90,1,0,0,true,true
cremad,loso,24,90,1,0,0,true,true
cremad,loso,25,90,1,0,0,true,true
cremad,loso,26,90,1,0,0,true,true
cremad,loso,27,90,1,0,0,true,true
cremad,loso,28,90,1,0,0,true,true
cremad,loso,29,90,1,0,0,true,true
cremad,loso,30,90,1,0,0,true,true
cremad,loso,31,90,1,0,0,true,true
cremad,loso,32,90,1,0,0,true,true
cremad,loso,33,90,1,0,0,true,true
cremad,loso,34,90,1,0,0,true,true
cremad,loso,35,90,1,0,0,true,true
cremad,loso,36,90,1,0,0,true,true
cremad,loso,37,90,1,0,0,true,true
cremad,loso,38,90,1,0,0,true,true
cremad,loso,39,90,1,0,0,true,true
cremad,loso,40,90,1,0,0,true,true
