corpus,model,contrast,protocol_a,protocol_b,speaker_id,status,reason,n_required_seeds_per_protocol,uar_difference,accuracy_difference,macro_f1_difference
ravdess,cnn,RG,random,groupkfold,01,complete,,3,0.21354166666666663,0.21666666666666662,0.24844456067282156
ravdess,cnn,RG,random,groupkfold,02,complete,,3,0.28125,0.29444444444444445,0.29157268444871648
ravdess,cnn,RG,random,groupkfold,03,complete,,3,0.11979166666666663,0.13333333333333347,0.13719247235156168
ravdess,cnn,RG,random,groupkfold,04,complete,,3,0.27604166666666669,0.25555555555555554,0.27784389867484827
ravdess,cnn,RG,random,groupkfold,05,complete,,3,0.109375,0.094444444444444386,0.11150077421666482
ravdess,cnn,RG,random,groupkfold,06,complete,,3,0.20833333333333337,0.1999999999999999,0.2456403000186182
ravdess,cnn,RG,random,groupkfold,07,complete,,3,0.171875,0.18333333333333346,0.18782413980716234
ravdess,cnn,RG,random,groupkfold,08,complete,,3,0.14583333333333337,0.15000000000000002,0.16086404780290225
ravdess,cnn,RG,random,groupkfold,09,complete,,3,0.28125,0.27777777777777779,0.31740023383448002
ravdess,cnn,RG,random,groupkfold,10,complete,,3,0.12499999999999994,0.1166666666666667,0.10245822647138431
ravdess,cnn,RG,random,groupkfold,11,complete,,3,0.14062500000000006,0.15555555555555539,0.13294087598847659
ravdess,cnn,RG,random,groupkfold,12,complete,,3,0.13541666666666663,0.1388888888888889,0.15896119187443725
ravdess,cnn,RG,random,groupkfold,13,complete,,3,0.05208333333333337,0.044444444444444398,0.045371182778738139
ravdess,cnn,RG,random,groupkfold,14,complete,,3,0.125,0.12222222222222218,0.12189308596572362
ravdess,cnn,RG,random,groupkfold,15,complete,,3,0.093749999999999944,0.088888888888888962,0.11704375686141966
ravdess,cnn,RG,random,groupkfold,16,complete,,3,0.27604166666666669,0.26111111111111102,0.32230524754531148
ravdess,cnn,RG,random,groupkfold,17,complete,,3,0.23958333333333337,0.24444444444444441,0.22296997072116015
ravdess,cnn,RG,random,groupkfold,18,complete,,3,0.13541666666666669,0.12777777777777782,0.14453120659583507
ravdess,cnn,RG,random,groupkfold,19,complete,,3,0.08854166666666663,0.088888888888888962,0.10825268065878607
ravdess,cnn,RG,random,groupkfold,20,complete,,3,0.17708333333333331,0.16666666666666669,0.16854608347448902
ravdess,cnn,RG,random,groupkfold,21,complete,,3,0.22395833333333337,0.18888888888888888,0.29176476720356015
