corpus,model,protocol,metric,status,reason,n_required_seeds,n_complete_seeds,mean,sample_sd
ravdess,cnn,random,uar,complete,,3,3,0.56857638888888895,0.011652251526613557
ravdess,cnn,random,accuracy,complete,,3,3,0.55555555555555547,0.012500000000000011
ravdess,cnn,random,macro_f1,complete,,3,3,0.53113129609797982,0.013118775059013656
ravdess,cnn,groupkfold,uar,complete,,3,3,0.39149305555555552,0.0052218790865954795
ravdess,cnn,groupkfold,accuracy,complete,,3,3,0.3835648148148148,0.0042431256434776448
ravdess,cnn,groupkfold,macro_f1,complete,,3,3,0.35920494551903631,0.0024984150230376607
ravdess,cnn,loso,uar,complete,,3,3,0.45789930555555558,0.018093024606853067
ravdess,cnn,loso,accuracy,complete,,3,3,0.45254629629629628,0.020392717119663898
ravdess,cnn,loso,macro_f1,complete,,3,3,0.43083114356670976,0.01990708902133248
ravdess,resnet_se,random,uar,complete,,3,3,0.66037326388888884,0.015300633452319742
ravdess,resnet_se,random,accuracy,complete,,3,3,0.64930555555555558,0.012167649630510589
ravdess,resnet_se,random,macro_f1,complete,,3,3,0.63838796896180527,0.01232623493726575
ravdess,resnet_se,groupkfold,uar,complete,,3,3,0.46354166666666669,0.025020675586687042
ravdess,resnet_se,groupkfold,accuracy,complete,,3,3,0.45694444444444443,0.024854903011351806
ravdess,resnet_se,groupkfold,macro_f1,complete,,3,3,0.43969412663847923,0.021721763011222552
ravdess,resnet_se,loso,uar,complete,,3,3,0.50759548611111105,0.025099605358725668
ravdess,resnet_se,loso,accuracy,complete,,3,3,0.50231481481481477,0.024496603653057294
ravdess,resnet_se,loso,macro_f1,complete,,3,3,0.49161832030109148,0.025458642637760993
ravdess,transformer,random,uar,complete,,3,3,0.57356770833333337,0.017261814561930846
ravdess,transformer,random,accuracy,complete,,3,3,0.56967592592592597,0.015840844547153361
ravdess,transformer,random,macro_f1,complete,,3,3,0.5606071179247939,0.016349325336663077
ravdess,transformer,groupkfold,uar,complete,,3,3,0.41015625,0.013294647042097745
ravdess,transformer,groupkfold,accuracy,complete,,3,3,0.40833333333333338,0.011557859011870295
ravdess,transformer,groupkfold,macro_f1,complete,,3,3,0.39845373205665541,0.0082784021034300603
ravdess,transformer,loso,uar,complete,,3,3,0.42534722222222227,0.023976843129112684
ravdess,transformer,loso,accuracy,complete,,3,3,0.42291666666666666,0.020553678592984355
ravdess,transformer,loso,macro_f1,complete,,3,3,0.41213326576431369,0.022602681674093725
ravdess,fno,random,uar,complete,,3,3,0.55794270833333337,0.012369791666666718
ravdess,fno,random,accuracy,complete,,3,3,0.54513888888888895,0.013010412496663347
ravdess,fno,random,macro_f1,complete,,3,3,0.53662875441012614,0.0135863037093938
ravdess,fno,groupkfold,uar,complete,,3,3,0.40407986111111116,0.021299446106449592
ravdess,fno,groupkfold,accuracy,complete,,3,3,0.39351851851851855,0.022225838826074328
ravdess,fno,groupkfold,macro_f1,complete,,3,3,0.37306267926028441,0.017662908240387753
ravdess,fno,loso,uar,complete,,3,3,0.42513020833333331,0.0068899773725640658
ravdess,fno,loso,accuracy,complete,,3,3,0.41435185185185186,0.005023734818104344
ravdess,fno,loso,macro_f1,complete,,3,3,0.39497459571825999,0.0019184728674926223
cremad,cnn,random,uar,complete,,3,3,0.5863045152990628,0.0059370913775791271
cremad,cnn,random,accuracy,complete,,3,3,0.58196721311475408,0.0059078064866919201
cremad,cnn,random,macro_f1,complete,,3,3,0.57762214494991371,0.0062733644401460186
cremad,cnn,groupkfold,uar,complete,,3,3,0.55839639130581287,0.0084098477054110853
cremad,cnn,groupkfold,accuracy,complete,,3,3,0.5542864821284601,0.0089173125627718657
cremad,cnn,groupkfold,macro_f1,complete,,3,3,0.54965325909665808,0.010956498994758632
cremad,cnn,loso,uar,complete,,3,3,0.57586234185041196,0.0030629375715695664
cremad,cnn,loso,accuracy,complete,,3,3,0.57193406790289347,0.003206222371794968
cremad,cnn,loso,macro_f1,complete,,3,3,0.5683801819567772,0.0031721150730362794
cremad,resnet_se,random,uar,complete,,3,3,0.61235996578145435,0.006420205573611136
cremad,resnet_se,random,accuracy,complete,,3,3,0.60790110185434021,0.0064875612494347647
cremad,resnet_se,random,macro_f1,complete,,3,3,0.60493650021513012,0.0073438563360760803
cremad,resnet_se,groupkfold,uar,complete,,3,3,0.58789344029001323,0.0078839618674510989
