corpus,model,contrast,protocol_a,protocol_b,metric,status,reason,point_mean_difference,speaker_difference_sample_sd,ci95_low,ci95_high,bootstrap_seed,bootstrap_replicates,n_speakers,n_speakers_expected,n_required_seed_cells,n_missing_seed_cells,n_missing_units,n_failed_units,n_invalid_units,wilcoxon_statistic,wilcoxon_p_raw,wilcoxon_error,sign_test_p_sensitivity,n_zero_differences,holm_family_size,holm_adjusted_p,holm_reject_0_05
ravdess,cnn,RG,random,groupkfold,uar,complete,,0.17708333333333334,0.070264258141833555,0.150390625,0.20551215277777776,202608101744,10000,24,24,6,0,0,0,0,0,1.8179489321282247e-05,,,0,24,0.00030874730983004904,true
ravdess,cnn,RG,random,groupkfold,accuracy,complete,,0.17199074074074075,0.068815590712705973,0.14560185185185187,0.19977430555555548,202608101744,10000,24,24,6,0,0,0,0,,,,,,,,
ravdess,cnn,RG,random,groupkfold,macro_f1,complete,,0.18654060310688994,0.076380685691549127,0.15738522313757156,0.21728749534896583,202608101744,10000,24,24,6,0,0,0,0,,,,,,,,
ravdess,cnn,RL,random,loso,uar,complete,,0.11067708333333333,0.074820670519696028,0.083116319444444448,0.14192708333333334,202608101744,10000,24,24,6,0,0,0,0,0,1.8197386214786344e-05,,,0,24,0.00030874730983004904,true
ravdess,cnn,RL,random,loso,accuracy,complete,,0.10300925925925924,0.071371413050485721,0.077083333333333337,0.13263888888888886,202608101744,10000,24,24,6,0,0,0,0,,,,,,,,
ravdess,cnn,RL,random,loso,macro_f1,complete,,0.11496857478115709,0.0822367320695018,0.084543442344200317,0.14907265033598588,202608101744,10000,24,24,6,0,0,0,0,,,,,,,,
ravdess,cnn,GL,groupkfold,loso,uar,complete,,-0.06640625,0.051152229779483166,-0.086588541666666671,-0.046006944444444454,202608101744,10000,24,24,6,0,0,0,0,10,6.3069813310127337e-05,,,0,24,0.00056762831979114607,true
ravdess,cnn,GL,groupkfold,loso,accuracy,complete,,-0.068981481481481491,0.054627923770413353,-0.090509259259259234,-0.047222222222222249,202608101744,10000,24,24,6,0,0,0,0,,,,,,,,
ravdess,cnn,GL,groupkfold,loso,macro_f1,complete,,-0.071572028325732881,0.053277201610630716,-0.092488079978330903,-0.050554556830875397,202608101744,10000,24,24,6,0,0,0,0,,,,,,,,
ravdess,resnet_se,RG,random,groupkfold,uar,complete,,0.19683159722222221,0.080701464488862534,0.16623263888888892,0.22938368055555555,202608101744,10000,24,24,6,0,0,0,0,0,1.8197386214786344e-05,,,0,24,0.00030874730983004904,true
ravdess,resnet_se,RG,random,groupkfold,accuracy,complete,,0.19236111111111112,0.075870551465704719,0.16342592592592589,0.2226909722222222,202608101744,10000,24,24,6,0,0,0,0,,,,,,,,
ravdess,resnet_se,RG,random,groupkfold,macro_f1,complete,,0.21527362187195306,0.085830595513564062,0.18267241386264405,0.24974540974318468,202608101744,10000,24,24,6,0,0,0,0,,,,,,,,
ravdess,resnet_se,RL,random,loso,uar,complete,,0.15277777777777776,0.091877776229593894,0.11848958333333333,0.19097222222222221,202608101744,10000,24,24,6,0,0,0,0,0,1.8161606460591121e-05,,,0,24,0.00030874730983004904,true
ravdess,resnet_se,RL,random,loso,accuracy,complete,,0.14699074074074073,0.087488656831917366,0.11435185185185182,0.18263888888888888,202608101744,10000,24,24,6,0,0,0,0,,,,,,,,
