corpus,model,protocol,speaker_id,status,reason,n_required_seeds,n_complete_seeds,n_utterances_per_seed,uar_seed_mean,accuracy_seed_mean,macro_f1_seed_mean
ravdess,cnn,random,01,complete,,3,3,60,0.68229166666666663,0.66666666666666663,0.64182228860937307
ravdess,cnn,random,02,complete,,3,3,60,0.75,0.73333333333333339,0.70599750589108179
ravdess,cnn,random,03,complete,,3,3,60,0.55729166666666663,0.55555555555555569,0.50891340464137946
ravdess,cnn,random,04,complete,,3,3,60,0.5625,0.53888888888888886,0.51364667575000389
ravdess,cnn,random,05,complete,,3,3,60,0.453125,0.43333333333333335,0.38325308635915717
ravdess,cnn,random,06,complete,,3,3,60,0.66145833333333337,0.63888888888888884,0.61434780389888743
ravdess,cnn,random,07,complete,,3,3,60,0.53125,0.56666666666666676,0.52389716299352518
ravdess,cnn,random,08,complete,,3,3,60,0.69270833333333337,0.67222222222222217,0.64919065712409363
ravdess,cnn,random,09,complete,,3,3,60,0.515625,0.51111111111111107,0.48341557226361154
ravdess,cnn,random,10,complete,,3,3,60,0.51041666666666663,0.49444444444444446,0.46414109697778422
ravdess,cnn,random,11,complete,,3,3,60,0.56770833333333337,0.55555555555555547,0.46141069657323525
ravdess,cnn,random,12,complete,,3,3,60,0.60416666666666663,0.57777777777777783,0.55219801324593354
ravdess,cnn,random,13,complete,,3,3,60,0.36979166666666669,0.34444444444444439,0.28821474662773677
ravdess,cnn,random,14,complete,,3,3,60,0.48958333333333331,0.48333333333333334,0.43453919553958253
ravdess,cnn,random,15,complete,,3,3,60,0.51041666666666663,0.48888888888888893,0.46805061481919069
ravdess,cnn,random,16,complete,,3,3,60,0.671875,0.6777777777777777,0.64863538665783249
ravdess,cnn,random,17,complete,,3,3,60,0.52083333333333337,0.50555555555555554,0.46523954961497022
ravdess,cnn,random,18,complete,,3,3,60,0.53125,0.52777777777777779,0.49831447255015365
ravdess,cnn,random,19,complete,,3,3,60,0.58854166666666663,0.56111111111111112,0.51530717524163816
ravdess,cnn,random,20,complete,,3,3,60,0.609375,0.58333333333333337,0.5555443875296816
ravdess,cnn,random,21,complete,,3,3,60,0.56770833333333337,0.55555555555555558,0.52438772890527285
ravdess,cnn,random,22,complete,,3,3,60,0.53125,0.51111111111111107,0.49828047053279251
ravdess,cnn,random,23,complete,,3,3,60,0.5,0.5,0.43882809060182648
ravdess,cnn,random,24,complete,,3,3,60,0.66666666666666663,0.65000000000000002,0.60915481577246278
ravdess,cnn,groupkfold,01,complete,,3,3,60,0.46875,0.45000000000000001,0.39337772793655151
ravdess,cnn,groupkfold,02,complete,,3,3,60,0.46875,0.43888888888888894,0.41442482144236531
ravdess,cnn,groupkfold,03,complete,,3,3,60,0.4375,0.42222222222222222,0.37172093228981778
ravdess,cnn,groupkfold,04,complete,,3,3,60,0.28645833333333331,0.28333333333333333,0.2358027770751556
ravdess,cnn,groupkfold,05,complete,,3,3,60,0.34375,0.33888888888888896,0.27175231214249235
ravdess,cnn,groupkfold,06,complete,,3,3,60,0.453125,0.43888888888888894,0.36870750388026924
ravdess,cnn,groupkfold,07,complete,,3,3,60,0.359375,0.3833333333333333,0.33607302318636284
ravdess,cnn,groupkfold,08,complete,,3,3,60,0.546875,0.52222222222222214,0.48832660932119137
ravdess,cnn,groupkfold,09,complete,,3,3,60,0.234375,0.23333333333333331,0.16601533842913152
ravdess,cnn,groupkfold,10,complete,,3,3,60,0.38541666666666669,0.37777777777777777,0.36168287050639991
ravdess,cnn,groupkfold,11,complete,,3,3,60,0.42708333333333331,0.40000000000000008,0.32846982058475865
ravdess,cnn,groupkfold,12,complete,,3,3,60,0.46875,0.43888888888888894,0.39323682137149629
ravdess,cnn,groupkfold,13,complete,,3,3,60,0.31770833333333331,0.29999999999999999,0.24284356384899863
ravdess,cnn,groupkfold,14,complete,,3,3,60,0.36458333333333331,0.36111111111111116,0.31264610957385891
ravdess,cnn,groupkfold,15,complete,,3,3,60,0.41666666666666669,0.39999999999999997,0.35100685795777103
ravdess,cnn,groupkfold,16,complete,,3,3,60,0.39583333333333331,0.41666666666666669,0.32633013911252101
ravdess,cnn,groupkfold,17,complete,,3,3,60,0.28125,0.26111111111111113,0.24226957889381007
ravdess,cnn,groupkfold,18,complete,,3,3,60,0.39583333333333331,0.39999999999999997,0.35378326595431858
ravdess,cnn,groupkfold,19,complete,,3,3,60,0.5,0.47222222222222215,0.40705449458285209
ravdess,cnn,groupkfold,20,complete,,3,3,60,0.43229166666666669,0.41666666666666669,0.38699830405519259
ravdess,cnn,groupkfold,21,complete,,3,3,60,0.34375,0.3666666666666667,0.23262296170171273
ravdess,cnn,groupkfold,22,complete,,3,3,60,0.38541666666666669,0.37222222222222223,0.34254946048676693
ravdess,cnn,groupkfold,23,complete,,3,3,60,0.20833333333333334,0.22222222222222224,0.20885546342202688
ravdess,cnn,groupkfold,24,complete,,3,3,60,0.47395833333333331,0.48888888888888887,0.43320536640002588
ravdess,cnn,loso,01,complete,,3,3,60,0.59895833333333337,0.5722222222222223,0.54538053178070334
ravdess,cnn,loso,02,complete,,3,3,60,0.55208333333333337,0.52777777777777779,0.48158490018641115
