corpus,model,protocol,seed,speaker_id,status,reason,n_utterances,uar,accuracy,macro_f1
ravdess,cnn,random,0,01,complete,,60,0.640625,0.6166666666666667,0.5856485018249723
ravdess,cnn,random,0,02,complete,,60,0.78125,0.76666666666666672,0.74274585064058751
ravdess,cnn,random,0,03,complete,,60,0.515625,0.51666666666666672,0.46424541467304625
ravdess,cnn,random,0,04,complete,,60,0.53125,0.5,0.49239510489510485
ravdess,cnn,random,0,05,complete,,60,0.484375,0.46666666666666667,0.41081944371418055
ravdess,cnn,random,0,06,complete,,60,0.65625,0.6333333333333333,0.60019779841761256
ravdess,cnn,random,0,07,complete,,60,0.5625,0.59999999999999998,0.5607846487877447
ravdess,cnn,random,0,08,complete,,60,0.65625,0.6333333333333333,0.60894269988697236
ravdess,cnn,random,0,09,complete,,60,0.484375,0.48333333333333334,0.43877456965692263
ravdess,cnn,random,0,10,complete,,60,0.546875,0.53333333333333333,0.50467767848766298
ravdess,cnn,random,0,11,complete,,60,0.546875,0.53333333333333333,0.43588772338772341
ravdess,cnn,random,0,12,complete,,60,0.609375,0.58333333333333337,0.55773524720893142
ravdess,cnn,random,0,13,complete,,60,0.328125,0.29999999999999999,0.25033068783068779
ravdess,cnn,random,0,14,complete,,60,0.5,0.48333333333333334,0.43559634809634806
ravdess,cnn,random,0,15,complete,,60,0.515625,0.48333333333333334,0.46470959595959593
ravdess,cnn,random,0,16,complete,,60,0.671875,0.66666666666666663,0.63613296425796428
ravdess,cnn,random,0,17,complete,,60,0.53125,0.51666666666666672,0.47018706804891014
ravdess,cnn,random,0,18,complete,,60,0.53125,0.51666666666666672,0.49738943654384826
ravdess,cnn,random,0,19,complete,,60,0.5625,0.53333333333333333,0.4737792152434096
ravdess,cnn,random,0,20,complete,,60,0.609375,0.58333333333333337,0.56333562271062276
ravdess,cnn,random,0,21,complete,,60,0.546875,0.51666666666666672,0.50755980861244021
ravdess,cnn,random,0,22,complete,,60,0.53125,0.51666666666666672,0.48469012605042017
ravdess,cnn,random,0,23,complete,,60,0.390625,0.40000000000000002,0.38053451178451175
ravdess,cnn,random,0,24,complete,,60,0.671875,0.65000000000000002,0.60601163542340009
ravdess,cnn,random,1,01,complete,,60,0.671875,0.66666666666666663,0.64477868146346418
ravdess,cnn,random,1,02,complete,,60,0.765625,0.75,0.7301483443027561
ravdess,cnn,random,1,03,complete,,60,0.546875,0.55000000000000004,0.4979745972308901
ravdess,cnn,random,1,04,complete,,60,0.515625,0.5,0.47209622485357772
ravdess,cnn,random,1,05,complete,,60,0.4375,0.41666666666666669,0.36184853158537372
ravdess,cnn,random,1,06,complete,,60,0.671875,0.65000000000000002,0.63956282580508583
ravdess,cnn,random,1,07,complete,,60,0.578125,0.6166666666666667,0.57211230139829206
ravdess,cnn,random,1,08,complete,,60,0.703125,0.68333333333333335,0.66759483206851622
ravdess,cnn,random,1,09,complete,,60,0.59375,0.58333333333333337,0.55430088702147529
ravdess,cnn,random,1,10,complete,,60,0.453125,0.43333333333333335,0.41405157342657339
ravdess,cnn,random,1,11,complete,,60,0.546875,0.53333333333333333,0.44307804768331083
ravdess,cnn,random,1,12,complete,,60,0.59375,0.56666666666666665,0.54202118569126245
ravdess,cnn,random,1,13,complete,,60,0.390625,0.36666666666666664,0.29123995897892957
ravdess,cnn,random,1,14,complete,,60,0.515625,0.51666666666666672,0.46753104244396815
ravdess,cnn,random,1,15,complete,,60,0.5,0.48333333333333334,0.46099981889455577
ravdess,cnn,random,1,16,complete,,60,0.625,0.65000000000000002,0.61719187675070031
ravdess,cnn,random,1,17,complete,,60,0.515625,0.5,0.44744462647065619
ravdess,cnn,random,1,18,complete,,60,0.515625,0.51666666666666672,0.48212759462759464
ravdess,cnn,random,1,19,complete,,60,0.5625,0.53333333333333333,0.49937790168768426
ravdess,cnn,random,1,20,complete,,60,0.609375,0.58333333333333337,0.54415835390100098
ravdess,cnn,random,1,21,complete,,60,0.59375,0.59999999999999998,0.56304945054945055
ravdess,cnn,random,1,22,complete,,60,0.515625,0.5,0.51484032715650363
ravdess,cnn,random,1,23,complete,,60,0.546875,0.53333333333333333,0.45736788867593825
ravdess,cnn,random,1,24,complete,,60,0.609375,0.59999999999999998,0.56740196078431371
ravdess,cnn,random,2,01,complete,,60,0.734375,0.71666666666666667,0.69503968253968251
ravdess,cnn,random,2,02,complete,,60,0.703125,0.68333333333333335,0.64509832272990164
ravdess,cnn,random,2,03,complete,,60,0.609375,0.59999999999999998,0.56452020202020203
ravdess,cnn,random,2,04,complete,,60,0.640625,0.6166666666666667,0.57644869750132899
ravdess,cnn,random,2,05,complete,,60,0.4375,0.41666666666666669,0.37709128377791723
ravdess,cnn,random,2,06,complete,,60,0.65625,0.6333333333333333,0.60328278747396391
ravdess,cnn,random,2,07,complete,,60,0.453125,0.48333333333333334,0.43879453879453878
