sequence,unit_id,corpus,model,protocol,seed,outer_fold,status,reason,n_expected_predictions,n_observed_predictions
1,ravdess__cnn__random__s0__f000,ravdess,cnn,random,0,0,success,,288,288
2,ravdess__cnn__random__s0__f001,ravdess,cnn,random,0,1,success,,288,288
3,ravdess__cnn__random__s0__f002,ravdess,cnn,random,0,2,success,,288,288
4,ravdess__cnn__random__s0__f003,ravdess,cnn,random,0,3,success,,288,288
5,ravdess__cnn__random__s0__f004,ravdess,cnn,random,0,4,success,,288,288
6,ravdess__cnn__random__s1__f000,ravdess,cnn,random,1,0,success,,288,288
7,ravdess__cnn__random__s1__f001,ravdess,cnn,random,1,1,success,,288,288
8,ravdess__cnn__random__s1__f002,ravdess,cnn,random,1,2,success,,288,288
9,ravdess__cnn__random__s1__f003,ravdess,cnn,random,1,3,success,,288,288
10,ravdess__cnn__random__s1__f004,ravdess,cnn,random,1,4,success,,288,288
11,ravdess__cnn__random__s2__f000,ravdess,cnn,random,2,0,success,,288,288
12,ravdess__cnn__random__s2__f001,ravdess,cnn,random,2,1,success,,288,288
13,ravdess__cnn__random__s2__f002,ravdess,cnn,random,2,2,success,,288,288
14,ravdess__cnn__random__s2__f003,ravdess,cnn,random,2,3,success,,288,288
15,ravdess__cnn__random__s2__f004,ravdess,cnn,random,2,4,success,,288,288
16,ravdess__cnn__groupkfold__s0__f000,ravdess,cnn,groupkfold,0,0,success,,300,300
17,ravdess__cnn__groupkfold__s0__f001,ravdess,cnn,groupkfold,0,1,success,,300,300
18,ravdess__cnn__groupkfold__s0__f002,ravdess,cnn,groupkfold,0,2,success,,300,300
19,ravdess__cnn__groupkfold__s0__f003,ravdess,cnn,groupkfold,0,3,success,,300,300
20,ravdess__cnn__groupkfold__s0__f004,ravdess,cnn,groupkfold,0,4,success,,240,240
21,ravdess__cnn__groupkfold__s1__f000,ravdess,cnn,groupkfold,1,0,success,,300,300
22,ravdess__cnn__groupkfold__s1__f001,ravdess,cnn,groupkfold,1,1,success,,300,300
23,ravdess__cnn__groupkfold__s1__f002,ravdess,cnn,groupkfold,1,2,success,,300,300
24,ravdess__cnn__groupkfold__s1__f003,ravdess,cnn,groupkfold,1,3,success,,300,300
25,ravdess__cnn__groupkfold__s1__f004,ravdess,cnn,groupkfold,1,4,success,,240,240
26,ravdess__cnn__groupkfold__s2__f000,ravdess,cnn,groupkfold,2,0,success,,300,300
27,ravdess__cnn__groupkfold__s2__f001,ravdess,cnn,groupkfold,2,1,success,,300,300
28,ravdess__cnn__groupkfold__s2__f002,ravdess,cnn,groupkfold,2,2,success,,300,300
29,ravdess__cnn__groupkfold__s2__f003,ravdess,cnn,groupkfold,2,3,success,,300,300
30,ravdess__cnn__groupkfold__s2__f004,ravdess,cnn,groupkfold,2,4,success,,240,240
31,ravdess__cnn__loso__s0__f000,ravdess,cnn,loso,0,0,success,,60,60
32,ravdess__cnn__loso__s0__f001,ravdess,cnn,loso,0,1,success,,60,60
33,ravdess__cnn__loso__s0__f002,ravdess,cnn,loso,0,2,success,,60,60
34,ravdess__cnn__loso__s0__f003,ravdess,cnn,loso,0,3,success,,60,60
35,ravdess__cnn__loso__s0__f004,ravdess,cnn,loso,0,4,success,,60,60
36,ravdess__cnn__loso__s0__f005,ravdess,cnn,loso,0,5,success,,60,60
37,ravdess__cnn__loso__s0__f006,ravdess,cnn,loso,0,6,success,,60,60
38,ravdess__cnn__loso__s0__f007,ravdess,cnn,loso,0,7,success,,60,60
39,ravdess__cnn__loso__s0__f008,ravdess,cnn,loso,0,8,success,,60,60
40,ravdess__cnn__loso__s0__f009,ravdess,cnn,loso,0,9,success,,60,60
41,ravdess__cnn__loso__s0__f010,ravdess,cnn,loso,0,10,success,,60,60
42,ravdess__cnn__loso__s0__f011,ravdess,cnn,loso,0,11,success,,60,60
43,ravdess__cnn__loso__s0__f012,ravdess,cnn,loso,0,12,success,,60,60
44,ravdess__cnn__loso__s0__f013,ravdess,cnn,loso,0,13,success,,60,60
45,ravdess__cnn__loso__s0__f014,ravdess,cnn,loso,0,14,success,,60,60
46,ravdess__cnn__loso__s0__f015,ravdess,cnn,loso,0,15,success,,60,60
47,ravdess__cnn__loso__s0__f016,ravdess,cnn,loso,0,16,success,,60,60
48,ravdess__cnn__loso__s0__f017,ravdess,cnn,loso,0,17,success,,60,60
49,ravdess__cnn__loso__s0__f018,ravdess,cnn,loso,0,18,success,,60,60
50,ravdess__cnn__loso__s0__f019,ravdess,cnn,loso,0,19,success,,60,60
51,ravdess__cnn__loso__s0__f020,ravdess,cnn,loso,0,20,success,,60,60
52,ravdess__cnn__loso__s0__f021,ravdess,cnn,loso,0,21,success,,60,60
53,ravdess__cnn__loso__s0__f022,ravdess,cnn,loso,0,22,success,,60,60
54,ravdess__cnn__loso__s0__f023,ravdess,cnn,loso,0,23,success,,60,60
55,ravdess__cnn__loso__s1__f000,ravdess,cnn,loso,1,0,success,,60,60
56,ravdess__cnn__loso__s1__f001,ravdess,cnn,loso,1,1,success,,60,60
57,ravdess__cnn__loso__s1__f002,ravdess,cnn,loso,1,2,success,,60,60
58,ravdess__cnn__loso__s1__f003,ravdess,cnn,loso,1,3,success,,60,60
59,ravdess__cnn__loso__s1__f004,ravdess,cnn,loso,1,4,success,,60,60
60,ravdess__cnn__loso__s1__f005,ravdess,cnn,loso,1,5,success,,60,60
61,ravdess__cnn__loso__s1__f006,ravdess,cnn,loso,1,6,success,,60,60
62,ravdess__cnn__loso__s1__f007,ravdess,cnn,loso,1,7,success,,60,60
63,ravdess__cnn__loso__s1__f008,ravdess,cnn,loso,1,8,success,,60,60
64,ravdess__cnn__loso__s1__f009,ravdess,cnn,loso,1,9,success,,60,60
65,ravdess__cnn__loso__s1__f010,ravdess,cnn,loso,1,10,success,,60,60
66,ravdess__cnn__loso__s1__f011,ravdess,cnn,loso,1,11,success,,60,60
67,ravdess__cnn__loso__s1__f012,ravdess,cnn,loso,1,12,success,,60,60
68,ravdess__cnn__loso__s1__f013,ravdess,cnn,loso,1,13,success,,60,60
69,ravdess__cnn__loso__s1__f014,ravdess,cnn,loso,1,14,success,,60,60
70,ravdess__cnn__loso__s1__f015,ravdess,cnn,loso,1,15,success,,60,60
71,ravdess__cnn__loso__s1__f016,ravdess,cnn,loso,1,16,success,,60,60
72,ravdess__cnn__loso__s1__f017,ravdess,cnn,loso,1,17,success,,60,60
73,ravdess__cnn__loso__s1__f018,ravdess,cnn,loso,1,18,success,,60,60
74,ravdess__cnn__loso__s1__f019,ravdess,cnn,loso,1,19,success,,60,60
75,ravdess__cnn__loso__s1__f020,ravdess,cnn,loso,1,20,success,,60,60
76,ravdess__cnn__loso__s1__f021,ravdess,cnn,loso,1,21,success,,60,60
77,ravdess__cnn__loso__s1__f022,ravdess,cnn,loso,1,22,success,,60,60
78,ravdess__cnn__loso__s1__f023,ravdess,cnn,loso,1,23,success,,60,60
79,ravdess__cnn__loso__s2__f000,ravdess,cnn,loso,2,0,success,,60,60
80,ravdess__cnn__loso__s2__f001,ravdess,cnn,loso,2,1,success,,60,60
81,ravdess__cnn__loso__s2__f002,ravdess,cnn,loso,2,2,success,,60,60
82,ravdess__cnn__loso__s2__f003,ravdess,cnn,loso,2,3,success,,60,60
83,ravdess__cnn__loso__s2__f004,ravdess,cnn,loso,2,4,success,,60,60
84,ravdess__cnn__loso__s2__f005,ravdess,cnn,loso,2,5,success,,60,60
85,ravdess__cnn__loso__s2__f006,ravdess,cnn,loso,2,6,success,,60,60
86,ravdess__cnn__loso__s2__f007,ravdess,cnn,loso,2,7,success,,60,60
87,ravdess__cnn__loso__s2__f008,ravdess,cnn,loso,2,8,success,,60,60
88,ravdess__cnn__loso__s2__f009,ravdess,cnn,loso,2,9,success,,60,60
89,ravdess__cnn__loso__s2__f010,ravdess,cnn,loso,2,10,success,,60,60
90,ravdess__cnn__loso__s2__f011,ravdess,cnn,loso,2,11,success,,60,60
91,ravdess__cnn__loso__s2__f012,ravdess,cnn,loso,2,12,success,,60,60
92,ravdess__cnn__loso__s2__f013,ravdess,cnn,loso,2,13,success,,60,60
93,ravdess__cnn__loso__s2__f014,ravdess,cnn,loso,2,14,success,,60,60
94,ravdess__cnn__loso__s2__f015,ravdess,cnn,loso,2,15,success,,60,60
95,ravdess__cnn__loso__s2__f016,ravdess,cnn,loso,2,16,success,,60,60
96,ravdess__cnn__loso__s2__f017,ravdess,cnn,loso,2,17,success,,60,60
97,ravdess__cnn__loso__s2__f018,ravdess,cnn,loso,2,18,success,,60,60
98,ravdess__cnn__loso__s2__f019,ravdess,cnn,loso,2,19,success,,60,60
99,ravdess__cnn__loso__s2__f020,ravdess,cnn,loso,2,20,success,,60,60
100,ravdess__cnn__loso__s2__f021,ravdess,cnn,loso,2,21,success,,60,60
101,ravdess__cnn__loso__s2__f022,ravdess,cnn,loso,2,22,success,,60,60
102,ravdess__cnn__loso__s2__f023,ravdess,cnn,loso,2,23,success,,60,60
103,ravdess__resnet_se__random__s0__f000,ravdess,resnet_se,random,0,0,success,,288,288
104,ravdess__resnet_se__random__s0__f001,ravdess,resnet_se,random,0,1,success,,288,288
105,ravdess__resnet_se__random__s0__f002,ravdess,resnet_se,random,0,2,success,,288,288
106,ravdess__resnet_se__random__s0__f003,ravdess,resnet_se,random,0,3,success,,288,288
107,ravdess__resnet_se__random__s0__f004,ravdess,resnet_se,random,0,4,success,,288,288
108,ravdess__resnet_se__random__s1__f000,ravdess,resnet_se,random,1,0,success,,288,288
109,ravdess__resnet_se__random__s1__f001,ravdess,resnet_se,random,1,1,success,,288,288
110,ravdess__resnet_se__random__s1__f002,ravdess,resnet_se,random,1,2,success,,288,288
111,ravdess__resnet_se__random__s1__f003,ravdess,resnet_se,random,1,3,success,,288,288
112,ravdess__resnet_se__random__s1__f004,ravdess,resnet_se,random,1,4,success,,288,288
113,ravdess__resnet_se__random__s2__f000,ravdess,resnet_se,random,2,0,success,,288,288
