channel,relative_path,file_size_bytes,sha256,actor,emotion_code,emotion_name,intensity,statement,repetition,modality,vocal_channel,wav_samplerate,wav_frames,wav_channels,wav_subtype,read_status,error
song,Actor_01/03-02-01-01-01-01-01.wav,452990,f6ccc788078f00f19d6f78ee73d90bc283f671abfa86f8c1c989e81b2e90ce89,1,1,neutral,1,1,1,3,2,48000,203404,1,PCM_16,ok,
song,Actor_01/03-02-01-01-01-02-01.wav,456190,a886a2c863cc5adb07845f46a8c3d511803e3c65a625607585a6603fd2446fe2,1,1,neutral,1,1,2,3,2,48000,205004,1,PCM_16,ok,
song,Actor_01/03-02-01-01-02-01-01.wav,446582,35f1b510c3298e66b3216461f5ff1d1619aa8d774bbbc3b85231887d34ca78d5,1,1,neutral,1,2,1,3,2,48000,200200,1,PCM_16,ok,
song,Actor_01/03-02-01-01-02-02-01.wav,443380,5401b5a525428608aefa8bfc7991ea06b4b104ec5e5a90e698bb3a44c3d0a9c0,1,1,neutral,1,2,2,3,2,48000,198599,1,PCM_16,ok,
song,Actor_01/03-02-02-01-01-01-01.wav,465804,5705db01194d90776f73357f56f1c9243fd7941768db12e85fa5f04d20bd870c,1,2,calm,1,1,1,3,2,48000,209810,1,PCM_16,ok,
song,Actor_01/03-02-02-01-01-02-01.wav,469008,284322fd33bf9db71a7b781cd4458e2250c0fb5976e27b952286e4d624a0b39b,1,2,calm,1,1,2,3,2,48000,211412,1,PCM_16,ok,
song,Actor_01/03-02-02-01-02-01-01.wav,478616,b0bb6697aef44cafbb634f304e634bc3622f3035a6cffa4a2075279b3714b7a1,1,2,calm,1,2,1,3,2,48000,216216,1,PCM_16,ok,
song,Actor_01/03-02-02-01-02-02-01.wav,472210,977e048960d90a0da9dcf7cdfef6e86659964e42dbf2fdd99867de978cb30fa6,1,2,calm,1,2,2,3,2,48000,213013,1,PCM_16,ok,
song,Actor_01/03-02-02-02-01-01-01.wav,497836,4ebe45a0bc675e0babffc1423d9528c7cfcf7d4b361df5e82b68eeab4303aeb6,1,2,calm,2,1,1,3,2,48000,225825,1,PCM_16,ok,
song,Actor_01/03-02-02-02-01-02-01.wav,478618,c1e2127b31b31e27c7280ccf53b525db92a1a7ca1e2c1e5333b44af3e1ecdcc0,1,2,calm,2,1,2,3,2,48000,216216,1,PCM_16,ok,
song,Actor_01/03-02-02-02-02-01-01.wav,501040,13dbe08106a421c427664a384d0836c7679c4dbb3d6b24f954774a857a631696,1,2,calm,2,2,1,3,2,48000,227427,1,PCM_16,ok,
song,Actor_01/03-02-02-02-02-02-01.wav,520260,07b0a807ef1d47bc5e92c911eca68edab801a175cd0931e59e99bda82d15dd35,1,2,calm,2,2,2,3,2,48000,237037,1,PCM_16,ok,
song,Actor_01/03-02-03-01-01-01-01.wav,485024,82fd227249f21514383b806f2d68dd451f2b4e5e1a41978952be996322866460,1,3,happy,1,1,1,3,2,48000,219419,1,PCM_16,ok,
song,Actor_01/03-02-03-01-01-02-01.wav,475414,36614c1244fd2aeddc597962c813c568209fd87ba442372a4e432295da27ca18,1,3,happy,1,1,2,3,2,48000,214614,1,PCM_16,ok,
song,Actor_01/03-02-03-01-02-01-01.wav,462602,fd624eb4e1ed974aecdbfd86f06faf0b649da396faa302c65a8c55303fa7dc92,1,3,happy,1,2,1,3,2,48000,208208,1,PCM_16,ok,
song,Actor_01/03-02-03-01-02-02-01.wav,478618,49a062257f87c16ccc3cffb31d452b828a99b685fa970a7831bc72224f60786c,1,3,happy,1,2,2,3,2,48000,216216,1,PCM_16,ok,
song,Actor_01/03-02-03-02-01-01-01.wav,510644,581be8fe4e01f062ed2ede628e4e7e7a3cff18ad9b94e66c2abeaaeaf030e181,1,3,happy,2,1,1,3,2,48000,232232,1,PCM_16,ok,
song,Actor_01/03-02-03-02-01-02-01.wav,507446,ec47156d2d0869ad0eb0101e7caa0ba34d6bab3cb7a590303d36489444876456,1,3,happy,2,1,2,3,2,48000,230630,1,PCM_16,ok,
song,Actor_01/03-02-03-02-02-01-01.wav,520260,38588ecfac330452f25843b9e8e738afd78a20d53b9c211cb6f2072199db4530,1,3,happy,2,2,1,3,2,48000,237037,1,PCM_16,ok,
song,Actor_01/03-02-03-02-02-02-01.wav,520260,85c619fdcac3b1bb1fceaf4a768fdb0407e17df44bab8bdd6a9b76d4e77325c1,1,3,happy,2,2,2,3,2,48000,237037,1,PCM_16,ok,
song,Actor_01/03-02-04-01-01-01-01.wav,472208,b09640c41d029feabbb202cc5e0ca8763092930bda4e3f09972504b7c75b6680,1,4,sad,1,1,1,3,2,48000,213013,1,PCM_16,ok,
song,Actor_01/03-02-04-01-01-02-01.wav,478616,0746f8f0a7f5fc8646c082c8376376d06ceae2cd1f12674000d19666b700ebfd,1,4,sad,1,1,2,3,2,48000,216216,1,PCM_16,ok,
song,Actor_01/03-02-04-01-02-01-01.wav,494634,d88124c5a4ed08407b15409f8d82fce974c548e4261ea09a7027f4ea5c7836f6,1,4,sad,1,2,1,3,2,48000,224224,1,PCM_16,ok,
song,Actor_01/03-02-04-01-02-02-01.wav,485026,94057aa139683c62472d0a449c73cc0d3cfefe47b588ad86bb094ec1dc2565ce,1,4,sad,1,2,2,3,2,48000,219420,1,PCM_16,ok,
song,Actor_01/03-02-04-02-01-01-01.wav,459398,7987859b786f4264960dee49dfc140b57b32fc8ceaa2fca71ba4edecca0bff54,1,4,sad,2,1,1,3,2,48000,206606,1,PCM_16,ok,
song,Actor_01/03-02-04-02-01-02-01.wav,452992,39a208d6b8e6648e74c37d5b745464d8e1c9ce4e929c39eadb6d0e978c77b0bd,1,4,sad,2,1,2,3,2,48000,203403,1,PCM_16,ok,
song,Actor_01/03-02-04-02-02-01-01.wav,456196,bdf1949dc6094fc058e5d7ad9830c0678f59c48f5bf896c16640d620f3a7ed97,1,4,sad,2,2,1,3,2,48000,205005,1,PCM_16,ok,
song,Actor_01/03-02-04-02-02-02-01.wav,491430,11a1183f2b3b0f4d2ad9a3e5bcfb1e30e64f3a4a60a96a6d2bb4588ab3ad3325,1,4,sad,2,2,2,3,2,48000,222622,1,PCM_16,ok,
song,Actor_01/03-02-05-01-01-01-01.wav,465804,4c64e18b59e2ebab99d213e3993900e71577d46d714ffce731854ed175b216f3,1,5,angry,1,1,1,3,2,48000,209809,1,PCM_16,ok,
song,Actor_01/03-02-05-01-01-02-01.wav,504246,92065c9326eb0f89593aca5b5ea1ea2d6c0a2388f8304da55566de5b2e52be6e,1,5,angry,1,1,2,3,2,48000,229029,1,PCM_16,ok,
song,Actor_01/03-02-05-01-02-01-01.wav,488228,7e73bb9e36419bb85bb1bd55a62c4b5da8267e613d4ee25ae28e46d2db53b486,1,5,angry,1,2,1,3,2,48000,221021,1,PCM_16,ok,
song,Actor_01/03-02-05-01-02-02-01.wav,501042,d5589c0821474a5b626be98af8c3b8a4c217476f676a24bf5c0abb43d5f0894f,1,5,angry,1,2,2,3,2,48000,227428,1,PCM_16,ok,
song,Actor_01/03-02-05-02-01-01-01.wav,607358,f8e94159777389e6af5c076d74cc32e58900cf407dbc4c34935d8c005cfa9bbc,1,5,angry,2,1,1,3,2,48000,280280,1,PCM_16,ok,
song,Actor_01/03-02-05-02-01-02-01.wav,555496,f40d8861c20179eee2c7df9c8058e6ec3a37dac34382435d165dc6bacd5cb558,1,5,angry,2,1,2,3,2,48000,254655,1,PCM_16,ok,
song,Actor_01/03-02-05-02-02-01-01.wav,523466,8a85534e564da4c434a407052dc0e065ceb071b085aa83fb955978374d29ef16,1,5,angry,2,2,1,3,2,48000,238639,1,PCM_16,ok,
song,Actor_01/03-02-05-02-02-02-01.wav,545888,d8706635ddbfba0c2e54caa9127ac74a162b7e79808e585b6172ccd27058af67,1,5,angry,2,2,2,3,2,48000,249850,1,PCM_16,ok,
song,Actor_01/03-02-06-01-01-01-01.wav,469010,bde6d2d6f576705874654a58df5d1c7615758c6069bca5c55ef43454bbbaead8,1,6,fearful,1,1,1,3,2,48000,211412,1,PCM_16,ok,
song,Actor_01/03-02-06-01-01-02-01.wav,462602,d759e52e9226d5ee9a383ba84aeb0c13ee529c0c37c317c584a3b7905cf03bc2,1,6,fearful,1,1,2,3,2,48000,208208,1,PCM_16,ok,
song,Actor_01/03-02-06-01-02-01-01.wav,459394,15fb50406bb8d521ff405d7cd123837b14897815bab007b46b440eff51879184,1,6,fearful,1,2,1,3,2,48000,206606,1,PCM_16,ok,
song,Actor_01/03-02-06-01-02-02-01.wav,472210,e24aaf39d21e6a95ae739413f588d360039c7eb6f26418861f882196a7438904,1,6,fearful,1,2,2,3,2,48000,213013,1,PCM_16,ok,
song,Actor_01/03-02-06-02-01-01-01.wav,459396,0886293fcafc7699cdb9d1caf2a6cd7c2b8531f76fac4465f959d0986025372e,1,6,fearful,2,1,1,3,2,48000,206606,1,PCM_16,ok,
song,Actor_01/03-02-06-02-01-02-01.wav,494632,b591effa00a37db8b37b00445cc5e517c41f8822a6af3b9ac5d07153e9abfe91,1,6,fearful,2,1,2,3,2,48000,224224,1,PCM_16,ok,
song,Actor_01/03-02-06-02-02-01-01.wav,446584,280d4d0c53be6014bdbd0e7c02164b84cb60302b702512284ac6857599950ada,1,6,fearful,2,2,1,3,2,48000,200200,1,PCM_16,ok,
song,Actor_01/03-02-06-02-02-02-01.wav,456190,c71ed581ce79309f6aad2a2f251ad5688cccc46a4d41ef54315daa120f967f11,1,6,fearful,2,2,2,3,2,48000,205004,1,PCM_16,ok,
song,Actor_02/03-02-01-01-01-01-02.wav,511584,c7e378ee61d98764c9e2149007505920e1ba6f7ba44640b57595950a79ea1a50,2,1,neutral,1,1,1,3,2,48000,232232,1,PCM_16,ok,
song,Actor_02/03-02-01-01-01-02-02.wav,537210,a881c9946ce4f6fe6a9af40a4248ea9edf98263235aad51590a2f9f80654861a,2,1,neutral,1,1,2,3,2,48000,245045,1,PCM_16,ok,
