sample_index,corpus,relative_path,bytes,sha256,speaker,sex,label,label_index,sentence,take,intensity
0,subesco,F_01_OISHI_S_10_ANGRY_1.wav,708652,881ecdfc11e2c32f95f9494d71fae3e0b970f4ab36fe0100bf655caecae42d12,F01,F,ANGRY,0,S10,T1,
1,subesco,F_01_OISHI_S_10_DISGUST_5.wav,708652,d2518dd556991ae49726126a8ca953e449d57e12e37b021773c9546e1dccc5ee,F01,F,DISGUST,1,S10,T5,
2,subesco,F_01_OISHI_S_10_FEAR_5.wav,708652,e07c89f1d1975f5f4547f79df7e85aed6b938589b3f044a25d88bb8aaf3798ae,F01,F,FEAR,2,S10,T5,
3,subesco,F_01_OISHI_S_10_HAPPY_3.wav,352300,e358afbe6184698fa5bf8dd70c32adfc7f26d452ed23f25c569a9780b9284dec,F01,F,HAPPY,3,S10,T3,
4,subesco,F_01_OISHI_S_10_NEUTRAL_2.wav,353324,6cc1a530b68ea9f2fec64c49fb1125f734af86613982a54b3682fee616a5586a,F01,F,NEUTRAL,4,S10,T2,
5,subesco,F_01_OISHI_S_10_SAD_2.wav,708652,988569bbfbb59f0d4e304105ca34a37eab703aeb6add7cf8d705254aab9ca6b1,F01,F,SAD,5,S10,T2,
6,subesco,F_01_OISHI_S_10_SURPRISE_1.wav,708652,623f26902a17fee1d9e5b64f7a913cca98071639c8f33490b27ad6cd27c2a8bc,F01,F,SURPRISE,6,S10,T1,
7,subesco,F_01_OISHI_S_1_ANGRY_4.wav,352300,eda5f2eeade2b4baf532a79128d6f2eb3329d507c163111337825cfcbe323036,F01,F,ANGRY,0,S1,T4,
8,subesco,F_01_OISHI_S_1_DISGUST_4.wav,353324,76f7ef1166f06533e0c321048aad6c5c9d19df77a9f0b0500f3534600df53b78,F01,F,DISGUST,1,S1,T4,
9,subesco,F_01_OISHI_S_1_FEAR_5.wav,354348,857327aa10336b83566eba6b2393666ae10e61c97f7c1711a9aac24b8d2ca668,F01,F,FEAR,2,S1,T5,
10,subesco,F_01_OISHI_S_1_HAPPY_2.wav,354348,5868dd9a7fd9ea77f9bbd7c55062969133e2432b07782a2f6f191bc29be6af91,F01,F,HAPPY,3,S1,T2,
11,subesco,F_01_OISHI_S_1_NEUTRAL_3.wav,354348,a327eda584e1bbb5055f117cc302dbdae89b206b96d5830aeac76106c6140863,F01,F,NEUTRAL,4,S1,T3,
12,subesco,F_01_OISHI_S_1_SAD_4.wav,354348,2bb7f59347e4777d62c40aae7f5520c0a27baba0d2967d298b5521f0986ee57b,F01,F,SAD,5,S1,T4,
13,subesco,F_01_OISHI_S_1_SURPRISE_4.wav,353324,e778ea176e3e4b0ba5575bb6a285b90b70e7173568247f3fe34d8d0cad278da5,F01,F,SURPRISE,6,S1,T4,
14,subesco,F_01_OISHI_S_2_ANGRY_2.wav,352300,46e57040773b21322945884547b85591839f353075fcd74e1e008f07e9b2cbea,F01,F,ANGRY,0,S2,T2,
15,subesco,F_01_OISHI_S_2_DISGUST_1.wav,356394,fdc8f007fb69688d87727f42a152ecb6b97309bb80910acc014f073d707921ec,F01,F,DISGUST,1,S2,T1,
16,subesco,F_01_OISHI_S_2_FEAR_3.wav,353324,55dced222f12bc3df5906d0aa2bbc3a72c22b28579140bcfff3d4ca60b0ec01b,F01,F,FEAR,2,S2,T3,
17,subesco,F_01_OISHI_S_2_HAPPY_3.wav,351278,8c65d189ffa8feec23f4a6ba3f8877d2c3881d1c0388b3f03f1f13dae1808a7f,F01,F,HAPPY,3,S2,T3,
18,subesco,F_01_OISHI_S_2_NEUTRAL_1.wav,357424,0af414d1c34916c8cd036d1ca292b6d5b145e4c2b3c0ce8bb474107c3f695fe5,F01,F,NEUTRAL,4,S2,T1,
19,subesco,F_01_OISHI_S_2_SAD_5.wav,242732,0fea5fa5af08b81404af475bd81edffe66ef8ebd693e8f505f615ade68945017,F01,F,SAD,5,S2,T5,
20,subesco,F_01_OISHI_S_2_SURPRISE_5.wav,353324,4017df80f1a16b463257aeb95a7219414705a1956d68aeb82becf02c8ed6d102,F01,F,SURPRISE,6,S2,T5,
21,subesco,F_01_OISHI_S_3_ANGRY_4.wav,708652,5015f29d2b5bf098e8bddf148d20ff9ee083a062e8e5d9d693a1e8e5cf9415d8,F01,F,ANGRY,0,S3,T4,
22,subesco,F_01_OISHI_S_3_DISGUST_3.wav,354348,1c865e2f5d18e848bbd54f18db4bd421a2fd399e9bd1abcf6f7e46965206e147,F01,F,DISGUST,1,S3,T3,
23,subesco,F_01_OISHI_S_3_FEAR_1.wav,710700,cc0fa6c0edc8627d0b601f3c822c63ee084eb4cec223951e46e4d67e3cc38398,F01,F,FEAR,2,S3,T1,
24,subesco,F_01_OISHI_S_3_HAPPY_5.wav,353324,b90a85596638183871fdf1da2b65c430af8eccf8d10f7508a63a54140ff0f221,F01,F,HAPPY,3,S3,T5,
25,subesco,F_01_OISHI_S_3_NEUTRAL_2.wav,353324,3430dea8d20f27368af5ac7f1733bd5e27fa3d1b8bf17c3b2f1ba8fe64dc1a50,F01,F,NEUTRAL,4,S3,T2,
26,subesco,F_01_OISHI_S_3_SAD_3.wav,704556,e1a8cfd1a7bd34f9daab0bcd6f7b23fc886fa4ac09a459a1205bf228e2f74a9b,F01,F,SAD,5,S3,T3,
27,subesco,F_01_OISHI_S_3_SURPRISE_2.wav,354348,07b52fc7c984c8dbe3f1208ae2a191755a8a04e3293badeaf2814f78e04752c3,F01,F,SURPRISE,6,S3,T2,
28,subesco,F_01_OISHI_S_6_ANGRY_2.wav,708652,e9bdaacc643a8b40cba481105ba9086fcbe88f5861a7005beea3f29024529e1e,F01,F,ANGRY,0,S6,T2,
29,subesco,F_01_OISHI_S_6_DISGUST_2.wav,354348,1c4a32c2ffca2f319b99ec13d14a7e6270dc308ff6f1c82d94ff5f798af893ec,F01,F,DISGUST,1,S6,T2,
30,subesco,F_01_OISHI_S_6_FEAR_4.wav,708652,1e0db725b41459e0a57dc5ec8f997bdb2d3e24df71c869a61e9a4fdabd3c3ea4,F01,F,FEAR,2,S6,T4,
31,subesco,F_01_OISHI_S_6_HAPPY_3.wav,353324,f92892e0ae416ce958741b1fbbb929135118fdf25a5ff9ccadcdecabd6948560,F01,F,HAPPY,3,S6,T3,
32,subesco,F_01_OISHI_S_6_NEUTRAL_5.wav,354348,8422bc3132db4516999ebe7a2cd875c855bdebf701b44569a6dc81e0a8a0f228,F01,F,NEUTRAL,4,S6,T5,
33,subesco,F_01_OISHI_S_6_SAD_1.wav,706604,f7d23c472261349131af5fa7b0d55e60702c29b140dcd0a7d9aaff0e06b7d25b,F01,F,SAD,5,S6,T1,
34,subesco,F_01_OISHI_S_6_SURPRISE_2.wav,710700,da0dc9d0887768d9774e708c11d2743d7b4241470a26a47b11da628077b34e6d,F01,F,SURPRISE,6,S6,T2,
35,subesco,F_01_OISHI_S_8_ANGRY_5.wav,706604,1ae5f056abbd066d2c1a92f84a94319eed21edce31dcbe5a981c2e1b1ca6e5f9,F01,F,ANGRY,0,S8,T5,
36,subesco,F_01_OISHI_S_8_DISGUST_1.wav,708652,c6052d9d1903fb174949f48c676ca7953aad6466ee51ff754b35a55461f5c319,F01,F,DISGUST,1,S8,T1,
37,subesco,F_01_OISHI_S_8_FEAR_1.wav,706604,c74a4a32e9fa302aba0d078ec7d85f245b8b8e499067f6b5f07f5875d52204be,F01,F,FEAR,2,S8,T1,
38,subesco,F_01_OISHI_S_8_HAPPY_1.wav,353324,703fca6902fc7f62aad351c3062a8193a689c6fff30c79d616380c788315a393,F01,F,HAPPY,3,S8,T1,
39,subesco,F_01_OISHI_S_8_NEUTRAL_1.wav,354348,ad712fe0f305abb1d856d8bd295492dce11213ae9d77b1446b98a23566ac077c,F01,F,NEUTRAL,4,S8,T1,
40,subesco,F_01_OISHI_S_8_SAD_4.wav,708652,3aef51b4793ca1460e3be7f9c4e53f1f9f591685e7db29222b6f4a529a474bf1,F01,F,SAD,5,S8,T4,
41,subesco,F_01_OISHI_S_8_SURPRISE_4.wav,708652,19e5a8aac78638c1506b398e4783701f6a409744d1832416d1e9b189d94b0bc1,F01,F,SURPRISE,6,S8,T4,
42,subesco,F_01_OISHI_S_9_ANGRY_5.wav,708652,d361761de6a14c56a6cc8d92a10ad98e4b5f1c5b5a6d630e5acbe11b2cb8933e,F01,F,ANGRY,0,S9,T5,
