sample_index,corpus,relative_path,bytes,sha256,speaker,sex,label,label_index,sentence,take,intensity
0,subesco,F_01_OISHI_S_10_ANGRY_1.wav,708652,881ecdfc11e2c32f95f9494d71fae3e0b970f4ab36fe0100bf655caecae42d12,F01,F,ANGRY,0,S10,T1,
1,subesco,F_01_OISHI_S_10_ANGRY_2.wav,708652,bc5b0e0551eb790a6cadc3cccb10d044385dad55eef9ad9b32a9cee8e99362d0,F01,F,ANGRY,0,S10,T2,
2,subesco,F_01_OISHI_S_10_ANGRY_3.wav,708652,3d8ba6f1312d151c3774059e7de0d822addd26fc1f015988c6e8272d72ee4751,F01,F,ANGRY,0,S10,T3,
3,subesco,F_01_OISHI_S_10_ANGRY_4.wav,708652,68fa4d04505f740fa06d3f239ee8e8f2ba58ad84b946be1dbac686aaf4a28091,F01,F,ANGRY,0,S10,T4,
4,subesco,F_01_OISHI_S_10_ANGRY_5.wav,708652,f46c915ecc840b5ea5dd14a70fdbb3877887c4559c11df3267469f8ac865d563,F01,F,ANGRY,0,S10,T5,
5,subesco,F_01_OISHI_S_10_DISGUST_1.wav,708652,6560e699ff27ee356bddfa78113abf04859e06316b291ee880da53ecaec135fa,F01,F,DISGUST,1,S10,T1,
6,subesco,F_01_OISHI_S_10_DISGUST_2.wav,710700,8994db9ea21938c9b26698e335d83dc56c16c3bff5610cd188b3a09a6e5bb744,F01,F,DISGUST,1,S10,T2,
7,subesco,F_01_OISHI_S_10_DISGUST_3.wav,708652,252fe4dd31427dd16df6f49d894abc27c2f021ee54026b9a1cba2df953b515d7,F01,F,DISGUST,1,S10,T3,
8,subesco,F_01_OISHI_S_10_DISGUST_4.wav,708652,2c541dffa69a0d9882747142bf9317fa9d01f2efc5ff6d7906e7499dc3b98f38,F01,F,DISGUST,1,S10,T4,
9,subesco,F_01_OISHI_S_10_DISGUST_5.wav,708652,d2518dd556991ae49726126a8ca953e449d57e12e37b021773c9546e1dccc5ee,F01,F,DISGUST,1,S10,T5,
10,subesco,F_01_OISHI_S_10_FEAR_1.wav,708652,0d52aa73df93578fd0f50ece9b356ce11f28411986fb07fb588fc9413526c92a,F01,F,FEAR,2,S10,T1,
11,subesco,F_01_OISHI_S_10_FEAR_2.wav,708652,d9dcaae4ea16b223689f2081e40d39d850915f95579f6e9b93a3381bc4ae8c19,F01,F,FEAR,2,S10,T2,
12,subesco,F_01_OISHI_S_10_FEAR_3.wav,708652,921aa114a2be68e652c22d2452cfc2e408958f21607056734c6ab3adda656905,F01,F,FEAR,2,S10,T3,
