unit_id,arm,corpus_level,base_corpus,panel_draw,model,cell,fold,r,seed_index,train_seed,config_sha256,split_sha256,n_fit,n_val,n_test,est_gpu_sec,cap_group,conditional,truncation_rank,status
8b66ec62a9fd33945a33f58ff1c98c8d91b6ab90b2712571681edc84a537b643,CTRL,ravdess,ravdess,,cnn,RR,0,0,0,3020244400,2bfed7ed7696eab9aeb9087c3fa5bbba6704c8de786c9dd5336853ba33d43415,3c8784b1ed8396aec8d07aa1b543e0a3abb3f6ae99c8aa546d24e2a3383e3e1e,863,288,288,8.198,CTRL,0,99,pending
aefd3db752afcb5aa6ad473b2dd41fa5447131e6ef861113a2c8b1395cc7fb60,CTRL,ravdess,ravdess,,cnn,RR,1,0,0,73025565,2bfed7ed7696eab9aeb9087c3fa5bbba6704c8de786c9dd5336853ba33d43415,3c8784b1ed8396aec8d07aa1b543e0a3abb3f6ae99c8aa546d24e2a3383e3e1e,863,288,288,8.198,CTRL,0,99,pending
243bf2f3c8dd0437863e3487e214633f38b67d4b22b8d7aba4e03bc0b3c3686b,CTRL,ravdess,ravdess,,cnn,RR,2,0,0,2492742920,2bfed7ed7696eab9aeb9087c3fa5bbba6704c8de786c9dd5336853ba33d43415,3c8784b1ed8396aec8d07aa1b543e0a3abb3f6ae99c8aa546d24e2a3383e3e1e,863,288,288,8.198,CTRL,0,99,pending
b14275cc4a74c27b58a0562edf5288b33051c6968d2fef31f504f32b7b479af3,CTRL,ravdess,ravdess,,cnn,RR,3,0,0,2436464466,2bfed7ed7696eab9aeb9087c3fa5bbba6704c8de786c9dd5336853ba33d43415,3c8784b1ed8396aec8d07aa1b543e0a3abb3f6ae99c8aa546d24e2a3383e3e1e,863,288,288,8.198,CTRL,0,99,pending
26d39b9d0f7fb463399f7d89ffc3e417e7a831ef6280037e5c455113f04e8cae,CTRL,ravdess,ravdess,,cnn,RR,4,0,0,1070067543,2bfed7ed7696eab9aeb9087c3fa5bbba6704c8de786c9dd5336853ba33d43415,3c8784b1ed8396aec8d07aa1b543e0a3abb3f6ae99c8aa546d24e2a3383e3e1e,864,288,287,8.208,CTRL,0,99,pending
74aefe9802a9ac430b7189a371fc26b497fb5a60a69918c444653ed3a60d5b5f,CTRL,ravdess,ravdess,,resnet_se,RR,0,0,0,3020244400,8608e2da5da3a2ed6f6ade92d3afaa2eb37704eec3a8336f256f19e5ba033089,3c8784b1ed8396aec8d07aa1b543e0a3abb3f6ae99c8aa546d24e2a3383e3e1e,863,288,288,11.478,CTRL,0,99,pending
2cd48e78b0f8909fb1f678fcb82dd156c383bbf596dbdaf06d1236c33f8488cc,CTRL,ravdess,ravdess,,resnet_se,RR,1,0,0,73025565,8608e2da5da3a2ed6f6ade92d3afaa2eb37704eec3a8336f256f19e5ba033089,3c8784b1ed8396aec8d07aa1b543e0a3abb3f6ae99c8aa546d24e2a3383e3e1e,863,288,288,11.478,CTRL,0,99,pending
484fd874f6886b1b60ca640c4938ce48ef8b387ddeb521410bc888f37361d832,CTRL,ravdess,ravdess,,resnet_se,RR,2,0,0,2492742920,8608e2da5da3a2ed6f6ade92d3afaa2eb37704eec3a8336f256f19e5ba033089,3c8784b1ed8396aec8d07aa1b543e0a3abb3f6ae99c8aa546d24e2a3383e3e1e,863,288,288,11.478,CTRL,0,99,pending
8f47507fd0158ced009c4123e3728f6a3214d6084118b21950ec1f578771f69b,CTRL,ravdess,ravdess,,resnet_se,RR,3,0,0,2436464466,8608e2da5da3a2ed6f6ade92d3afaa2eb37704eec3a8336f256f19e5ba033089,3c8784b1ed8396aec8d07aa1b543e0a3abb3f6ae99c8aa546d24e2a3383e3e1e,863,288,288,11.478,CTRL,0,99,pending
944e66b17f29559131f7c513fd97a63a058b8fda69907185adbd4daba1624022,CTRL,ravdess,ravdess,,resnet_se,RR,4,0,0,1070067543,8608e2da5da3a2ed6f6ade92d3afaa2eb37704eec3a8336f256f19e5ba033089,3c8784b1ed8396aec8d07aa1b543e0a3abb3f6ae99c8aa546d24e2a3383e3e1e,864,288,287,11.491,CTRL,0,99,pending
