study_id,spec_version,unit_id,arm,manifest_sha256,draw_id,draw_role,analysis_order,fold,train_rep,cell,config_index,model,corpus_level,base_corpus,panel_draw,r,seed_index,split_seed,inner_seed,train_seed,outer_sha256,inner_sha256,split_sha256,config_sha256,n_fit,n_val,n_test,est_gpu_sec,cap_group,conditional,truncation_rank,status
N14R,1.0.0,cffb1ceea75ba9b777f9681f86599f429430e5d2b538179d3ce787df1a87dc92,N14R,e43224f032d474ac5e0d1b46d82cb7580c88bb08bac87e989fc767fd8eef552b,0,primary,0,0,0,GR_hpo,0,resnet_se,cremad,cremad,,0,0,3314293321,2993090851,3050963025,d75c629ef8fa4fd0bf7253b98333a19c66213d9f40197e8b4085174572162e82,e3ae57d9f942ad539d62d2e7ca48126aabd3dc0d0139664930b84fc645495608,ca755f08c0c601d8a51b51e393621199c368db8169373a14fe9079c82ea7f64d,88aee71e2b88566047252edd277ce4873e8f6347aa59f9ea7e8cb978e36de0e9,4414,1472,1549,174.188,N14R,0,99,pending
N14R,1.0.0,e1cc3ed09bac2aaf6dc71d616901534bacfddf54498581836f30becff75f1c08,N14R,e43224f032d474ac5e0d1b46d82cb7580c88bb08bac87e989fc767fd8eef552b,0,primary,0,0,0,GR_hpo,1,resnet_se,cremad,cremad,,0,0,3314293321,2993090851,3050963025,d75c629ef8fa4fd0bf7253b98333a19c66213d9f40197e8b4085174572162e82,e3ae57d9f942ad539d62d2e7ca48126aabd3dc0d0139664930b84fc645495608,ca755f08c0c601d8a51b51e393621199c368db8169373a14fe9079c82ea7f64d,8232033a6d4c0c3e10867e069db9c6ca7b19b3e09e66ff0092f1e2677410f7cb,4414,1472,1549,174.188,N14R,0,99,pending
N14R,1.0.0,3ba734814c1a57bcaa6ad8cd815ba0d8403762412e8c1e89a4544903e4fd347f,N14R,e43224f032d474ac5e0d1b46d82cb7580c88bb08bac87e989fc767fd8eef552b,0,primary,0,0,0,GR_hpo,2,resnet_se,cremad,cremad,,0,0,3314293321,2993090851,3050963025,d75c629ef8fa4fd0bf7253b98333a19c66213d9f40197e8b4085174572162e82,e3ae57d9f942ad539d62d2e7ca48126aabd3dc0d0139664930b84fc645495608,ca755f08c0c601d8a51b51e393621199c368db8169373a14fe9079c82ea7f64d,525a9b89875aabf96a25d5868732f0170064559379a37c40ffd832aff038cbcf,4414,1472,1549,174.188,N14R,0,99,pending
N14R,1.0.0,5e81bc45bf79bc50f91287cef840a210a8c38fc6e4718822fa86217b4943d886,N14R,e43224f032d474ac5e0d1b46d82cb7580c88bb08bac87e989fc767fd8eef552b,0,primary,0,0,0,GR_hpo,3,resnet_se,cremad,cremad,,0,0,3314293321,2993090851,3050963025,d75c629ef8fa4fd0bf7253b98333a19c66213d9f40197e8b4085174572162e82,e3ae57d9f942ad539d62d2e7ca48126aabd3dc0d0139664930b84fc645495608,ca755f08c0c601d8a51b51e393621199c368db8169373a14fe9079c82ea7f64d,023a599f13364eb5ca59e299394f04e572bae1264d2c84d9d914ebc7a5327f41,4414,1472,1549,174.188,N14R,0,99,pending
N14R,1.0.0,bed0cc031141c87153ef706431750e79922cc8020f9906def684d41e020a0a94,N14R,e43224f032d474ac5e0d1b46d82cb7580c88bb08bac87e989fc767fd8eef552b,0,primary,0,0,0,GR_hpo,4,resnet_se,cremad,cremad,,0,0,3314293321,2993090851,3050963025,d75c629ef8fa4fd0bf7253b98333a19c66213d9f40197e8b4085174572162e82,e3ae57d9f942ad539d62d2e7ca48126aabd3dc0d0139664930b84fc645495608,ca755f08c0c601d8a51b51e393621199c368db8169373a14fe9079c82ea7f64d,1bc86aef6e2aa68ebe1646bfe794dd733eec011e68c6fb88ba2a52cd3689d260,4414,1472,1549,174.188,N14R,0,99,pending
N14R,1.0.0,5bb23004e0d90004c08cb484a3bc545710eed4651a67af9c66806803fe6b4d2f,N14R,e43224f032d474ac5e0d1b46d82cb7580c88bb08bac87e989fc767fd8eef552b,0,primary,0,0,0,GR_hpo,5,resnet_se,cremad,cremad,,0,0,3314293321,2993090851,3050963025,d75c629ef8fa4fd0bf7253b98333a19c66213d9f40197e8b4085174572162e82,e3ae57d9f942ad539d62d2e7ca48126aabd3dc0d0139664930b84fc645495608,ca755f08c0c601d8a51b51e393621199c368db8169373a14fe9079c82ea7f64d,c79d2ac28fa6c1f071282f04433bf6b26622912b78cd7300b458c769e691499e,4414,1472,1549,174.188,N14R,0,99,pending
N14R,1.0.0,f5340689f0671cf49da7e1c7115794307374c52bc73684db4a0f3c46770ef4ff,N14R,e43224f032d474ac5e0d1b46d82cb7580c88bb08bac87e989fc767fd8eef552b,0,primary,0,0,0,GR_hpo,6,resnet_se,cremad,cremad,,0,0,3314293321,2993090851,3050963025,d75c629ef8fa4fd0bf7253b98333a19c66213d9f40197e8b4085174572162e82,e3ae57d9f942ad539d62d2e7ca48126aabd3dc0d0139664930b84fc645495608,ca755f08c0c601d8a51b51e393621199c368db8169373a14fe9079c82ea7f64d,a504d4678e5ff9f10c12d209d58c29fb5d28633b280b98f26fb6bb27a4408922,4414,1472,1549,174.188,N14R,0,99,pending
N14R,1.0.0,f18f785d64318115a7d8132449419b82d81aeb4c74757f85d729deec6982bf37,N14R,e43224f032d474ac5e0d1b46d82cb7580c88bb08bac87e989fc767fd8eef552b,0,primary,0,0,0,GR_hpo,7,resnet_se,cremad,cremad,,0,0,3314293321,2993090851,3050963025,d75c629ef8fa4fd0bf7253b98333a19c66213d9f40197e8b4085174572162e82,e3ae57d9f942ad539d62d2e7ca48126aabd3dc0d0139664930b84fc645495608,ca755f08c0c601d8a51b51e393621199c368db8169373a14fe9079c82ea7f64d,d718b584d9e64da23564fc7b667bddeb9d67de01b253622a15f2359622f4f422,4414,1472,1549,174.188,N14R,0,99,pending
N14R,1.0.0,6f0d1fe0226c7333370651bbee1ab6c9bd97dec18758a8c3f7b927da48c6e48c,N14R,e43224f032d474ac5e0d1b46d82cb7580c88bb08bac87e989fc767fd8eef552b,0,primary,0,0,0,GG_hpo,0,resnet_se,cremad,cremad,,0,0,3314293321,3595721850,3050963025,d75c629ef8fa4fd0bf7253b98333a19c66213d9f40197e8b4085174572162e82,f6f3674587eb4dc8b6840d60696484b5fb7e3fa55877514b03c0dd99b5fe9261,93cd0333530470f14056175d6d002624617b55c0567ff587ac96b6ff2993f087,88aee71e2b88566047252edd277ce4873e8f6347aa59f9ea7e8cb978e36de0e9,4410,1476,1549,174.188,N14R,0,99,pending
N14R,1.0.0,b180bcf036ab3ae96c66ea8dcff149a8fd3e4e5d5d6f213534d498110c16edf4,N14R,e43224f032d474ac5e0d1b46d82cb7580c88bb08bac87e989fc767fd8eef552b,0,primary,0,0,0,GG_hpo,1,resnet_se,cremad,cremad,,0,0,3314293321,3595721850,3050963025,d75c629ef8fa4fd0bf7253b98333a19c66213d9f40197e8b4085174572162e82,f6f3674587eb4dc8b6840d60696484b5fb7e3fa55877514b03c0dd99b5fe9261,93cd0333530470f14056175d6d002624617b55c0567ff587ac96b6ff2993f087,8232033a6d4c0c3e10867e069db9c6ca7b19b3e09e66ff0092f1e2677410f7cb,4410,1476,1549,174.188,N14R,0,99,pending
