corpus,window,contexts,draws,folds_per_draw,D_CE_pp,D_UAR_pp,J_pp,T_seen_ce_uar,T_unseen_ce_uar,T_seen_uar_uar,T_unseen_uar_uar,last_window_outer_uar,ce_disagreement,uar_disagreement,ce_conditional_disagreement_effect_pp,ce_disagreement_count,uar_conditional_disagreement_effect_pp,uar_disagreement_count,seen_ce_boundary_fraction,unseen_ce_boundary_fraction,seen_uar_boundary_fraction,unseen_uar_boundary_fraction
cremad,8,120,24,5,0.4749768062461561,0.046586720477329584,0.42839008576882653,55.41956158693775,54.94458478069159,55.58199798195928,55.535411261481954,54.02496890964383,0.3416666666666666,0.43333333333333335,1.3901760182814324,41,0.10750781648614517,52,0.19166666666666668,0.13333333333333333,0.325,0.3416666666666667
cremad,10,120,24,5,0.7766709856493136,0.10073784867386493,0.6759331369754488,56.09493880062766,55.31826781497835,56.8305464345841,56.729808585910234,54.04078374995558,0.39999999999999997,0.5083333333333334,1.9416774641232841,48,0.19817281706334083,61,0.03333333333333333,0.025,0.225,0.19166666666666668
cremad,12,120,24,5,0.9055387712508455,0.28439515500919055,0.6211436162416549,56.22380658622919,55.31826781497835,57.08789409324755,56.80349893823836,53.48062351584023,0.4166666666666667,0.5583333333333333,2.1732930510020294,50,0.5093644567328787,67,0.008333333333333333,0.0,0.15,0.06666666666666667
cremad,15,120,24,5,0.9350000507121249,-0.0016247517537499492,0.9366248024658749,56.25326786569047,55.31826781497835,57.153571049404384,57.15519580115813,53.71520225628843,0.4166666666666667,0.625,2.2440001217091,50,-0.002599602805999931,75,0.0,0.0,0.06666666666666667,0.09166666666666666
subesco,8,120,24,5,1.4732142857142858,0.5208333333333336,0.9523809523809522,44.44940476190476,42.97619047619048,43.839285714285715,43.31845238095238,43.67559523809524,0.45,0.48333333333333334,3.273809523809524,54,1.077586206896552,58,0.525,0.31666666666666665,0.525,0.425
subesco,10,120,24,5,1.875,-0.3422619047619046,2.2172619047619047,46.20535714285714,44.330357142857146,45.654761904761905,45.9970238095238,45.014880952380956,0.5583333333333333,0.5750000000000001,3.3582089552238807,67,-0.5952380952380949,69,0.4166666666666667,0.175,0.45,0.375
subesco,12,120,24,5,1.845238095238095,0.3125000000000002,1.5327380952380947,46.651785714285715,44.80654761904762,46.93452380952382,46.62202380952382,46.25,0.6333333333333334,0.6083333333333333,2.9135338345864654,76,0.5136986301369867,73,0.20833333333333334,0.058333333333333334,0.3333333333333333,0.24166666666666667
subesco,15,120,24,5,2.2470238095238093,-0.3125000000000003,2.5595238095238098,47.11309523809524,44.86607142857142,47.42559523809524,47.73809523809524,47.291666666666664,0.7333333333333334,0.725,3.0641233766233764,88,-0.4310344827586211,87,0.09166666666666666,0.008333333333333333,0.21666666666666667,0.14166666666666666
ravdess,8,120,24,5,-0.13888888888888892,-0.7725694444444443,0.6336805555555555,21.440972222222225,21.57986111111111,21.553819444444443,22.32638888888889,21.31076388888889,0.18333333333333335,0.6666666666666666,-0.7575757575757578,22,-1.1588541666666665,80,0.825,0.8,0.30833333333333335,0.21666666666666667
ravdess,10,120,24,5,0.03472222222222228,0.39062499999999983,-0.3559027777777776,25.625,25.590277777777775,25.130208333333332,24.739583333333332,25.355902777777775,0.15833333333333335,0.6333333333333333,0.21929824561403544,19,0.6167763157894735,76,0.7916666666666666,0.7333333333333333,0.45,0.36666666666666664
ravdess,12,120,24,5,0.11284722222222232,0.18229166666666685,-0.06944444444444454,28.92361111111111,28.81076388888889,28.22048611111111,28.038194444444443,28.480902777777775,0.15833333333333335,0.5083333333333333,0.7127192982456145,19,0.3586065573770495,61,0.725,0.7,0.43333333333333335,0.38333333333333336
ravdess,15,120,24,5,0.486111111111111,0.017361111111111046,0.46875,33.94097222222222,33.45486111111111,32.942708333333336,32.92534722222222,32.82118055555556,0.23333333333333336,0.5750000000000001,2.083333333333333,28,0.030193236714975726,69,0.6,0.5166666666666667,0.4,0.38333333333333336
