level,enc,condition,estimator,share,ci_lo,ci_hi,n
cremad,hubert_base,single:*@3,naive,1.0,1.0,1.0,91
cremad,hubert_base,single:angry@3,naive,1.0,1.0,1.0,91
cremad,hubert_base,single:disgust@3,naive,1.0,1.0,1.0,91
cremad,hubert_base,single:fearful@3,naive,1.0,1.0,1.0,91
cremad,hubert_base,single:happy@3,naive,1.0,1.0,1.0,91
cremad,hubert_base,single:neutral@3,naive,1.0,1.0,1.0,91
cremad,hubert_base,single:sad@3,naive,1.0,1.0,1.0,91
cremad,hubert_base,single:*@3,shrink,0.4175824175824176,0.31868131868131866,0.5164835164835165,91
cremad,hubert_base,single:angry@3,shrink,0.43956043956043955,0.34065934065934067,0.5384615384615384,91
cremad,hubert_base,single:disgust@3,shrink,0.4065934065934066,0.3076923076923077,0.5054945054945055,91
cremad,hubert_base,single:fearful@3,shrink,0.43956043956043955,0.34065934065934067,0.5384615384615384,91
cremad,hubert_base,single:happy@3,shrink,0.38461538461538464,0.2857142857142857,0.4835164835164835,91
cremad,hubert_base,single:neutral@3,shrink,0.4065934065934066,0.3076923076923077,0.5054945054945055,91
cremad,hubert_base,single:sad@3,shrink,0.43956043956043955,0.34065934065934067,0.5384615384615384,91
cremad,hubert_base,single:*@3,neutral_filter,0.8461538461538461,0.7692307692307693,0.9120879120879121,91
cremad,hubert_base,single:angry@3,neutral_filter,0.8351648351648352,0.7582417582417582,0.9120879120879121,91
cremad,hubert_base,single:disgust@3,neutral_filter,0.7472527472527473,0.6593406593406593,0.8351648351648352,91
cremad,hubert_base,single:fearful@3,neutral_filter,0.7252747252747253,0.6373626373626373,0.8131868131868132,91
cremad,hubert_base,single:happy@3,neutral_filter,0.7692307692307693,0.6813186813186813,0.8461538461538461,91
cremad,hubert_base,single:neutral@3,neutral_filter,0.8241758241758241,0.7472527472527473,0.9010989010989011,91
cremad,hubert_base,single:sad@3,neutral_filter,0.7912087912087912,0.7032967032967034,0.8681318681318682,91
cremad,hubert_base,single:*@3,prior_corrected,0.4065934065934066,0.3076923076923077,0.5054945054945055,91
cremad,hubert_base,single:angry@3,prior_corrected,0.4945054945054945,0.3956043956043956,0.5934065934065934,91
cremad,hubert_base,single:disgust@3,prior_corrected,0.4065934065934066,0.3076923076923077,0.5054945054945055,91
cremad,hubert_base,single:fearful@3,prior_corrected,0.46153846153846156,0.3626373626373626,0.5604395604395604,91
cremad,hubert_base,single:happy@3,prior_corrected,0.43956043956043955,0.34065934065934067,0.5384615384615384,91
cremad,hubert_base,single:neutral@3,prior_corrected,0.34065934065934067,0.24175824175824176,0.43956043956043955,91
cremad,hubert_base,single:sad@3,prior_corrected,0.5384615384615384,0.43956043956043955,0.6483516483516484,91
cremad,hubert_base,single:*@5,naive,0.989010989010989,0.967032967032967,1.0,91
cremad,hubert_base,single:angry@5,naive,1.0,1.0,1.0,91
cremad,hubert_base,single:disgust@5,naive,0.978021978021978,0.945054945054945,1.0,91
cremad,hubert_base,single:fearful@5,naive,0.978021978021978,0.945054945054945,1.0,91
cremad,hubert_base,single:happy@5,naive,0.989010989010989,0.967032967032967,1.0,91
cremad,hubert_base,single:neutral@5,naive,0.978021978021978,0.945054945054945,1.0,91
cremad,hubert_base,single:sad@5,naive,1.0,1.0,1.0,91
cremad,hubert_base,single:*@5,shrink,0.42857142857142855,0.32967032967032966,0.5274725274725275,91
cremad,hubert_base,single:angry@5,shrink,0.5384615384615384,0.4392857142857145,0.6373626373626373,91
cremad,hubert_base,single:disgust@5,shrink,0.3956043956043956,0.2967032967032967,0.4945054945054945,91
cremad,hubert_base,single:fearful@5,shrink,0.3956043956043956,0.2967032967032967,0.4945054945054945,91
cremad,hubert_base,single:happy@5,shrink,0.46153846153846156,0.3626373626373626,0.5604395604395604,91
cremad,hubert_base,single:neutral@5,shrink,0.3956043956043956,0.2967032967032967,0.4945054945054945,91
cremad,hubert_base,single:sad@5,shrink,0.45054945054945056,0.3516483516483517,0.5494505494505495,91
cremad,hubert_base,single:*@5,neutral_filter,0.8791208791208791,0.8131868131868132,0.945054945054945,91
cremad,hubert_base,single:angry@5,neutral_filter,0.8461538461538461,0.7692307692307693,0.9120879120879121,91
cremad,hubert_base,single:disgust@5,neutral_filter,0.7142857142857143,0.6153846153846154,0.8021978021978022,91
cremad,hubert_base,single:fearful@5,neutral_filter,0.7252747252747253,0.6263736263736264,0.8131868131868132,91
cremad,hubert_base,single:happy@5,neutral_filter,0.7912087912087912,0.7032967032967034,0.8681318681318682,91
cremad,hubert_base,single:neutral@5,neutral_filter,0.8461538461538461,0.7692307692307693,0.9120879120879121,91
cremad,hubert_base,single:sad@5,neutral_filter,0.8021978021978022,0.7252747252747253,0.8791208791208791,91
cremad,hubert_base,single:*@5,prior_corrected,0.3516483516483517,0.25274725274725274,0.45054945054945056,91
cremad,hubert_base,single:angry@5,prior_corrected,0.45054945054945056,0.3516483516483517,0.5494505494505495,91
cremad,hubert_base,single:disgust@5,prior_corrected,0.3626373626373626,0.26373626373626374,0.46153846153846156,91
cremad,hubert_base,single:fearful@5,prior_corrected,0.42857142857142855,0.32967032967032966,0.5274725274725275,91
cremad,hubert_base,single:happy@5,prior_corrected,0.34065934065934067,0.24175824175824176,0.43956043956043955,91
cremad,hubert_base,single:neutral@5,prior_corrected,0.2967032967032967,0.2087912087912088,0.3956043956043956,91
cremad,hubert_base,single:sad@5,prior_corrected,0.4725274725274725,0.37362637362637363,0.5714285714285714,91
cremad,wav2vec2_base,single:*@3,naive,1.0,1.0,1.0,91
cremad,wav2vec2_base,single:angry@3,naive,1.0,1.0,1.0,91
cremad,wav2vec2_base,single:disgust@3,naive,1.0,1.0,1.0,91
cremad,wav2vec2_base,single:fearful@3,naive,1.0,1.0,1.0,91
cremad,wav2vec2_base,single:happy@3,naive,1.0,1.0,1.0,91
cremad,wav2vec2_base,single:neutral@3,naive,1.0,1.0,1.0,91
cremad,wav2vec2_base,single:sad@3,naive,1.0,1.0,1.0,91
cremad,wav2vec2_base,single:*@3,shrink,0.5604395604395604,0.46153846153846156,0.6593406593406593,91
cremad,wav2vec2_base,single:angry@3,shrink,0.5494505494505495,0.45054945054945056,0.6483516483516484,91
cremad,wav2vec2_base,single:disgust@3,shrink,0.43956043956043955,0.34065934065934067,0.5384615384615384,91
cremad,wav2vec2_base,single:fearful@3,shrink,0.5054945054945055,0.4065934065934066,0.6043956043956044,91
cremad,wav2vec2_base,single:happy@3,shrink,0.38461538461538464,0.2857142857142857,0.4835164835164835,91
cremad,wav2vec2_base,single:neutral@3,shrink,0.4835164835164835,0.38461538461538464,0.5824175824175825,91
cremad,wav2vec2_base,single:sad@3,shrink,0.5054945054945055,0.4065934065934066,0.6043956043956044,91
cremad,wav2vec2_base,single:*@3,neutral_filter,0.8021978021978022,0.7252747252747253,0.8791208791208791,91
cremad,wav2vec2_base,single:angry@3,neutral_filter,0.8681318681318682,0.7912087912087912,0.9340659340659341,91
cremad,wav2vec2_base,single:disgust@3,neutral_filter,0.6703296703296703,0.5714285714285714,0.7692307692307693,91
cremad,wav2vec2_base,single:fearful@3,neutral_filter,0.7582417582417582,0.6703296703296703,0.8461538461538461,91
cremad,wav2vec2_base,single:happy@3,neutral_filter,0.7472527472527473,0.6593406593406593,0.8351648351648352,91
cremad,wav2vec2_base,single:neutral@3,neutral_filter,0.7912087912087912,0.7032967032967034,0.8681318681318682,91
cremad,wav2vec2_base,single:sad@3,neutral_filter,0.7802197802197802,0.6923076923076923,0.8681318681318682,91
cremad,wav2vec2_base,single:*@3,prior_corrected,0.6043956043956044,0.5054945054945055,0.7032967032967034,91
cremad,wav2vec2_base,single:angry@3,prior_corrected,0.6703296703296703,0.5714285714285714,0.7692307692307693,91
cremad,wav2vec2_base,single:disgust@3,prior_corrected,0.5164835164835165,0.4175824175824176,0.6153846153846154,91
cremad,wav2vec2_base,single:fearful@3,prior_corrected,0.6703296703296703,0.5714285714285714,0.7692307692307693,91
cremad,wav2vec2_base,single:happy@3,prior_corrected,0.5714285714285714,0.4725274725274725,0.6703296703296703,91
cremad,wav2vec2_base,single:neutral@3,prior_corrected,0.4065934065934066,0.3076923076923077,0.5054945054945055,91
cremad,wav2vec2_base,single:sad@3,prior_corrected,0.6153846153846154,0.5164835164835165,0.7142857142857143,91
cremad,wav2vec2_base,single:*@5,naive,1.0,1.0,1.0,91
cremad,wav2vec2_base,single:angry@5,naive,0.989010989010989,0.967032967032967,1.0,91
cremad,wav2vec2_base,single:disgust@5,naive,1.0,1.0,1.0,91
cremad,wav2vec2_base,single:fearful@5,naive,0.989010989010989,0.967032967032967,1.0,91
cremad,wav2vec2_base,single:happy@5,naive,0.989010989010989,0.967032967032967,1.0,91
cremad,wav2vec2_base,single:neutral@5,naive,1.0,1.0,1.0,91
cremad,wav2vec2_base,single:sad@5,naive,1.0,1.0,1.0,91
