level,enc,class,N,recall_single,recall_none,diff,ci_lo,ci_hi,n
cremad,hubert_base,angry,3,15.692307692307692,79.61538461538463,-63.92307692307692,-68.36263736263736,-58.999908424908426,91
cremad,hubert_base,disgust,3,17.13919413919414,64.78021978021977,-47.64102564102563,-53.43589743589744,-41.61904761904762,91
cremad,hubert_base,fearful,3,16.919413919413916,60.76923076923077,-43.849816849816854,-49.37014652014651,-38.35897435897436,91
cremad,hubert_base,happy,3,16.003663003663004,62.637362637362635,-46.633699633699635,-52.399450549450556,-40.637087912087914,91
cremad,hubert_base,neutral,3,20.494505494505496,87.25274725274726,-66.75824175824175,-70.65576923076924,-62.52380952380952,91
cremad,hubert_base,sad,3,17.95970695970696,58.956043956043956,-40.99633699633699,-47.43598901098901,-34.435805860805864,91
cremad,hubert_base,angry,5,15.252747252747254,79.61538461538463,-64.36263736263736,-68.73278388278388,-59.65924908424908,91
cremad,hubert_base,disgust,5,18.01098901098901,64.78021978021977,-46.76923076923077,-52.60448717948718,-40.834981684981685,91
cremad,hubert_base,fearful,5,20.26739926739927,60.76923076923077,-40.501831501831504,-45.93434065934066,-35.0474358974359,91
cremad,hubert_base,happy,5,16.57875457875458,62.637362637362635,-46.058608058608066,-51.45054945054944,-40.43937728937729,91
cremad,hubert_base,neutral,5,22.025641025641026,87.25274725274726,-65.22710622710623,-69.57902930402929,-60.66648351648351,91
cremad,hubert_base,sad,5,19.919413919413916,58.956043956043956,-39.03663003663004,-44.95247252747252,-32.91208791208792,91
cremad,wav2vec2_base,angry,3,14.256410256410255,79.72527472527474,-65.46886446886447,-70.23076923076923,-60.36254578754579,91
cremad,wav2vec2_base,disgust,3,18.252747252747255,58.64468864468865,-40.39194139194139,-46.82820512820513,-33.93397435897436,91
cremad,wav2vec2_base,fearful,3,16.13919413919414,52.179487179487175,-36.04029304029304,-42.16492673992674,-29.915750915750916,91
cremad,wav2vec2_base,happy,3,19.05128205128205,60.14652014652015,-41.095238095238095,-46.75100732600733,-35.355219780219784,91
cremad,wav2vec2_base,neutral,3,16.476190476190474,77.80219780219781,-61.32600732600732,-66.39935897435898,-55.89001831501832,91
cremad,wav2vec2_base,sad,3,16.875457875457876,57.63736263736263,-40.761904761904766,-46.9709706959707,-34.34423076923077,91
cremad,wav2vec2_base,angry,5,16.238095238095237,79.72527472527474,-63.48717948717948,-68.16492673992674,-58.45787545787545,91
cremad,wav2vec2_base,disgust,5,18.36263736263736,58.64468864468865,-40.28205128205128,-46.74734432234432,-33.79835164835165,91
cremad,wav2vec2_base,fearful,5,15.076923076923077,52.179487179487175,-37.1025641025641,-43.212545787545785,-31.084065934065936,91
cremad,wav2vec2_base,happy,5,18.66300366300366,60.14652014652015,-41.48351648351648,-46.59349816849818,-36.30769230769231,91
cremad,wav2vec2_base,neutral,5,16.684981684981686,77.80219780219781,-61.117216117216124,-66.43956043956042,-55.43956043956044,91
cremad,wav2vec2_base,sad,5,19.98168498168498,57.63736263736263,-37.65567765567766,-43.67399267399268,-31.520054945054945,91
cremad,wavlm_base_plus,angry,3,16.175824175824175,81.50183150183149,-65.32600732600734,-69.46520146520145,-60.78745421245421,91
cremad,wavlm_base_plus,disgust,3,17.113553113553113,65.16483516483515,-48.051282051282044,-54.12481684981685,-41.99999999999999,91
cremad,wavlm_base_plus,fearful,3,19.564102564102562,62.76556776556776,-43.2014652014652,-48.732783882783885,-37.75824175824176,91
cremad,wavlm_base_plus,happy,3,18.274725274725274,64.98168498168498,-46.7069597069597,-52.1282967032967,-41.10604395604396,91
cremad,wavlm_base_plus,neutral,3,14.868131868131869,88.99267399267399,-74.12454212454212,-77.34807692307693,-70.7106227106227,91
cremad,wavlm_base_plus,sad,3,16.26007326007326,58.754578754578745,-42.494505494505496,-48.472527472527474,-36.36208791208792,91
cremad,wavlm_base_plus,angry,5,16.062271062271062,81.50183150183149,-65.43956043956044,-69.64835164835164,-60.8753663003663,91
cremad,wavlm_base_plus,disgust,5,17.55677655677656,65.16483516483515,-47.608058608058606,-53.86474358974359,-41.45027472527473,91
cremad,wavlm_base_plus,fearful,5,21.128205128205128,62.76556776556776,-41.637362637362635,-47.1246336996337,-36.219688644688645,91
cremad,wavlm_base_plus,happy,5,16.7032967032967,64.98168498168498,-48.27838827838828,-53.65934065934066,-42.7728021978022,91
cremad,wavlm_base_plus,neutral,5,12.886446886446887,88.99267399267399,-76.10622710622711,-79.47628205128204,-72.48699633699634,91
cremad,wavlm_base_plus,sad,5,17.003663003663004,58.754578754578745,-41.75091575091575,-47.86456043956043,-35.563919413919415,91
ravdess,hubert_base,calm,3,10.694444444444445,49.65277777777778,-38.958333333333336,-51.388888888888886,-26.458333333333332,24
ravdess,hubert_base,happy,3,12.638888888888891,54.513888888888886,-41.875,-54.51388888888889,-28.958333333333332,24
ravdess,hubert_base,sad,3,13.680555555555555,48.26388888888889,-34.583333333333336,-46.875,-21.597222222222218,24
ravdess,hubert_base,angry,3,11.180555555555555,72.91666666666667,-61.736111111111114,-72.5,-50.27777777777777,24
ravdess,hubert_base,fearful,3,13.194444444444445,51.388888888888886,-38.194444444444436,-50.27777777777778,-26.109375000000018,24
ravdess,hubert_base,disgust,3,9.236111111111112,61.805555555555564,-52.56944444444445,-62.98784722222222,-41.80381944444447,24
ravdess,hubert_base,surprised,3,11.388888888888891,63.88888888888889,-52.5,-66.25,-38.125,24
ravdess,wav2vec2_base,calm,3,12.777777777777779,60.069444444444436,-47.291666666666664,-59.513888888888886,-34.44444444444445,24
ravdess,wav2vec2_base,happy,3,14.444444444444443,46.875,-32.43055555555556,-46.666666666666664,-19.097222222222225,24
ravdess,wav2vec2_base,sad,3,15.694444444444443,45.13888888888889,-29.444444444444446,-37.84722222222222,-20.625000000000004,24
ravdess,wav2vec2_base,angry,3,13.125,69.44444444444446,-56.31944444444445,-67.84722222222223,-43.47222222222223,24
ravdess,wav2vec2_base,fearful,3,13.333333333333334,54.86111111111111,-41.52777777777778,-52.84722222222223,-30.555555555555557,24
ravdess,wav2vec2_base,disgust,3,9.652777777777777,64.58333333333333,-54.93055555555555,-65.90277777777777,-43.680555555555564,24
ravdess,wav2vec2_base,surprised,3,9.86111111111111,59.375,-49.51388888888889,-62.98611111111111,-35.34722222222222,24
ravdess,wavlm_base_plus,calm,3,8.194444444444445,50.34722222222223,-42.15277777777778,-53.96006944444444,-30.486111111111114,24
ravdess,wavlm_base_plus,happy,3,12.361111111111112,55.555555555555564,-43.19444444444445,-56.458333333333336,-29.720486111111132,24
ravdess,wavlm_base_plus,sad,3,16.458333333333332,43.055555555555564,-26.597222222222225,-36.736111111111114,-15.902777777777779,24
ravdess,wavlm_base_plus,angry,3,12.847222222222223,72.91666666666667,-60.06944444444445,-69.65277777777779,-50.625,24
ravdess,wavlm_base_plus,fearful,3,11.180555555555557,55.90277777777777,-44.72222222222222,-54.654513888888886,-34.51388888888889,24
ravdess,wavlm_base_plus,disgust,3,3.5416666666666665,68.40277777777779,-64.8611111111111,-74.79166666666667,-54.23437500000002,24
ravdess,wavlm_base_plus,surprised,3,11.666666666666666,61.11111111111111,-49.444444444444436,-62.083333333333336,-36.111111111111114,24
subesco_980,hubert_base,ANGRY,3,13.333333333333332,53.88888888888888,-40.55555555555554,-52.77777777777777,-27.77777777777777,20
subesco_980,hubert_base,DISGUST,3,25.111111111111107,31.111111111111104,-5.999999999999999,-19.111111111111107,7.444444444444441,20
