level,model,replicate,variant,accepted_classes_present,accepted_error,accepted_present_class_uar,accepted_support_0,accepted_support_1,accepted_support_2,accepted_support_3,accepted_support_4,accepted_support_5,accepted_uar,actual_review_rate,b,coverage,error_capture_rate,n_rejected,n_utts,overall_error_rate,overall_uar,quota_accepted_error,quota_coverage,quota_error_capture_rate,speaker_coverage_min,speaker_coverage_p10,speaker_equal_accepted_error,speaker_risk_undefined_count,speakers_below_0.70,speakers_zero,tau,accepted_support_6,accepted_support_7
cremad,cnn,r0s0,global_oof,6,0.41482367005379556,58.71161265112045,1195,1116,1137,1105,978,1161,58.71161265112045,0.09993275050437121,0.1,0.9000672494956288,0.15546090660176454,743,7435,0.442098184263618,56.186928053086135,0.41520119225037255,0.902488231338265,0.1524186188013386,0.7682926829268293,0.8414634146341463,0.4150047528080832,0,0,0,0.37216253057882703,,
cremad,cnn,r0s0,global_oof,6,0.3863483523873571,61.15068282473403,1103,971,999,918,899,1058,61.15068282473403,0.2,0.2,0.8,0.3008822634621235,1487,7435,0.442098184263618,56.186928053086135,0.3879973253092611,0.8045729657027573,0.2938850015211439,0.6463414634146342,0.7317073170731707,0.38669480786915994,0,5,0,0.4228495056685315,,
cremad,cnn,r0s0,global_oof,6,0.36042267050912585,63.01480675032779,1003,832,833,750,835,952,63.01480675032779,0.29993275050437124,0.3,0.7000672494956288,0.42926680864009736,2230,7435,0.442098184263618,56.186928053086135,0.3654175385200685,0.7070611970410222,0.4155765135381807,0.5365853658536586,0.6097560975609756,0.3597802249895216,0,44,0,0.46025016678459274,,
cremad,cnn,r0s0,within_fold,6,0.4146997311024798,58.70693393489578,1197,1110,1140,1105,981,1161,58.70693393489578,0.09966375252185608,0.1,0.9003362474781439,0.15546090660176454,741,7435,0.442098184263618,56.186928053086135,0.41520119225037255,0.902488231338265,0.1524186188013386,0.7926829268292683,0.8414634146341463,0.41485637380387425,0,0,0,0.37216253057882703,,
cremad,cnn,r0s0,within_fold,6,0.3877310924369748,61.01057206551662,1101,970,998,923,899,1059,61.01057206551662,0.19973100201748487,0.2,0.8002689979825152,0.29814420444174017,1485,7435,0.442098184263618,56.186928053086135,0.3879973253092611,0.8045729657027573,0.2938850015211439,0.6829268292682927,0.725,0.38784294986970863,0,4,0,0.4228495056685315,,
cremad,cnn,r0s0,within_fold,6,0.36297292106779333,62.75548000217025,998,833,838,745,839,954,62.75548000217025,0.29966375252185606,0.3,0.7003362474781439,0.4250076057195011,2228,7435,0.442098184263618,56.186928053086135,0.3654175385200685,0.7070611970410222,0.4155765135381807,0.47560975609756095,0.6097560975609756,0.361753531387282,0,48,0,0.46025016678459274,,
cremad,cnn,r1s1,global_oof,6,0.41601912731619844,58.52707553287036,1204,1134,1131,1088,986,1149,58.52707553287036,0.09993275050437121,0.1,0.9000672494956288,0.15225334957369063,743,7435,0.44169468728984534,56.20802424970183,0.41758569299552906,0.902488231338265,0.14677222898903775,0.7926829268292683,0.8641975308641975,0.41569744734112174,0,0,0,0.3742072348945897,,
cremad,cnn,r1s1,global_oof,6,0.3922326832548756,60.448877197808905,1129,1005,992,892,891,1039,60.448877197808905,0.2,0.2,0.8,0.28958587088915955,1487,7435,0.44169468728984534,56.20802424970183,0.39067201604814444,0.8045729657027573,0.28836784409257005,0.6707317073170732,0.7195121951219512,0.3920232593384176,0,5,0,0.4276825637503452,,
cremad,cnn,r1s1,global_oof,6,0.36618635926993276,62.21502610182949,1041,866,837,707,824,930,62.21502610182949,0.29993275050437124,0.3,0.7000672494956288,0.41961023142509135,2230,7435,0.44169468728984534,56.20802424970183,0.3705535476507514,0.7070611970410222,0.40682095006090135,0.5,0.6049382716049383,0.36503524527142206,0,46,0,0.47069372078881827,,
cremad,cnn,r1s1,within_fold,6,0.4164923812369286,58.480690752169075,1203,1134,1134,1085,985,1153,58.480690752169075,0.09966375252185608,0.1,0.9003362474781439,0.1510353227771011,741,7435,0.44169468728984534,56.20802424970183,0.41758569299552906,0.902488231338265,0.14677222898903775,0.8048780487804879,0.8658536585365854,0.4164744937756629,0,0,0,0.3742072348945897,,
cremad,cnn,r1s1,within_fold,6,0.39210084033613446,60.437089046670046,1125,1005,988,893,897,1042,60.437089046670046,0.19973100201748487,0.2,0.8002689979825152,0.28958587088915955,1485,7435,0.44169468728984534,56.20802424970183,0.39067201604814444,0.8045729657027573,0.28836784409257005,0.6951219512195121,0.7317073170731707,0.39216031048494887,0,2,0,0.4276825637503452,,
cremad,cnn,r1s1,within_fold,6,0.3657318478678448,62.288682906869205,1043,878,834,704,816,931,62.288682906869205,0.2997982515131137,0.3,0.7002017484868863,0.42021924482338613,2229,7435,0.44169468728984534,56.20802424970183,0.3705535476507514,0.7070611970410222,0.40682095006090135,0.5609756097560976,0.6097560975609756,0.36475991955022663,0,42,0,0.47069372078881827,,
