level,model,replicate,variant,b,speaker,accepted_error,coverage,n,n_acc,n_err,n_err_acc,n_err_rej
cremad,cnn,r0s0,global_oof,0.1,1001,0.6329113924050633,0.9634146341463414,82,79,53,50,3
cremad,cnn,r0s0,global_oof,0.1,1002,0.4,0.8641975308641975,81,70,35,28,7
cremad,cnn,r0s0,global_oof,0.1,1003,0.27692307692307694,0.7926829268292683,82,65,31,18,13
cremad,cnn,r0s0,global_oof,0.1,1004,0.3055555555555556,0.8780487804878049,82,72,32,22,10
cremad,cnn,r0s0,global_oof,0.1,1005,0.5128205128205128,0.9512195121951219,82,78,43,40,3
cremad,cnn,r0s0,global_oof,0.1,1006,0.44594594594594594,0.925,80,74,37,33,4
cremad,cnn,r0s0,global_oof,0.1,1007,0.39436619718309857,0.8658536585365854,82,71,38,28,10
cremad,cnn,r0s0,global_oof,0.1,1008,0.5714285714285714,0.8289473684210527,76,63,45,36,9
cremad,cnn,r0s0,global_oof,0.1,1009,0.3380281690140845,0.9342105263157895,76,71,26,24,2
cremad,cnn,r0s0,global_oof,0.1,1010,0.3188405797101449,0.8414634146341463,82,69,28,22,6
cremad,cnn,r0s0,global_oof,0.1,1011,0.3472222222222222,0.8780487804878049,82,72,33,25,8
cremad,cnn,r0s0,global_oof,0.1,1012,0.38571428571428573,0.8536585365853658,82,70,36,27,9
cremad,cnn,r0s0,global_oof,0.1,1013,0.35064935064935066,0.9625,80,77,29,27,2
cremad,cnn,r0s0,global_oof,0.1,1014,0.32,0.9146341463414634,82,75,30,24,6
cremad,cnn,r0s0,global_oof,0.1,1015,0.37662337662337664,0.9390243902439024,82,77,33,29,4
cremad,cnn,r0s0,global_oof,0.1,1016,0.38461538461538464,0.9512195121951219,82,78,34,30,4
cremad,cnn,r0s0,global_oof,0.1,1017,0.49295774647887325,0.8875,80,71,43,35,8
cremad,cnn,r0s0,global_oof,0.1,1018,0.3424657534246575,0.8902439024390244,82,73,28,25,3
cremad,cnn,r0s0,global_oof,0.1,1019,0.40298507462686567,0.881578947368421,76,67,33,27,6
cremad,cnn,r0s0,global_oof,0.1,1020,0.3835616438356164,0.8902439024390244,82,73,34,28,6
cremad,cnn,r0s0,global_oof,0.1,1021,0.5063291139240507,0.9634146341463414,82,79,43,40,3
cremad,cnn,r0s0,global_oof,0.1,1022,0.40540540540540543,0.9024390243902439,82,74,34,30,4
cremad,cnn,r0s0,global_oof,0.1,1023,0.5,0.8536585365853658,82,70,45,35,10
cremad,cnn,r0s0,global_oof,0.1,1024,0.5211267605633803,0.8658536585365854,82,71,45,37,8
cremad,cnn,r0s0,global_oof,0.1,1025,0.4305555555555556,0.8780487804878049,82,72,39,31,8
cremad,cnn,r0s0,global_oof,0.1,1026,0.34615384615384615,0.9512195121951219,82,78,31,27,4
cremad,cnn,r0s0,global_oof,0.1,1027,0.3333333333333333,0.8414634146341463,82,69,29,23,6
cremad,cnn,r0s0,global_oof,0.1,1028,0.3918918918918919,0.9024390243902439,82,74,33,29,4
cremad,cnn,r0s0,global_oof,0.1,1029,0.4666666666666667,0.9146341463414634,82,75,40,35,5
cremad,cnn,r0s0,global_oof,0.1,1030,0.3333333333333333,0.8780487804878049,82,72,31,24,7
cremad,cnn,r0s0,global_oof,0.1,1031,0.5675675675675675,0.9024390243902439,82,74,48,42,6
cremad,cnn,r0s0,global_oof,0.1,1032,0.41333333333333333,0.9146341463414634,82,75,37,31,6
cremad,cnn,r0s0,global_oof,0.1,1033,0.3055555555555556,0.8780487804878049,82,72,29,22,7
cremad,cnn,r0s0,global_oof,0.1,1034,0.410958904109589,0.8902439024390244,82,73,36,30,6
cremad,cnn,r0s0,global_oof,0.1,1035,0.410958904109589,0.8902439024390244,82,73,35,30,5
cremad,cnn,r0s0,global_oof,0.1,1036,0.6060606060606061,0.8048780487804879,82,66,53,40,13
cremad,cnn,r0s0,global_oof,0.1,1037,0.30666666666666664,0.9146341463414634,82,75,28,23,5
cremad,cnn,r0s0,global_oof,0.1,1038,0.36486486486486486,0.9024390243902439,82,74,33,27,6
cremad,cnn,r0s0,global_oof,0.1,1039,0.4935064935064935,0.9390243902439024,82,77,40,38,2
cremad,cnn,r0s0,global_oof,0.1,1040,0.36,0.9146341463414634,82,75,34,27,7
cremad,cnn,r0s0,global_oof,0.1,1041,0.4050632911392405,0.9634146341463414,82,79,34,32,2
cremad,cnn,r0s0,global_oof,0.1,1042,0.5205479452054794,0.8902439024390244,82,73,46,38,8
cremad,cnn,r0s0,global_oof,0.1,1043,0.4155844155844156,0.9390243902439024,82,77,36,32,4
cremad,cnn,r0s0,global_oof,0.1,1044,0.38666666666666666,0.9146341463414634,82,75,33,29,4
cremad,cnn,r0s0,global_oof,0.1,1045,0.35064935064935066,0.9390243902439024,82,77,30,27,3
cremad,cnn,r0s0,global_oof,0.1,1046,0.6075949367088608,0.9634146341463414,82,79,50,48,2
cremad,cnn,r0s0,global_oof,0.1,1047,0.2625,0.975609756097561,82,80,23,21,2
cremad,cnn,r0s0,global_oof,0.1,1048,0.34177215189873417,0.9634146341463414,82,79,29,27,2
cremad,cnn,r0s0,global_oof,0.1,1049,0.2916666666666667,0.8780487804878049,82,72,25,21,4
cremad,cnn,r0s0,global_oof,0.1,1050,0.3783783783783784,0.9024390243902439,82,74,34,28,6
cremad,cnn,r0s0,global_oof,0.1,1051,0.2602739726027397,0.8902439024390244,82,73,24,19,5
cremad,cnn,r0s0,global_oof,0.1,1052,0.36486486486486486,0.9024390243902439,82,74,32,27,5
cremad,cnn,r0s0,global_oof,0.1,1053,0.32857142857142857,0.8536585365853658,82,70,32,23,9
cremad,cnn,r0s0,global_oof,0.1,1054,0.56,0.9146341463414634,82,75,46,42,4
cremad,cnn,r0s0,global_oof,0.1,1055,0.35064935064935066,0.9390243902439024,82,77,31,27,4
cremad,cnn,r0s0,global_oof,0.1,1056,0.4605263157894737,0.926829268292683,82,76,39,35,4
cremad,cnn,r0s0,global_oof,0.1,1057,0.5211267605633803,0.8658536585365854,82,71,43,37,6
cremad,cnn,r0s0,global_oof,0.1,1058,0.35064935064935066,0.9390243902439024,82,77,31,27,4
cremad,cnn,r0s0,global_oof,0.1,1059,0.5833333333333334,0.8780487804878049,82,72,50,42,8
cremad,cnn,r0s0,global_oof,0.1,1060,0.47297297297297297,0.9024390243902439,82,74,40,35,5
cremad,cnn,r0s0,global_oof,0.1,1061,0.375,0.8780487804878049,82,72,32,27,5
cremad,cnn,r0s0,global_oof,0.1,1062,0.44155844155844154,0.9390243902439024,82,77,36,34,2
cremad,cnn,r0s0,global_oof,0.1,1063,0.2564102564102564,0.9512195121951219,82,78,23,20,3
cremad,cnn,r0s0,global_oof,0.1,1064,0.28378378378378377,0.9024390243902439,82,74,27,21,6
cremad,cnn,r0s0,global_oof,0.1,1065,0.375,0.8780487804878049,82,72,34,27,7
cremad,cnn,r0s0,global_oof,0.1,1066,0.35526315789473684,0.926829268292683,82,76,29,27,2
cremad,cnn,r0s0,global_oof,0.1,1067,0.581081081081081,0.9024390243902439,82,74,48,43,5
cremad,cnn,r0s0,global_oof,0.1,1068,0.3611111111111111,0.8780487804878049,82,72,34,26,8
cremad,cnn,r0s0,global_oof,0.1,1069,0.4305555555555556,0.8780487804878049,82,72,38,31,7
cremad,cnn,r0s0,global_oof,0.1,1070,0.34782608695652173,0.8414634146341463,82,69,34,24,10
cremad,cnn,r0s0,global_oof,0.1,1071,0.5394736842105263,0.926829268292683,82,76,44,41,3
cremad,cnn,r0s0,global_oof,0.1,1072,0.22972972972972974,0.9024390243902439,82,74,21,17,4
cremad,cnn,r0s0,global_oof,0.1,1073,0.4533333333333333,0.9146341463414634,82,75,36,34,2
cremad,cnn,r0s0,global_oof,0.1,1074,0.56,0.9146341463414634,82,75,48,42,6
cremad,cnn,r0s0,global_oof,0.1,1075,0.6025641025641025,0.9512195121951219,82,78,50,47,3
cremad,cnn,r0s0,global_oof,0.1,1076,0.3382352941176471,0.85,80,68,30,23,7
cremad,cnn,r0s0,global_oof,0.1,1077,0.5540540540540541,0.9024390243902439,82,74,48,41,7
cremad,cnn,r0s0,global_oof,0.1,1078,0.2857142857142857,0.9390243902439024,82,77,24,22,2
cremad,cnn,r0s0,global_oof,0.1,1079,0.4473684210526316,0.926829268292683,82,76,39,34,5
cremad,cnn,r0s0,global_oof,0.1,1080,0.3125,0.975609756097561,82,80,26,25,1
cremad,cnn,r0s0,global_oof,0.1,1081,0.3076923076923077,0.9512195121951219,82,78,27,24,3
cremad,cnn,r0s0,global_oof,0.1,1082,0.7397260273972602,0.8902439024390244,82,73,62,54,8
cremad,cnn,r0s0,global_oof,0.1,1083,0.41333333333333333,0.9146341463414634,82,75,37,31,6
cremad,cnn,r0s0,global_oof,0.1,1084,0.42424242424242425,0.8048780487804879,82,66,38,28,10
cremad,cnn,r0s0,global_oof,0.1,1085,0.2777777777777778,0.8780487804878049,82,72,27,20,7
cremad,cnn,r0s0,global_oof,0.1,1086,0.5,0.926829268292683,82,76,42,38,4
cremad,cnn,r0s0,global_oof,0.1,1087,0.5079365079365079,0.7682926829268293,82,63,43,32,11
cremad,cnn,r0s0,global_oof,0.1,1088,0.40789473684210525,0.926829268292683,82,76,36,31,5
cremad,cnn,r0s0,global_oof,0.1,1089,0.42424242424242425,0.8048780487804879,82,66,39,28,11
cremad,cnn,r0s0,global_oof,0.1,1090,0.391304347826087,0.8414634146341463,82,69,34,27,7
cremad,cnn,r0s0,global_oof,0.1,1091,0.5694444444444444,0.8780487804878049,82,72,49,41,8
cremad,cnn,r0s0,global_oof,0.2,1001,0.5970149253731343,0.8170731707317073,82,67,53,40,13
cremad,cnn,r0s0,global_oof,0.2,1002,0.4098360655737705,0.7530864197530864,81,61,35,25,10
cremad,cnn,r0s0,global_oof,0.2,1003,0.25,0.7317073170731707,82,60,31,15,16
