level,model,b,speaker,coverage,accepted_error,n_utts,n_reps,n_defined_risk_reps
cremad,cnn,0.1,1001,0.9186991869918698,0.6243037974683544,82,3,3
cremad,cnn,0.1,1002,0.8477366255144032,0.4696969696969697,81,3,3
cremad,cnn,0.1,1003,0.8577235772357724,0.29788827288827285,82,3,3
cremad,cnn,0.1,1004,0.8861788617886179,0.3492202729044835,82,3,3
cremad,cnn,0.1,1005,0.8699186991869917,0.46759886485913876,82,3,3
cremad,cnn,0.1,1006,0.9083333333333333,0.45817245817245816,80,3,3
cremad,cnn,0.1,1007,0.9024390243902439,0.4538530598797463,82,3,3
cremad,cnn,0.1,1008,0.8815789473684211,0.5191876750700279,76,3,3
cremad,cnn,0.1,1009,0.9210526315789473,0.30806407069870195,76,3,3
cremad,cnn,0.1,1010,0.8455284552845529,0.2931824801390019,82,3,3
cremad,cnn,0.1,1011,0.9024390243902439,0.34250698066487545,82,3,3
cremad,cnn,0.1,1012,0.8170731707317073,0.3117882117882118,82,3,3
cremad,cnn,0.1,1013,0.9416666666666668,0.34955578955578953,80,3,3
cremad,cnn,0.1,1014,0.9024390243902439,0.3061606812291744,82,3,3
cremad,cnn,0.1,1015,0.9268292682926829,0.39920439920439926,82,3,3
cremad,cnn,0.1,1016,0.9146341463414633,0.40020315362781117,82,3,3
cremad,cnn,0.1,1017,0.9166666666666666,0.4685234530304953,80,3,3
cremad,cnn,0.1,1018,0.910569105691057,0.286318993831611,82,3,3
cremad,cnn,0.1,1019,0.8596491228070174,0.3678382282137698,76,3,3
cremad,cnn,0.1,1020,0.9105691056910569,0.3263083948015455,82,3,3
cremad,cnn,0.1,1021,0.9512195121951219,0.5300817326133781,82,3,3
cremad,cnn,0.1,1022,0.9065040650406505,0.3766966966966967,82,3,3
cremad,cnn,0.1,1023,0.8739837398373984,0.5250602715391447,82,3,3
cremad,cnn,0.1,1024,0.8821138211382115,0.47480438184663537,82,3,3
cremad,cnn,0.1,1025,0.9024390243902439,0.4813563563563563,82,3,3
cremad,cnn,0.1,1026,0.9268292682926829,0.31998395156289894,82,3,3
cremad,cnn,0.1,1027,0.8536585365853658,0.33733995881457607,82,3,3
cremad,cnn,0.1,1028,0.8617886178861789,0.45734797297297297,82,3,3
cremad,cnn,0.1,1029,0.8983739837398375,0.4249499499499499,82,3,3
cremad,cnn,0.1,1030,0.8658536585365854,0.3142633579253297,82,3,3
cremad,cnn,0.1,1031,0.8902439024390244,0.5793479193479193,82,3,3
cremad,cnn,0.1,1032,0.9227642276422764,0.4098701298701299,82,3,3
cremad,cnn,0.1,1033,0.8739837398373984,0.30209963484611374,82,3,3
cremad,cnn,0.1,1034,0.9065040650406505,0.43920852359208523,82,3,3
cremad,cnn,0.1,1035,0.8983739837398375,0.4069668081924751,82,3,3
cremad,cnn,0.1,1036,0.8495934959349594,0.5845188978991795,82,3,3
cremad,cnn,0.1,1037,0.9308943089430893,0.29702741702741703,82,3,3
cremad,cnn,0.1,1038,0.9065040650406505,0.28678624551011,82,3,3
cremad,cnn,0.1,1039,0.9227642276422764,0.47559746189883173,82,3,3
cremad,cnn,0.1,1040,0.9146341463414634,0.36394586894586894,82,3,3
cremad,cnn,0.1,1041,0.9268292682926829,0.3944539256933733,82,3,3
cremad,cnn,0.1,1042,0.8739837398373984,0.4929383452751704,82,3,3
cremad,cnn,0.1,1043,0.9268292682926829,0.3903708903708904,82,3,3
cremad,cnn,0.1,1044,0.9024390243902439,0.35555555555555557,82,3,3
cremad,cnn,0.1,1045,0.9471544715447154,0.3816647487533564,82,3,3
cremad,cnn,0.1,1046,0.9634146341463414,0.5738640169019916,82,3,3
cremad,cnn,0.1,1047,0.9552845528455284,0.24667415917415916,82,3,3
cremad,cnn,0.1,1048,0.9024390243902438,0.3376031112982734,82,3,3
cremad,cnn,0.1,1049,0.9268292682926829,0.33226495726495725,82,3,3
cremad,cnn,0.1,1050,0.9186991869918698,0.384961884961885,82,3,3
cremad,cnn,0.1,1051,0.8983739837398375,0.29400304414003037,82,3,3
cremad,cnn,0.1,1052,0.8658536585365854,0.37134522582283774,82,3,3
cremad,cnn,0.1,1053,0.894308943089431,0.33178554494343965,82,3,3
cremad,cnn,0.1,1054,0.8821138211382115,0.5294064652888183,82,3,3
cremad,cnn,0.1,1055,0.9430894308943089,0.36660552416714975,82,3,3
cremad,cnn,0.1,1056,0.9105691056910569,0.44190582089025376,82,3,3
