level,model,cell,gap_accepted_error,gap_coverage,n_test,n_test_accepted,n_test_accepted_errors,n_val,n_val_accepted,n_val_accepted_errors,r,rule,test_accepted_error,test_coverage,test_review_deviation,val_accepted_error,val_coverage
cremad,cnn,GR,0.032564334379765525,0.006267631290465925,7435,5994,2301,7437,5949,2090,0,primary,0.3838838838838839,0.806186953597848,-0.006186953597847988,0.35131954950411837,0.799919322307382
cremad,cnn,GR,0.0319238521836506,-0.0032765704909357707,7435,2350,547,7437,2375,477,0,secondary,0.2327659574468085,0.3160726294552791,0.48392737054472085,0.2008421052631579,0.31934919994621486
cremad,cnn,GR,0.01920826434137879,0.0004841384961631334,7435,5950,2229,7437,5948,2114,1,primary,0.3746218487394958,0.8002689979825152,-0.00026899798251517337,0.355413584398117,0.799784859486352
cremad,cnn,GR,0.04274841749881997,0.01111742583000952,7435,2529,629,7437,2447,504,1,secondary,0.2487149070778964,0.3401479488903833,0.45985205110961663,0.20596648957907643,0.3290305230603738
cremad,cnn,GR,0.0362369059158536,0.008796158080978889,7435,6012,2331,7438,5949,2091,2,primary,0.38772455089820357,0.8086079354404841,-0.00860793544048416,0.35148764498234997,0.7998117773595053
cremad,cnn,GR,0.042241079324545655,0.014791616072828362,7435,2528,622,7438,2419,493,2,secondary,0.24604430379746836,0.34001344989912574,0.45998655010087425,0.2038032244729227,0.3252218338262974
cremad,cnn,GG,0.007142582448221468,-0.002347066088550509,7435,5929,2272,7677,6140,2309,0,primary,0.38320121437004556,0.7974445191661063,0.0025554808338937307,0.3760586319218241,0.7997915852546568
cremad,cnn,GG,0.02802483630396055,-0.002322310705634434,7435,2033,492,7677,2117,453,0,secondary,0.24200688637481554,0.2734364492266308,0.5265635507733692,0.213982050070855,0.27575875993226523
cremad,cnn,GG,-0.00045575512140477725,-0.007562221553270576,7435,5891,2276,7676,6140,2375,1,primary,0.3863520624681718,0.7923335574983188,0.007666442501681192,0.38680781758957655,0.7998957790515894
cremad,cnn,GG,-0.0002654045446338904,-0.00299587917238614,7435,1882,414,7676,1966,433,1,secondary,0.2199787460148778,0.2531271015467384,0.5468728984532616,0.2202441505595117,0.25612298071912454
cremad,cnn,GG,-0.0006215492648459775,0.012473447991202313,7435,6039,2382,7691,6151,2430,2,primary,0.3944361649279682,0.8122394082044385,-0.012239408204438529,0.39505771419281416,0.7997659602132362
cremad,cnn,GG,0.0073177293516276665,0.005084065367104318,7435,2065,474,7691,2097,466,2,secondary,0.22953995157384988,0.2777404169468729,0.5222595830531271,0.2222222222222222,0.2726563515797686
cremad,ridge_hubert_base,GR,0.02838345047119631,0.007881619185556743,7435,6006,1596,7437,5949,1412,0,primary,0.26573426573426573,0.8078009414929388,-0.0078009414929388066,0.23735081526306942,0.799919322307382
cremad,ridge_hubert_base,GR,0.023030175492296717,0.002292034981312141,7435,3888,687,7437,3872,595,0,secondary,0.17669753086419754,0.5229320780094149,0.2770679219905851,0.15366735537190082,0.5206400430281027
cremad,ridge_hubert_base,GR,0.017901008040089816,0.024424958940009733,7435,6128,1652,7437,5948,1497,1,primary,0.2695822454308094,0.8242098184263618,-0.024209818426361773,0.25168123739071957,0.799784859486352
cremad,ridge_hubert_base,GR,0.021355294360243304,0.021114225669124354,7435,3816,681,7437,3660,575,1,secondary,0.17845911949685533,0.5132481506388702,0.2867518493611298,0.15710382513661203,0.49213392496974584
cremad,ridge_hubert_base,GR,0.024240054630061347,0.016731598565175254,7435,6071,1632,7438,5949,1455,2,primary,0.2688189754570911,0.8165433759246805,-0.016543375924680526,0.24457892082702976,0.7998117773595053
cremad,ridge_hubert_base,GR,0.03445996745055427,0.02388512578223423,7435,4108,782,7438,3932,613,2,secondary,0.19036027263875366,0.5525218560860794,0.2474781439139206,0.1559003051881994,0.5286367303038452
cremad,ridge_hubert_base,GG,0.007414097029401212,0.0022258996142067167,7435,5963,1601,7677,6140,1603,0,primary,0.26848901559617644,0.8020174848688635,-0.002017484868863495,0.2610749185667752,0.7997915852546568
cremad,ridge_hubert_base,GG,0.004166439108911263,1.4383700901676733e-05,7435,3598,599,7677,3715,603,0,secondary,0.16648137854363534,0.4839273705447209,0.3160726294552791,0.16231493943472408,0.4839129868438192
cremad,ridge_hubert_base,GG,-0.004911861972825893,-0.007293223570755458,7435,5893,1547,7676,6140,1642,1,primary,0.26251484812489395,0.7926025554808339,0.007397444519166074,0.26742671009771984,0.7998957790515894
cremad,ridge_hubert_base,GG,-0.0024777882059584533,-0.006066069212662284,7435,3623,588,7676,3787,624,1,secondary,0.16229643941484959,0.48728984532616004,0.31271015467383995,0.16477422762080804,0.4933559145388223
cremad,ridge_hubert_base,GG,0.020197210822434364,0.005345001454551301,7435,5986,1641,7691,6151,1562,2,primary,0.2741396592048112,0.8051109616677875,-0.005110961667787517,0.25394244838237684,0.7997659602132362
cremad,ridge_hubert_base,GG,0.018173639251222423,0.005364290544052852,7435,3754,675,7691,3842,621,2,secondary,0.17980820458177943,0.5049092131809011,0.2950907868190989,0.161634565330557,0.49954492263684824
cremad,ridge_wav2vec2_base,GR,0.01728076629492764,0.012320085897056465,7435,6039,1892,7437,5949,1761,0,primary,0.3132969034608379,0.8122394082044385,-0.012239408204438529,0.29601613716591024,0.799919322307382
cremad,ridge_wav2vec2_base,GR,0.03311368523728439,0.023391231920876887,7435,3571,753,7437,3398,604,0,secondary,0.21086530383646038,0.48029589778076665,0.31970410221923334,0.177751618599176,0.45690466585988976
cremad,ridge_wav2vec2_base,GR,0.02595597543519501,0.01353054064814696,7435,6047,1931,7437,5948,1745,1,primary,0.3193319001157599,0.813315400134499,-0.013315400134499,0.2933759246805649,0.799784859486352
cremad,ridge_wav2vec2_base,GR,0.0374848508182008,0.024327697198046172,7435,3439,742,7437,3259,581,1,secondary,0.2157603954637976,0.462542030934768,0.337457969065232,0.1782755446455968,0.4382143337367218
cremad,ridge_wav2vec2_base,GR,0.03893318558321385,0.021842560232962827,7435,6109,1962,7438,5949,1679,2,primary,0.32116549353413,0.8216543375924681,-0.021654337592468098,0.28223230795091614,0.7998117773595053
cremad,ridge_wav2vec2_base,GR,0.0574287403935905,0.035830364910337975,7435,3733,857,7438,3468,597,2,secondary,0.22957406911331368,0.5020847343644923,0.2979152656355077,0.17214532871972318,0.4662543694541543
cremad,ridge_wav2vec2_base,GG,-0.007186809610361666,-0.005575041878732034,7435,5905,1806,7677,6140,1922,0,primary,0.3058425063505504,0.7942165433759247,0.005783456624075256,0.31302931596091205,0.7997915852546568
cremad,ridge_wav2vec2_base,GG,-0.004399300914583931,0.006940827714535913,7435,2866,517,7677,2906,537,0,secondary,0.18039078855547802,0.38547410894418294,0.4145258910558171,0.18479008947006195,0.378533281229647
cremad,ridge_wav2vec2_base,GG,0.01570307453373465,-0.0029892558505133504,7435,5925,1913,7676,6140,1886,1,primary,0.32286919831223626,0.796906523201076,0.0030934767989239664,0.3071661237785016,0.7998957790515894
cremad,ridge_wav2vec2_base,GG,-0.0072196557336298706,-0.007912451599812576,7435,2723,480,7676,2872,527,1,secondary,0.17627616599338963,0.36624075319435107,0.433759246805649,0.1834958217270195,0.37415320479416364
cremad,ridge_wav2vec2_base,GG,0.0013020715650981507,0.0034620155769453653,7435,5972,1902,7691,6151,1951,2,primary,0.31848626925653045,0.8032279757901816,-0.003227975790181581,0.3171841976914323,0.7997659602132362
