comparison,id,level,model,n,n_dropped,n_population,n_undefined_bootstrap,quantity,rule,unit,estimate_pp,ci95_low_pp,ci95_high_pp
GR-GG,B2:cremad:cnn:GR-GG:coverage_secondary,cremad,cnn,91,0,91,0,coverage_secondary,secondary,percentage_points,6.404139793813164,5.510541956729199,7.322896818430621
GR-GG,B2:cremad:cnn:GR-GG:accepted_error_secondary,cremad,cnn,91,0,91,0,accepted_error_secondary,secondary,percentage_points,1.3305163168708714,0.3050811348269608,2.418027672624109
GR-GG,B2:cremad:cnn:GR-GG:gap_accepted_error_secondary,cremad,cnn,91,0,91,0,gap_accepted_error_secondary,secondary,percentage_points,2.9235711508351048,1.877981958457408,4.017924218115494
GR-GG,B2:cremad:ridge_hubert_base:GR-GG:coverage_secondary,cremad,ridge_hubert_base,91,0,91,0,coverage_secondary,secondary,percentage_points,3.7568062705346983,2.828960299435268,4.666315328760953
GR-GG,B2:cremad:ridge_hubert_base:GR-GG:accepted_error_secondary,cremad,ridge_hubert_base,91,0,91,0,accepted_error_secondary,secondary,percentage_points,1.5913524077763346,0.9876557852768222,2.213681495740658
GR-GG,B2:cremad:ridge_hubert_base:GR-GG:gap_accepted_error_secondary,cremad,ridge_hubert_base,91,0,91,0,gap_accepted_error_secondary,secondary,percentage_points,2.3650324710527326,1.732236730410806,3.0108364493484228
GR-GG,B2:cremad:ridge_wav2vec2_base:GR-GG:coverage_secondary,cremad,ridge_wav2vec2_base,91,0,91,0,coverage_secondary,secondary,percentage_points,10.525580129416955,9.33180871995324,11.775677273479834
GR-GG,B2:cremad:ridge_wav2vec2_base:GR-GG:accepted_error_secondary,cremad,ridge_wav2vec2_base,91,0,91,0,accepted_error_secondary,secondary,percentage_points,3.9142749306978724,2.9843014882479277,4.8671984450505645
GR-GG,B2:cremad:ridge_wav2vec2_base:GR-GG:gap_accepted_error_secondary,cremad,ridge_wav2vec2_base,91,0,91,0,gap_accepted_error_secondary,secondary,percentage_points,4.8584755825683725,3.889290962551981,5.847611324123469
GR-GG,B2:cremad:ridge_wavlm_base_plus:GR-GG:coverage_secondary,cremad,ridge_wavlm_base_plus,91,0,91,0,coverage_secondary,secondary,percentage_points,3.4789287889772846,2.692448805084307,4.289111222149483
GR-GG,B2:cremad:ridge_wavlm_base_plus:GR-GG:accepted_error_secondary,cremad,ridge_wavlm_base_plus,91,0,91,0,accepted_error_secondary,secondary,percentage_points,1.5427774423090075,0.8830815154841598,2.196021715602618
GR-GG,B2:cremad:ridge_wavlm_base_plus:GR-GG:gap_accepted_error_secondary,cremad,ridge_wavlm_base_plus,91,0,91,0,gap_accepted_error_secondary,secondary,percentage_points,2.0377534624417524,1.3427632809591092,2.7157351418650637
GR-GG,B2:cremad:wavlm_ft:GR-GG:coverage_secondary,cremad,wavlm_ft,91,0,91,0,coverage_secondary,secondary,percentage_points,6.326917112111808,4.675306434559752,7.938904718496611
GR-GG,B2:cremad:wavlm_ft:GR-GG:accepted_error_secondary,cremad,wavlm_ft,91,0,91,0,accepted_error_secondary,secondary,percentage_points,-0.5563570831318473,-2.465884597723755,1.293858224580635
GR-GG,B2:cremad:wavlm_ft:GR-GG:gap_accepted_error_secondary,cremad,wavlm_ft,91,0,91,0,gap_accepted_error_secondary,secondary,percentage_points,1.5204139786154207,-0.3489090279687343,3.3492744565529544
GR-GG,B2:ravdess:cnn:GR-GG:coverage_secondary,ravdess,cnn,24,0,24,0,coverage_secondary,secondary,percentage_points,11.6454802259887,7.8491348870056505,15.326035781544256
GR-GG,B2:ravdess:cnn:GR-GG:accepted_error_secondary,ravdess,cnn,22,2,24,0,accepted_error_secondary,secondary,percentage_points,1.3144420696345376,-4.301973807858256,6.902432703078931
GR-GG,B2:ravdess:cnn:GR-GG:gap_accepted_error_secondary,ravdess,cnn,22,2,24,0,gap_accepted_error_secondary,secondary,percentage_points,7.726920915011921,2.112030091989317,13.30734993779696
