module,original_scale,N,comparison,condition,endpoint,estimate,estimator,id,level,model,n,primary,reference_condition,reference_estimator,ci95_low,ci95_high,interpretation,target_class,threshold_points,available,ci95,reason,b,n_reps,n_undefined_bootstrap,quantity,n_dropped,n_population,rule,interval,n_repeats
A,UAR percentage points; harm endpoints are proportions,3,balanced@3[naive]-none,balanced@3,1,-39.22893772893772,naive,ep1:cremad:hubert_base:balanced@3[naive]-none,cremad,hubert_base,91,True,none,none,-41.31871184371184,-37.08974358974359,,,,,,,,,,,,,,,
A,UAR percentage points; harm endpoints are proportions,5,balanced@5[naive]-none,balanced@5,1,-22.41819291819292,naive,ep1:cremad:hubert_base:balanced@5[naive]-none,cremad,hubert_base,91,False,none,none,-24.02999084249084,-20.75028998778999,,,,,,,,,,,,,,,
A,UAR percentage points; harm endpoints are proportions,10,balanced@10[naive]-none,balanced@10,1,-7.064713064713065,naive,ep1:cremad:hubert_base:balanced@10[naive]-none,cremad,hubert_base,91,False,none,none,-8.326022588522589,-5.731959706959706,,,,,,,,,,,,,,,
A,UAR percentage points; harm endpoints are proportions,20,balanced@20[naive]-none,balanced@20,1,-0.1770451770451773,naive,ep1:cremad:hubert_base:balanced@20[naive]-none,cremad,hubert_base,91,False,none,none,-1.3846459096459105,1.0928113553113565,,,,,,,,,,,,,,,
A,UAR percentage points; harm endpoints are proportions,3,mean_e(single:e@3)[naive]-none,single:*@3,2,-40.65181115181116,naive,ep2:cremad:hubert_base:mean_e(single:e@3)[naive]-none,cremad,hubert_base,91,True,none,none,-42.7769943019943,-38.44828551078552,,,,,,,,,,,,,,,
A,UAR percentage points; harm endpoints are proportions,5,mean_e(single:e@5)[naive]-none,single:*@5,2,-26.310541310541314,naive,ep2:cremad:hubert_base:mean_e(single:e@5)[naive]-none,cremad,hubert_base,91,False,none,none,-27.979268416768413,-24.581774013024017,,,,,,,,,,,,,,,
A,UAR percentage points; harm endpoints are proportions,3,mean_e(single:e@3)[naive]-balanced@3[naive],single:*@3,3,-1.422873422873423,naive,ep3:cremad:hubert_base:mean_e(single:e@3)[naive]-balanced@3[naive],cremad,hubert_base,91,True,balanced@3,naive,-2.029309116809117,-0.8324938949938948,,,,,,,,,,,,,,,
A,UAR percentage points; harm endpoints are proportions,5,mean_e(single:e@5)[naive]-balanced@5[naive],single:*@5,3,-3.892348392348393,naive,ep3:cremad:hubert_base:mean_e(single:e@5)[naive]-balanced@5[naive],cremad,hubert_base,91,False,balanced@5,naive,-4.611111111111112,-3.1911782661782664,,,,,,,,,,,,,,,
A,UAR percentage points; harm endpoints are proportions,3,mean_e_in_balanced_classes(single:e@3)[naive]-balanced@3[naive],single:balanced_classes@3,3,-1.7283272283272288,naive,ep3:cremad:hubert_base:mean_e_in_balanced_classes(single:e@3)[naive]-balanced@3[naive],cremad,hubert_base,91,False,balanced@3,naive,-2.3113603988604,-1.151404151404152,secondary matched class mixture across the fixed balanced subset,,,,,,,,,,,,,,
A,UAR percentage points; harm endpoints are proportions,3,recall[angry](single:angry@3[naive])-recall[angry](none),single:angry@3,4,-63.92307692307692,naive,ep4:cremad:hubert_base:recall[angry](single:angry@3[naive])-recall[angry](none),cremad,hubert_base,91,False,none,none,-68.36263736263736,-58.999908424908426,,angry,,,,,,,,,,,,,
