draw,fold,direction,rule,report_half,config_index,exposure_pp,exposure_fraction,reuse_pp,reuse_fraction
0,0,A_to_B,seen,B,2,1.3888888888888888,25/18,-2.0833333333333335,-25/12
0,0,A_to_B,unseen,B,2,1.3888888888888888,25/18,-2.7777777777777777,-25/9
0,0,B_to_A,seen,A,2,2.0833333333333335,25/12,2.0833333333333335,25/12
0,0,B_to_A,unseen,A,1,-6.944444444444445,-125/18,10.416666666666666,125/12
0,1,A_to_B,seen,B,3,6.944444444444445,125/18,6.25,25/4
0,1,A_to_B,unseen,B,2,4.166666666666667,25/6,-1.3888888888888888,-25/18
0,1,B_to_A,seen,A,3,14.583333333333334,175/12,-6.25,-25/4
0,1,B_to_A,unseen,A,2,10.416666666666666,125/12,1.3888888888888888,25/18
0,2,A_to_B,seen,B,1,-7.638888888888889,-275/36,9.722222222222221,175/18
0,2,A_to_B,unseen,B,3,-7.638888888888889,-275/36,-1.3888888888888888,-25/18
0,2,B_to_A,seen,A,2,2.0833333333333335,25/12,-4.166666666666667,-25/6
0,2,B_to_A,unseen,A,2,2.0833333333333335,25/12,4.861111111111111,175/36
0,3,A_to_B,seen,B,2,-2.0833333333333335,-25/12,4.166666666666667,25/6
0,3,A_to_B,unseen,B,3,0.0,0,-2.0833333333333335,-25/12
0,3,B_to_A,seen,A,2,10.416666666666666,125/12,-4.166666666666667,-25/6
0,3,B_to_A,unseen,A,2,10.416666666666666,125/12,8.333333333333334,25/3
0,4,A_to_B,seen,B,2,3.4722222222222223,125/36,-5.555555555555555,-50/9
0,4,A_to_B,unseen,B,2,3.4722222222222223,125/36,-1.3888888888888888,-25/18
0,4,B_to_A,seen,A,2,-0.6944444444444444,-25/36,5.555555555555555,50/9
0,4,B_to_A,unseen,A,2,-0.6944444444444444,-25/36,1.3888888888888888,25/18
1,0,A_to_B,seen,B,0,0.0,0,4.861111111111111,175/36
1,0,A_to_B,unseen,B,0,0.0,0,-4.861111111111111,-175/36
1,0,B_to_A,seen,A,3,12.5,25/2,-0.6944444444444444,-25/36
1,0,B_to_A,unseen,A,2,9.027777777777779,325/36,6.944444444444445,125/18
1,1,A_to_B,seen,B,3,15.277777777777779,275/18,-6.25,-25/4
1,1,A_to_B,unseen,B,2,9.722222222222221,175/18,6.25,25/4
1,1,B_to_A,seen,A,0,4.861111111111111,175/36,11.805555555555555,425/36
1,1,B_to_A,unseen,A,3,5.555555555555555,50/9,-3.4722222222222223,-125/36
1,2,A_to_B,seen,B,2,9.027777777777779,325/36,-0.6944444444444444,-25/36
1,2,A_to_B,unseen,B,3,11.11111111111111,100/9,2.0833333333333335,25/12
