method,fold,rotation,draw,policy,n_test_people_expected,n_test_people_used,nn1_mean,nn1_max,nn3_mean
matched_eight_train_prompts_complete,0,0,0,C,19,19,0.591602987862826,0.7472867940532555,0.6630567584075259
actual_test_query_neutral_available,0,0,0,C,19,19,0.6424261936288884,0.8393910717276843,0.7009841733107054
matched_eight_train_prompts_complete,0,0,0,R,19,19,0.5868790946686235,0.7155322304649521,0.649922368764524
actual_test_query_neutral_available,0,0,0,R,19,19,0.6382081577689478,0.7869771781116566,0.6905206018554069
matched_eight_train_prompts_complete,0,0,0,U,19,19,0.6164288435455325,0.8009925058589289,0.6649334786849682
actual_test_query_neutral_available,0,0,0,U,19,19,0.6388793841629117,0.771754102341925,0.6862423638749142
matched_eight_train_prompts_complete,0,0,1,C,19,19,0.591602987862826,0.7472867940532555,0.6630567584075259
actual_test_query_neutral_available,0,0,1,C,19,19,0.6424261936288884,0.8393910717276843,0.7009841733107054
matched_eight_train_prompts_complete,0,0,1,R,19,19,0.5868790946686235,0.7155322304649521,0.649922368764524
actual_test_query_neutral_available,0,0,1,R,19,19,0.6382081577689478,0.7869771781116566,0.6905206018554069
matched_eight_train_prompts_complete,0,0,1,U,19,19,0.5809176012917143,0.7649278246319777,0.6321595330091104
actual_test_query_neutral_available,0,0,1,U,19,19,0.6123779517587608,0.7788685016718123,0.665571850195656
matched_eight_train_prompts_complete,0,0,2,C,19,19,0.591602987862826,0.7472867940532555,0.6630567584075259
actual_test_query_neutral_available,0,0,2,C,19,19,0.6424261936288884,0.8393910717276843,0.7009841733107054
matched_eight_train_prompts_complete,0,0,2,R,19,19,0.5868790946686235,0.7155322304649521,0.649922368764524
actual_test_query_neutral_available,0,0,2,R,19,19,0.6382081577689478,0.7869771781116566,0.6905206018554069
matched_eight_train_prompts_complete,0,0,2,U,19,19,0.5933234156449922,0.743699082526319,0.6541598516002572
actual_test_query_neutral_available,0,0,2,U,19,19,0.6572466617623626,0.857176127366391,0.6971664447608923
matched_eight_train_prompts_complete,0,1,0,C,19,18,0.5976382789492621,0.7476725082346469,0.6568958685219699
actual_test_query_neutral_available,0,1,0,C,19,19,0.6496730420302019,0.7832903754676404,0.7080471787261865
matched_eight_train_prompts_complete,0,1,0,R,19,18,0.5590757226491821,0.6985506687693843,0.6355716075586364
actual_test_query_neutral_available,0,1,0,R,19,19,0.6238074643238768,0.8203202836755759,0.6918349930528217
matched_eight_train_prompts_complete,0,1,0,U,19,18,0.567133819700973,0.7599518649317193,0.6388844368769249
actual_test_query_neutral_available,0,1,0,U,19,19,0.6218036772835333,0.7557380966478574,0.697172837602074
matched_eight_train_prompts_complete,0,1,1,C,19,18,0.5976382789492621,0.7476725082346469,0.6568958685219699
actual_test_query_neutral_available,0,1,1,C,19,19,0.6496730420302019,0.7832903754676404,0.7080471787261865
matched_eight_train_prompts_complete,0,1,1,R,19,18,0.5590757226491821,0.6985506687693843,0.6355716075586364
actual_test_query_neutral_available,0,1,1,R,19,19,0.6238074643238768,0.8203202836755759,0.6918349930528217
matched_eight_train_prompts_complete,0,1,1,U,19,18,0.5677703209354243,0.7398579524162191,0.634552551296217
actual_test_query_neutral_available,0,1,1,U,19,19,0.6412144755951386,0.7462030051007008,0.6990263980131338
matched_eight_train_prompts_complete,0,1,2,C,19,18,0.5976382789492621,0.7476725082346469,0.6568958685219699
actual_test_query_neutral_available,0,1,2,C,19,19,0.6496730420302019,0.7832903754676404,0.7080471787261865
matched_eight_train_prompts_complete,0,1,2,R,19,18,0.5590757226491821,0.6985506687693843,0.6355716075586364
actual_test_query_neutral_available,0,1,2,R,19,19,0.6238074643238768,0.8203202836755759,0.6918349930528217
matched_eight_train_prompts_complete,0,1,2,U,19,18,0.5489884008656163,0.642839973003176,0.6197268491422655
actual_test_query_neutral_available,0,1,2,U,19,19,0.6205296421112007,0.7162152065679431,0.6820889236683377
matched_eight_train_prompts_complete,0,2,0,C,19,18,0.5905533406540739,0.7603170947622895,0.6556519625977921
actual_test_query_neutral_available,0,2,0,C,19,19,0.635347503753775,0.7992746651806337,0.7015057776157515
matched_eight_train_prompts_complete,0,2,0,R,19,18,0.5656067084113652,0.6977610128860036,0.6371088365635637
actual_test_query_neutral_available,0,2,0,R,19,19,0.6173821123030292,0.7992746651806337,0.6817711148303387
matched_eight_train_prompts_complete,0,2,0,U,19,18,0.5436694514305797,0.7281536870438245,0.6249476856777108
actual_test_query_neutral_available,0,2,0,U,19,19,0.5986106456940343,0.7269934041130448,0.6732939270561416
matched_eight_train_prompts_complete,0,2,1,C,19,18,0.5905533406540739,0.7603170947622895,0.6556519625977921
actual_test_query_neutral_available,0,2,1,C,19,19,0.635347503753775,0.7992746651806337,0.7015057776157515
matched_eight_train_prompts_complete,0,2,1,R,19,18,0.5656067084113652,0.6977610128860036,0.6371088365635637
actual_test_query_neutral_available,0,2,1,R,19,19,0.6173821123030292,0.7992746651806337,0.6817711148303387
matched_eight_train_prompts_complete,0,2,1,U,19,18,0.5677928219586276,0.70839198020219,0.6303639951853857
actual_test_query_neutral_available,0,2,1,U,19,19,0.6217137590014855,0.7269934041130448,0.6804275109139525
matched_eight_train_prompts_complete,0,2,2,C,19,18,0.5905533406540739,0.7603170947622895,0.6556519625977921
actual_test_query_neutral_available,0,2,2,C,19,19,0.635347503753775,0.7992746651806337,0.7015057776157515
matched_eight_train_prompts_complete,0,2,2,R,19,18,0.5656067084113652,0.6977610128860036,0.6371088365635637
actual_test_query_neutral_available,0,2,2,R,19,19,0.6173821123030292,0.7992746651806337,0.6817711148303387
matched_eight_train_prompts_complete,0,2,2,U,19,18,0.5853365805676072,0.7719255854186584,0.6599159146502979
actual_test_query_neutral_available,0,2,2,U,19,19,0.635552620004723,0.828742046103113,0.6908615134960127
matched_eight_train_prompts_complete,0,3,0,C,19,19,0.5708373348724498,0.7235474589480416,0.6424496807293533
actual_test_query_neutral_available,0,3,0,C,19,19,0.6553964179961226,0.7608405908416209,0.7102522136187346
matched_eight_train_prompts_complete,0,3,0,R,19,19,0.5628464475721862,0.7644079794412391,0.6364145713494553
actual_test_query_neutral_available,0,3,0,R,19,19,0.6520782956201733,0.800641477825468,0.7094060314228724
matched_eight_train_prompts_complete,0,3,0,U,19,19,0.5750427478590933,0.7644079794412391,0.6319539310205492
actual_test_query_neutral_available,0,3,0,U,19,19,0.6689292679748604,0.8275445731940112,0.7106813235427575
matched_eight_train_prompts_complete,0,3,1,C,19,19,0.5708373348724498,0.7235474589480416,0.6424496807293533
actual_test_query_neutral_available,0,3,1,C,19,19,0.6553964179961226,0.7608405908416209,0.7102522136187346
matched_eight_train_prompts_complete,0,3,1,R,19,19,0.5628464475721862,0.7644079794412391,0.6364145713494553
actual_test_query_neutral_available,0,3,1,R,19,19,0.6520782956201733,0.800641477825468,0.7094060314228724
matched_eight_train_prompts_complete,0,3,1,U,19,19,0.5993543695502104,0.7359164412455892,0.6600270478927069
actual_test_query_neutral_available,0,3,1,U,19,19,0.6648748704927324,0.8065096876507596,0.717026330970808
matched_eight_train_prompts_complete,0,3,2,C,19,19,0.5708373348724498,0.7235474589480416,0.6424496807293533
actual_test_query_neutral_available,0,3,2,C,19,19,0.6553964179961226,0.7608405908416209,0.7102522136187346
matched_eight_train_prompts_complete,0,3,2,R,19,19,0.5628464475721862,0.7644079794412391,0.6364145713494553
actual_test_query_neutral_available,0,3,2,R,19,19,0.6520782956201733,0.800641477825468,0.7094060314228724
matched_eight_train_prompts_complete,0,3,2,U,19,19,0.5690020472745395,0.6977156489759916,0.641284180112011
actual_test_query_neutral_available,0,3,2,U,19,19,0.6700934961737501,0.800641477825468,0.7147631857313539
matched_eight_train_prompts_complete,0,4,0,C,19,19,0.6005052648419958,0.730228785508527,0.6666558745613882
actual_test_query_neutral_available,0,4,0,C,19,19,0.6744182873699139,0.8398555514777428,0.7279397326915401
matched_eight_train_prompts_complete,0,4,0,R,19,19,0.5497791223940208,0.7285816701227688,0.6294498111911087
actual_test_query_neutral_available,0,4,0,R,19,19,0.6372137528649819,0.7683534576858864,0.6963997620644227
matched_eight_train_prompts_complete,0,4,0,U,19,19,0.5780298247064072,0.737792853114876,0.6335342758527182
actual_test_query_neutral_available,0,4,0,U,19,19,0.6574052577537378,0.7883574563721658,0.7032628955747056
matched_eight_train_prompts_complete,0,4,1,C,19,19,0.6005052648419958,0.730228785508527,0.6666558745613882
actual_test_query_neutral_available,0,4,1,C,19,19,0.6744182873699139,0.8398555514777428,0.7279397326915401
matched_eight_train_prompts_complete,0,4,1,R,19,19,0.5497791223940208,0.7285816701227688,0.6294498111911087
actual_test_query_neutral_available,0,4,1,R,19,19,0.6372137528649819,0.7683534576858864,0.6963997620644227
matched_eight_train_prompts_complete,0,4,1,U,19,19,0.5704441694200667,0.7431009042420511,0.6350547300272547
actual_test_query_neutral_available,0,4,1,U,19,19,0.6317136838798114,0.7899639412269481,0.6927365440810508
matched_eight_train_prompts_complete,0,4,2,C,19,19,0.6005052648419958,0.730228785508527,0.6666558745613882
actual_test_query_neutral_available,0,4,2,C,19,19,0.6744182873699139,0.8398555514777428,0.7279397326915401
matched_eight_train_prompts_complete,0,4,2,R,19,19,0.5497791223940208,0.7285816701227688,0.6294498111911087
actual_test_query_neutral_available,0,4,2,R,19,19,0.6372137528649819,0.7683534576858864,0.6963997620644227
matched_eight_train_prompts_complete,0,4,2,U,19,19,0.5574469632285262,0.7431009042420511,0.628518293118751
actual_test_query_neutral_available,0,4,2,U,19,19,0.6166862328781381,0.728113366271719,0.6826712921843814
