method,fold,rotation,draw,policy,test_speaker,test_reference_count,train_reference_count_per_speaker,nn1,nn3_mean,third_nearest,nearest_speaker,nearest3_speakers,test_reference_paths
matched_eight_train_prompts_complete,0,0,0,C,1010,8,8,0.5681452896512383,0.5960157834403031,0.6108128801110639,1029,1029|1075|1058,1010_DFA_NEU_XX.wav|1010_IOM_NEU_XX.wav|1010_ITS_NEU_XX.wav|1010_IWL_NEU_XX.wav|1010_IWW_NEU_XX.wav|1010_TAI_NEU_XX.wav|1010_TIE_NEU_XX.wav|1010_WSI_NEU_XX.wav
matched_eight_train_prompts_complete,0,0,0,C,1011,8,8,0.5766323789252328,0.6134830697775954,0.6597058096420858,1071,1071|1027|1014,1011_DFA_NEU_XX.wav|1011_IOM_NEU_XX.wav|1011_ITS_NEU_XX.wav|1011_IWL_NEU_XX.wav|1011_IWW_NEU_XX.wav|1011_TAI_NEU_XX.wav|1011_TIE_NEU_XX.wav|1011_WSI_NEU_XX.wav
matched_eight_train_prompts_complete,0,0,0,C,1013,8,8,0.6386499339232462,0.6604704596905727,0.7020746242335201,1055,1055|1029|1056,1013_DFA_NEU_XX.wav|1013_IOM_NEU_XX.wav|1013_ITS_NEU_XX.wav|1013_IWL_NEU_XX.wav|1013_IWW_NEU_XX.wav|1013_TAI_NEU_XX.wav|1013_TIE_NEU_XX.wav|1013_WSI_NEU_XX.wav
matched_eight_train_prompts_complete,0,0,0,C,1019,8,8,0.4321504371793766,0.5941363908120668,0.7014122564540124,1023,1023|1071|1062,1019_DFA_NEU_XX.wav|1019_IOM_NEU_XX.wav|1019_ITS_NEU_XX.wav|1019_IWL_NEU_XX.wav|1019_IWW_NEU_XX.wav|1019_TAI_NEU_XX.wav|1019_TIE_NEU_XX.wav|1019_WSI_NEU_XX.wav
matched_eight_train_prompts_complete,0,0,0,C,1020,8,8,0.5191171584761191,0.5920914214008336,0.6760564399553616,1037,1037|1024|1058,1020_DFA_NEU_XX.wav|1020_IOM_NEU_XX.wav|1020_ITS_NEU_XX.wav|1020_IWL_NEU_XX.wav|1020_IWW_NEU_XX.wav|1020_TAI_NEU_XX.wav|1020_TIE_NEU_XX.wav|1020_WSI_NEU_XX.wav
matched_eight_train_prompts_complete,0,0,0,C,1025,8,8,0.576864693140067,0.6332541906906275,0.6823286487793776,1058,1058|1024|1056,1025_DFA_NEU_XX.wav|1025_IOM_NEU_XX.wav|1025_ITS_NEU_XX.wav|1025_IWL_NEU_XX.wav|1025_IWW_NEU_XX.wav|1025_TAI_NEU_XX.wav|1025_TIE_NEU_XX.wav|1025_WSI_NEU_XX.wav
matched_eight_train_prompts_complete,0,0,0,C,1030,8,8,0.5576609267025727,0.6382351472991136,0.7546648777069009,1056,1056|1029|1014,1030_DFA_NEU_XX.wav|1030_IOM_NEU_XX.wav|1030_ITS_NEU_XX.wav|1030_IWL_NEU_XX.wav|1030_IWW_NEU_XX.wav|1030_TAI_NEU_XX.wav|1030_TIE_NEU_XX.wav|1030_WSI_NEU_XX.wav
matched_eight_train_prompts_complete,0,0,0,C,1032,8,8,0.7288044302351009,0.7420172908448267,0.7641821743655302,1073,1073|1023|1083,1032_DFA_NEU_XX.wav|1032_IOM_NEU_XX.wav|1032_ITS_NEU_XX.wav|1032_IWL_NEU_XX.wav|1032_IWW_NEU_XX.wav|1032_TAI_NEU_XX.wav|1032_TIE_NEU_XX.wav|1032_WSI_NEU_XX.wav
matched_eight_train_prompts_complete,0,0,0,C,1034,8,8,0.6113654350502457,0.7377993776879386,0.8193453596702143,1035,1035|1039|1027,1034_DFA_NEU_XX.wav|1034_IOM_NEU_XX.wav|1034_ITS_NEU_XX.wav|1034_IWL_NEU_XX.wav|1034_IWW_NEU_XX.wav|1034_TAI_NEU_XX.wav|1034_TIE_NEU_XX.wav|1034_WSI_NEU_XX.wav
matched_eight_train_prompts_complete,0,0,0,C,1038,8,8,0.65649301353227,0.6977651133881971,0.7667808328156025,1023,1023|1014|1062,1038_DFA_NEU_XX.wav|1038_IOM_NEU_XX.wav|1038_ITS_NEU_XX.wav|1038_IWL_NEU_XX.wav|1038_IWW_NEU_XX.wav|1038_TAI_NEU_XX.wav|1038_TIE_NEU_XX.wav|1038_WSI_NEU_XX.wav
