fold,rotation,draw,policy,encoder,pool_scope,n_evaluation_people,n_candidate_people,n_selected_people,nn1_mean,nn1_max,nn3_mean,selected_global_loso_distance_mean,pool_global_loso_distance_mean,selected_outlier_mean_percentile
0,0,0,C,ecapa,including_selected,60,60,24,0.35410855696376226,0.7165516463383919,0.5952424549743507,0.8607054634895964,0.8382000548002274,0.6923611111111111
0,0,0,C,ecapa,excluding_selected,36,60,24,0.5901809282729371,0.7165516463383919,0.6576329031018922,0.8607054634895964,0.8382000548002274,0.6923611111111111
0,0,0,R,ecapa,including_selected,60,60,24,0.3209140278410591,0.6891136042418198,0.55954729455593,0.844197890561898,0.8382000548002274,0.5472222222222222
0,0,0,R,ecapa,excluding_selected,36,60,24,0.5348567130684319,0.6891136042418198,0.6257541545479894,0.844197890561898,0.8382000548002274,0.5472222222222222
0,0,0,U,ecapa,including_selected,60,60,24,0.35821386268521904,0.790334567218776,0.5612224157423983,0.8347871367660091,0.8382000548002274,0.4923611111111111
0,0,0,U,ecapa,excluding_selected,36,60,24,0.597023104475365,0.790334567218776,0.6558723604472226,0.8347871367660091,0.8382000548002274,0.4923611111111111
0,0,1,C,ecapa,including_selected,60,60,24,0.35410855696376226,0.7165516463383919,0.5952424549743507,0.8607054634895964,0.8382000548002274,0.6923611111111111
0,0,1,C,ecapa,excluding_selected,36,60,24,0.5901809282729371,0.7165516463383919,0.6576329031018922,0.8607054634895964,0.8382000548002274,0.6923611111111111
0,0,1,R,ecapa,including_selected,60,60,24,0.3209140278410591,0.6891136042418198,0.55954729455593,0.844197890561898,0.8382000548002274,0.5472222222222222
0,0,1,R,ecapa,excluding_selected,36,60,24,0.5348567130684319,0.6891136042418198,0.6257541545479894,0.844197890561898,0.8382000548002274,0.5472222222222222
0,0,1,U,ecapa,including_selected,60,60,24,0.3682810800592538,0.8404717039369314,0.5713879525051153,0.8374494770295645,0.8382000548002274,0.5034722222222222
0,0,1,U,ecapa,excluding_selected,36,60,24,0.6138018000987564,0.8404717039369314,0.667838781239629,0.8374494770295645,0.8382000548002274,0.5034722222222222
0,0,2,C,ecapa,including_selected,60,60,24,0.35410855696376226,0.7165516463383919,0.5952424549743507,0.8607054634895964,0.8382000548002274,0.6923611111111111
0,0,2,C,ecapa,excluding_selected,36,60,24,0.5901809282729371,0.7165516463383919,0.6576329031018922,0.8607054634895964,0.8382000548002274,0.6923611111111111
0,0,2,R,ecapa,including_selected,60,60,24,0.3209140278410591,0.6891136042418198,0.55954729455593,0.844197890561898,0.8382000548002274,0.5472222222222222
0,0,2,R,ecapa,excluding_selected,36,60,24,0.5348567130684319,0.6891136042418198,0.6257541545479894,0.844197890561898,0.8382000548002274,0.5472222222222222
0,0,2,U,ecapa,including_selected,60,60,24,0.3572223133906244,0.7856744979795032,0.5717435972835028,0.8476924252363803,0.8382000548002274,0.5826388888888889
0,0,2,U,ecapa,excluding_selected,36,60,24,0.5953705223177073,0.7856744979795032,0.6549743982236713,0.8476924252363803,0.8382000548002274,0.5826388888888889
0,0,0,C,xvector,including_selected,60,60,24,0.010867178975999002,0.025289493893415838,0.019484140337034286,0.05165529226049096,0.050079347304362566,0.5583333333333333
0,0,0,C,xvector,excluding_selected,36,60,24,0.018111964959998336,0.025289493893415838,0.021263225256181763,0.05165529226049096,0.050079347304362566,0.5583333333333333
0,0,0,R,xvector,including_selected,60,60,24,0.010498399276921918,0.027988531736521383,0.018571313601120354,0.050821467653199136,0.050079347304362566,0.5284722222222222
0,0,0,R,xvector,excluding_selected,36,60,24,0.017497332128203195,0.027988531736521383,0.02082807936362518,0.050821467653199136,0.050079347304362566,0.5284722222222222
0,0,0,U,xvector,including_selected,60,60,24,0.011615714324820024,0.028799209708475493,0.018763787236943396,0.0513579678540931,0.050079347304362566,0.5680555555555555
0,0,0,U,xvector,excluding_selected,36,60,24,0.019359523874700038,0.028799209708475493,0.022295802628496838,0.0513579678540931,0.050079347304362566,0.5680555555555555
0,0,1,C,xvector,including_selected,60,60,24,0.010867178975999002,0.025289493893415838,0.019484140337034286,0.05165529226049096,0.050079347304362566,0.5583333333333333
0,0,1,C,xvector,excluding_selected,36,60,24,0.018111964959998336,0.025289493893415838,0.021263225256181763,0.05165529226049096,0.050079347304362566,0.5583333333333333
0,0,1,R,xvector,including_selected,60,60,24,0.010498399276921918,0.027988531736521383,0.018571313601120354,0.050821467653199136,0.050079347304362566,0.5284722222222222
0,0,1,R,xvector,excluding_selected,36,60,24,0.017497332128203195,0.027988531736521383,0.02082807936362518,0.050821467653199136,0.050079347304362566,0.5284722222222222
0,0,1,U,xvector,including_selected,60,60,24,0.012121668822940837,0.03272809412509836,0.019204420716822195,0.04871304331950819,0.050079347304362566,0.43402777777777785
0,0,1,U,xvector,excluding_selected,36,60,24,0.020202781371568064,0.03272809412509836,0.022342147919180343,0.04871304331950819,0.050079347304362566,0.43402777777777785
0,0,2,C,xvector,including_selected,60,60,24,0.010867178975999002,0.025289493893415838,0.019484140337034286,0.05165529226049096,0.050079347304362566,0.5583333333333333
0,0,2,C,xvector,excluding_selected,36,60,24,0.018111964959998336,0.025289493893415838,0.021263225256181763,0.05165529226049096,0.050079347304362566,0.5583333333333333
0,0,2,R,xvector,including_selected,60,60,24,0.010498399276921918,0.027988531736521383,0.018571313601120354,0.050821467653199136,0.050079347304362566,0.5284722222222222
0,0,2,R,xvector,excluding_selected,36,60,24,0.017497332128203195,0.027988531736521383,0.02082807936362518,0.050821467653199136,0.050079347304362566,0.5284722222222222
0,0,2,U,xvector,including_selected,60,60,24,0.011193274714598429,0.031596124463250885,0.018941953777285695,0.05016812367795422,0.050079347304362566,0.5041666666666667
0,0,2,U,xvector,excluding_selected,36,60,24,0.018655457857664048,0.031596124463250885,0.021711759317299052,0.05016812367795422,0.050079347304362566,0.5041666666666667
0,1,0,C,ecapa,including_selected,58,58,24,0.3364028926778387,0.702994192038246,0.5814072281926883,0.8489395102452081,0.8319928900844056,0.6422413793103448
0,1,0,C,ecapa,excluding_selected,34,58,24,0.5738637580974895,0.702994192038246,0.6479487433628167,0.8489395102452081,0.8319928900844056,0.6422413793103448
0,1,0,R,ecapa,including_selected,58,58,24,0.3126843408207955,0.6599800670763816,0.5575350775976701,0.8350235361963363,0.8319928900844056,0.5294540229885057
0,1,0,R,ecapa,excluding_selected,34,58,24,0.5334026990472394,0.6599800670763816,0.6285659762480925,0.8350235361963363,0.8319928900844056,0.5294540229885057
0,1,0,U,ecapa,including_selected,58,58,24,0.3478755984596952,0.7902371031439188,0.5659990395510861,0.8405482474451142,0.8319928900844056,0.5574712643678161
0,1,0,U,ecapa,excluding_selected,34,58,24,0.5934348444312447,0.7902371031439188,0.6507098134717649,0.8405482474451142,0.8319928900844056,0.5574712643678161
0,1,1,C,ecapa,including_selected,58,58,24,0.3364028926778387,0.702994192038246,0.5814072281926883,0.8489395102452081,0.8319928900844056,0.6422413793103448
0,1,1,C,ecapa,excluding_selected,34,58,24,0.5738637580974895,0.702994192038246,0.6479487433628167,0.8489395102452081,0.8319928900844056,0.6422413793103448
0,1,1,R,ecapa,including_selected,58,58,24,0.3126843408207955,0.6599800670763816,0.5575350775976701,0.8350235361963363,0.8319928900844056,0.5294540229885057
0,1,1,R,ecapa,excluding_selected,34,58,24,0.5334026990472394,0.6599800670763816,0.6285659762480925,0.8350235361963363,0.8319928900844056,0.5294540229885057
0,1,1,U,ecapa,including_selected,58,58,24,0.3556343685082559,0.831820946353133,0.5558968797989574,0.8287670687905093,0.8319928900844056,0.4640804597701149
0,1,1,U,ecapa,excluding_selected,34,58,24,0.6066703933376131,0.831820946353133,0.6580611954586381,0.8287670687905093,0.8319928900844056,0.4640804597701149
0,1,2,C,ecapa,including_selected,58,58,24,0.3364028926778387,0.702994192038246,0.5814072281926883,0.8489395102452081,0.8319928900844056,0.6422413793103448
0,1,2,C,ecapa,excluding_selected,34,58,24,0.5738637580974895,0.702994192038246,0.6479487433628167,0.8489395102452081,0.8319928900844056,0.6422413793103448
0,1,2,R,ecapa,including_selected,58,58,24,0.3126843408207955,0.6599800670763816,0.5575350775976701,0.8350235361963363,0.8319928900844056,0.5294540229885057
0,1,2,R,ecapa,excluding_selected,34,58,24,0.5334026990472394,0.6599800670763816,0.6285659762480925,0.8350235361963363,0.8319928900844056,0.5294540229885057
0,1,2,U,ecapa,including_selected,58,58,24,0.34758475486888213,0.7536876176097334,0.5616575781847325,0.8301457975918013,0.8319928900844056,0.507183908045977
