fold,rotation,draw,policy_a,policy_b,n_intersection,intersection_fraction_of_24,jaccard
0,0,0,U,R,6,0.25,0.14285714285714285
0,0,0,U,C,8,0.3333333333333333,0.2
0,0,0,R,C,13,0.5416666666666666,0.37142857142857144
0,0,1,U,R,8,0.3333333333333333,0.2
0,0,1,U,C,8,0.3333333333333333,0.2
0,0,1,R,C,13,0.5416666666666666,0.37142857142857144
0,0,2,U,R,10,0.4166666666666667,0.2631578947368421
0,0,2,U,C,11,0.4583333333333333,0.2972972972972973
0,0,2,R,C,13,0.5416666666666666,0.37142857142857144
0,1,0,U,R,12,0.5,0.3333333333333333
0,1,0,U,C,13,0.5416666666666666,0.37142857142857144
0,1,0,R,C,17,0.7083333333333334,0.5483870967741935
0,1,1,U,R,11,0.4583333333333333,0.2972972972972973
0,1,1,U,C,10,0.4166666666666667,0.2631578947368421
0,1,1,R,C,17,0.7083333333333334,0.5483870967741935
0,1,2,U,R,9,0.375,0.23076923076923078
0,1,2,U,C,10,0.4166666666666667,0.2631578947368421
0,1,2,R,C,17,0.7083333333333334,0.5483870967741935
0,2,0,U,R,11,0.4583333333333333,0.2972972972972973
0,2,0,U,C,11,0.4583333333333333,0.2972972972972973
0,2,0,R,C,7,0.2916666666666667,0.17073170731707318
0,2,1,U,R,10,0.4166666666666667,0.2631578947368421
0,2,1,U,C,10,0.4166666666666667,0.2631578947368421
0,2,1,R,C,7,0.2916666666666667,0.17073170731707318
0,2,2,U,R,8,0.3333333333333333,0.2
0,2,2,U,C,9,0.375,0.23076923076923078
0,2,2,R,C,7,0.2916666666666667,0.17073170731707318
0,3,0,U,R,9,0.375,0.23076923076923078
0,3,0,U,C,7,0.2916666666666667,0.17073170731707318
0,3,0,R,C,9,0.375,0.23076923076923078
0,3,1,U,R,9,0.375,0.23076923076923078
0,3,1,U,C,12,0.5,0.3333333333333333
0,3,1,R,C,9,0.375,0.23076923076923078
0,3,2,U,R,12,0.5,0.3333333333333333
0,3,2,U,C,8,0.3333333333333333,0.2
0,3,2,R,C,9,0.375,0.23076923076923078
0,4,0,U,R,8,0.3333333333333333,0.2
0,4,0,U,C,9,0.375,0.23076923076923078
0,4,0,R,C,13,0.5416666666666666,0.37142857142857144
0,4,1,U,R,9,0.375,0.23076923076923078
0,4,1,U,C,8,0.3333333333333333,0.2
0,4,1,R,C,13,0.5416666666666666,0.37142857142857144
0,4,2,U,R,9,0.375,0.23076923076923078
0,4,2,U,C,8,0.3333333333333333,0.2
0,4,2,R,C,13,0.5416666666666666,0.37142857142857144
0,5,0,U,R,9,0.375,0.23076923076923078
0,5,0,U,C,11,0.4583333333333333,0.2972972972972973
0,5,0,R,C,10,0.4166666666666667,0.2631578947368421
0,5,1,U,R,10,0.4166666666666667,0.2631578947368421
0,5,1,U,C,8,0.3333333333333333,0.2
0,5,1,R,C,10,0.4166666666666667,0.2631578947368421
0,5,2,U,R,11,0.4583333333333333,0.2972972972972973
0,5,2,U,C,8,0.3333333333333333,0.2
0,5,2,R,C,10,0.4166666666666667,0.2631578947368421
1,0,0,U,R,12,0.5,0.3333333333333333
1,0,0,U,C,7,0.2916666666666667,0.17073170731707318
1,0,0,R,C,12,0.5,0.3333333333333333
1,0,1,U,R,10,0.4166666666666667,0.2631578947368421
1,0,1,U,C,8,0.3333333333333333,0.2
1,0,1,R,C,12,0.5,0.3333333333333333
1,0,2,U,R,8,0.3333333333333333,0.2
1,0,2,U,C,6,0.25,0.14285714285714285
1,0,2,R,C,12,0.5,0.3333333333333333
1,1,0,U,R,11,0.4583333333333333,0.2972972972972973
1,1,0,U,C,11,0.4583333333333333,0.2972972972972973
1,1,0,R,C,9,0.375,0.23076923076923078
1,1,1,U,R,9,0.375,0.23076923076923078
1,1,1,U,C,14,0.5833333333333334,0.4117647058823529
1,1,1,R,C,9,0.375,0.23076923076923078
1,1,2,U,R,9,0.375,0.23076923076923078
1,1,2,U,C,10,0.4166666666666667,0.2631578947368421
1,1,2,R,C,9,0.375,0.23076923076923078
1,2,0,U,R,8,0.3333333333333333,0.2
1,2,0,U,C,9,0.375,0.23076923076923078
1,2,0,R,C,8,0.3333333333333333,0.2
1,2,1,U,R,7,0.2916666666666667,0.17073170731707318
1,2,1,U,C,10,0.4166666666666667,0.2631578947368421
1,2,1,R,C,8,0.3333333333333333,0.2
1,2,2,U,R,10,0.4166666666666667,0.2631578947368421
1,2,2,U,C,9,0.375,0.23076923076923078
1,2,2,R,C,8,0.3333333333333333,0.2
1,3,0,U,R,11,0.4583333333333333,0.2972972972972973
1,3,0,U,C,11,0.4583333333333333,0.2972972972972973
1,3,0,R,C,8,0.3333333333333333,0.2
1,3,1,U,R,10,0.4166666666666667,0.2631578947368421
1,3,1,U,C,10,0.4166666666666667,0.2631578947368421
1,3,1,R,C,8,0.3333333333333333,0.2
1,3,2,U,R,14,0.5833333333333334,0.4117647058823529
1,3,2,U,C,13,0.5416666666666666,0.37142857142857144
1,3,2,R,C,8,0.3333333333333333,0.2
1,4,0,U,R,10,0.4166666666666667,0.2631578947368421
1,4,0,U,C,12,0.5,0.3333333333333333
1,4,0,R,C,13,0.5416666666666666,0.37142857142857144
1,4,1,U,R,10,0.4166666666666667,0.2631578947368421
1,4,1,U,C,8,0.3333333333333333,0.2
1,4,1,R,C,13,0.5416666666666666,0.37142857142857144
1,4,2,U,R,10,0.4166666666666667,0.2631578947368421
1,4,2,U,C,7,0.2916666666666667,0.17073170731707318
1,4,2,R,C,13,0.5416666666666666,0.37142857142857144
1,5,0,U,R,9,0.375,0.23076923076923078
1,5,0,U,C,10,0.4166666666666667,0.2631578947368421
1,5,0,R,C,9,0.375,0.23076923076923078
