model,checkpoint,contrast,role,n_speakers,difference_pp,ci95_low_pp,ci95_high_pp,repeat_differences_pp
cnn,best,C-U,primary,91,-0.10915010915010832,-0.7150257150257138,0.5087505087505088,"[0.23171273171273354, -0.9032634032634032, 0.3441003441003447]"
cnn,best,R-U,secondary_or_sensitivity,91,0.455562955562956,-0.2835127835127835,1.1900368150368148,"[1.2251637251637262, -1.1571761571761567, 1.298701298701298]"
cnn,last,C-U,secondary_or_sensitivity,91,-0.652125652125652,-1.4171361046361048,0.07354913604913643,"[-1.3542013542013538, -1.1294261294261287, 0.5272505272505263]"
cnn,last,R-U,secondary_or_sensitivity,91,-0.005550005550005552,-0.8181748806748809,0.8126248751248754,"[0.02775002775002799, 0.04162504162504226, -0.08602508602508695]"
ridge_wavlm,best,C-U,secondary_or_sensitivity,91,-0.48747548747548775,-1.1867993117993125,0.2090617715617712,"[0.338550338550339, -1.7260517260517259, -0.07492507492507659]"
ridge_wavlm,best,R-U,secondary_or_sensitivity,91,0.05411255411255414,-0.6054131054131052,0.7145747770747769,"[-0.1831501831501826, 0.20951270951270984, 0.13597513597513522]"
ridge_wavlm,last,C-U,secondary_or_sensitivity,91,-0.48747548747548775,-1.1867993117993125,0.2090617715617712,"[0.338550338550339, -1.7260517260517259, -0.07492507492507659]"
ridge_wavlm,last,R-U,secondary_or_sensitivity,91,0.05411255411255414,-0.6054131054131052,0.7145747770747769,"[-0.1831501831501826, 0.20951270951270984, 0.13597513597513522]"
wavlm_ft,best,C-U,secondary_or_sensitivity,91,0.07492507492507494,-0.9462932900432902,1.113556582306581,"[-0.19425019425019466, 0.34410034410034457]"
wavlm_ft,best,R-U,secondary_or_sensitivity,91,0.22477522477522402,-0.7284382284382296,1.2050449550449538,"[-0.04023754023754103, 0.48978798978798904]"
wavlm_ft,last,C-U,secondary_or_sensitivity,91,1.0302197802197794,0.03676878676878644,2.0236707736707724,"[1.1766011766011764, 0.8838383838383832]"
wavlm_ft,last,R-U,secondary_or_sensitivity,91,-1.1037573537573537,-2.1180208680208676,-0.10331682206682352,"[-1.9869019869019866, -0.22061272061272122]"
