model,checkpoint,contrast,fold,n_speakers,difference_pp_descriptive
cnn,best,C-U,0,19,1.00788587630693
cnn,best,C-U,1,19,-0.10411128832181513
cnn,best,C-U,2,19,-0.39650894914052603
cnn,best,C-U,3,17,-0.1931075460487218
cnn,best,C-U,4,17,-0.9581105169340458
cnn,best,R-U,0,19,0.8594719121034908
cnn,best,R-U,1,19,-0.11075668970405744
cnn,best,R-U,2,19,1.0898458266879327
cnn,best,R-U,3,17,0.3961180431768678
cnn,best,R-U,4,17,-0.01237868884927745
cnn,last,C-U,0,19,0.6003012581959941
cnn,last,C-U,1,19,-1.3490164805954274
cnn,last,C-U,2,19,-1.4774942406521345
cnn,last,C-U,3,17,0.5793226381461677
cnn,last,C-U,4,17,-1.581996434937611
cnn,last,R-U,0,19,-0.19271664008506212
cnn,last,R-U,1,19,-0.16613503455608733
cnn,last,R-U,2,19,0.4142300194931792
cnn,last,R-U,3,17,-0.13121410180233728
cnn,last,R-U,4,17,0.03961180431768576
ridge_wavlm,best,C-U,0,19,-1.6303384724437353
ridge_wavlm,best,C-U,1,19,0.2680311890838198
ridge_wavlm,best,C-U,2,19,-0.5471380471380476
ridge_wavlm,best,C-U,3,17,-0.5273321449792043
ridge_wavlm,best,C-U,4,17,0.05199049316696373
ridge_wavlm,best,R-U,0,19,-0.30347332978911923
ridge_wavlm,best,R-U,1,19,-0.6025163919900766
ridge_wavlm,best,R-U,2,19,0.8816232500443026
ridge_wavlm,best,R-U,3,17,0.7377698554169144
ridge_wavlm,best,R-U,4,17,-0.4208754208754207
ridge_wavlm,last,C-U,0,19,-1.6303384724437353
ridge_wavlm,last,C-U,1,19,0.2680311890838198
ridge_wavlm,last,C-U,2,19,-0.5471380471380476
ridge_wavlm,last,C-U,3,17,-0.5273321449792043
ridge_wavlm,last,C-U,4,17,0.05199049316696373
ridge_wavlm,last,R-U,0,19,-0.30347332978911923
ridge_wavlm,last,R-U,1,19,-0.6025163919900766
ridge_wavlm,last,R-U,2,19,0.8816232500443026
ridge_wavlm,last,R-U,3,17,0.7377698554169144
ridge_wavlm,last,R-U,4,17,-0.4208754208754207
wavlm_ft,best,C-U,0,19,2.804359383306753
wavlm_ft,best,C-U,1,19,1.2028176501860717
wavlm_ft,best,C-U,2,19,0.7941254651780966
wavlm_ft,best,C-U,3,17,-4.422905525846704
wavlm_ft,best,C-U,4,17,-0.5421865715983356
wavlm_ft,best,R-U,0,19,0.37878787878787834
wavlm_ft,best,R-U,1,19,-0.5216640085061139
wavlm_ft,best,R-U,2,19,3.1964380648591155
wavlm_ft,best,R-U,3,17,-1.9942067736185394
wavlm_ft,best,R-U,4,17,-0.21538918597742218
wavlm_ft,last,C-U,0,19,2.7279372674109497
wavlm_ft,last,C-U,1,19,3.282828282828285
wavlm_ft,last,C-U,2,19,0.5050505050505055
wavlm_ft,last,C-U,3,17,-1.4780154486036847
wavlm_ft,last,C-U,4,17,-0.28966131907308595
wavlm_ft,last,R-U,0,19,0.31897926634768636
wavlm_ft,last,R-U,1,19,-2.6947102604997313
wavlm_ft,last,R-U,2,19,0.006645401382244798
wavlm_ft,last,R-U,3,17,-1.8605169340463472
wavlm_ft,last,R-U,4,17,-1.4000297088532405
