model,policy,checkpoint,repeat,repeat_type,speaker,fold,uar_percent,query_records,minimum_class_support
cnn,U,best,0,panel_draw,1001,1,23.611111111111114,72,12
cnn,U,best,0,panel_draw,1002,3,38.88888888888889,71,11
cnn,U,best,0,panel_draw,1003,4,40.27777777777777,72,12
cnn,U,best,0,panel_draw,1004,1,45.83333333333333,72,12
cnn,U,best,0,panel_draw,1005,1,37.5,72,12
cnn,U,best,0,panel_draw,1006,3,29.924242424242426,70,11
cnn,U,best,0,panel_draw,1007,2,33.33333333333333,72,12
cnn,U,best,0,panel_draw,1008,2,33.33333333333333,66,11
cnn,U,best,0,panel_draw,1009,3,56.06060606060607,66,11
cnn,U,best,0,panel_draw,1010,0,55.55555555555556,72,12
cnn,U,best,0,panel_draw,1011,0,45.83333333333333,72,12
cnn,U,best,0,panel_draw,1012,3,43.05555555555555,72,12
cnn,U,best,0,panel_draw,1013,0,53.28282828282828,70,11
cnn,U,best,0,panel_draw,1014,3,48.611111111111114,72,12
cnn,U,best,0,panel_draw,1015,3,40.27777777777777,72,12
cnn,U,best,0,panel_draw,1016,4,33.33333333333333,72,12
cnn,U,best,0,panel_draw,1017,1,37.87878787878788,70,11
cnn,U,best,0,panel_draw,1018,1,58.333333333333336,72,12
cnn,U,best,0,panel_draw,1019,0,42.424242424242415,66,11
cnn,U,best,0,panel_draw,1020,0,40.27777777777777,72,12
cnn,U,best,0,panel_draw,1021,3,40.277777777777786,72,12
cnn,U,best,0,panel_draw,1022,1,36.11111111111111,72,12
cnn,U,best,0,panel_draw,1023,3,48.61111111111111,72,12
cnn,U,best,0,panel_draw,1024,2,36.11111111111111,72,12
cnn,U,best,0,panel_draw,1025,0,23.611111111111107,72,12
cnn,U,best,0,panel_draw,1026,4,44.44444444444444,72,12
cnn,U,best,0,panel_draw,1027,3,48.611111111111114,72,12
cnn,U,best,0,panel_draw,1028,1,41.66666666666667,72,12
cnn,U,best,0,panel_draw,1029,1,38.88888888888889,72,12
cnn,U,best,0,panel_draw,1030,0,48.61111111111111,72,12
cnn,U,best,0,panel_draw,1031,2,33.33333333333333,72,12
cnn,U,best,0,panel_draw,1032,0,36.11111111111111,72,12
cnn,U,best,0,panel_draw,1033,3,55.55555555555555,72,12
cnn,U,best,0,panel_draw,1034,0,43.05555555555556,72,12
cnn,U,best,0,panel_draw,1035,4,44.44444444444444,72,12
cnn,U,best,0,panel_draw,1036,3,30.555555555555554,72,12
cnn,U,best,0,panel_draw,1037,3,61.11111111111111,72,12
cnn,U,best,0,panel_draw,1038,0,54.166666666666664,72,12
cnn,U,best,0,panel_draw,1039,4,40.27777777777777,72,12
cnn,U,best,0,panel_draw,1040,1,43.05555555555556,71,11
cnn,U,best,0,panel_draw,1041,1,50.0,72,12
cnn,U,best,0,panel_draw,1042,4,30.555555555555554,72,12
cnn,U,best,0,panel_draw,1043,4,50.0,72,12
cnn,U,best,0,panel_draw,1044,2,50.0,72,12
cnn,U,best,0,panel_draw,1045,0,36.11111111111111,72,12
cnn,U,best,0,panel_draw,1046,2,37.5,72,12
cnn,U,best,0,panel_draw,1047,1,51.38888888888889,72,12
cnn,U,best,0,panel_draw,1048,2,51.38888888888889,72,12
cnn,U,best,0,panel_draw,1049,3,44.44444444444444,72,12
cnn,U,best,0,panel_draw,1050,2,50.0,72,12
cnn,U,best,0,panel_draw,1051,3,55.55555555555555,72,12
cnn,U,best,0,panel_draw,1052,0,40.27777777777777,72,12
cnn,U,best,0,panel_draw,1053,0,44.44444444444445,72,12
cnn,U,best,0,panel_draw,1054,4,30.555555555555554,72,12
cnn,U,best,0,panel_draw,1055,1,48.61111111111111,72,12
cnn,U,best,0,panel_draw,1056,2,45.83333333333333,72,12
cnn,U,best,0,panel_draw,1057,1,43.05555555555556,72,12
cnn,U,best,0,panel_draw,1058,4,45.83333333333333,72,12
cnn,U,best,0,panel_draw,1059,2,33.33333333333333,72,12
cnn,U,best,0,panel_draw,1060,2,31.944444444444446,72,12
cnn,U,best,0,panel_draw,1061,0,30.555555555555554,72,12
cnn,U,best,0,panel_draw,1062,4,37.5,72,12
cnn,U,best,0,panel_draw,1063,2,54.166666666666664,72,12
cnn,U,best,0,panel_draw,1064,1,48.611111111111114,72,12
cnn,U,best,0,panel_draw,1065,1,58.333333333333336,72,12
cnn,U,best,0,panel_draw,1066,4,41.66666666666667,72,12
cnn,U,best,0,panel_draw,1067,4,40.27777777777777,72,12
cnn,U,best,0,panel_draw,1068,0,38.88888888888889,72,12
cnn,U,best,0,panel_draw,1069,4,31.944444444444446,72,12
cnn,U,best,0,panel_draw,1070,2,50.0,72,12
cnn,U,best,0,panel_draw,1071,2,29.166666666666668,72,12
cnn,U,best,0,panel_draw,1072,3,38.88888888888889,72,12
cnn,U,best,0,panel_draw,1073,4,43.05555555555556,72,12
cnn,U,best,0,panel_draw,1074,4,31.944444444444443,72,12
cnn,U,best,0,panel_draw,1075,1,37.5,72,12
cnn,U,best,0,panel_draw,1076,4,37.5,70,11
cnn,U,best,0,panel_draw,1077,3,34.722222222222214,72,12
cnn,U,best,0,panel_draw,1078,1,47.222222222222214,72,12
cnn,U,best,0,panel_draw,1079,2,43.05555555555556,72,12
cnn,U,best,0,panel_draw,1080,3,50.0,72,12
cnn,U,best,0,panel_draw,1081,2,48.611111111111114,72,12
cnn,U,best,0,panel_draw,1082,2,26.38888888888889,72,12
cnn,U,best,0,panel_draw,1083,2,47.22222222222223,72,12
cnn,U,best,0,panel_draw,1084,4,29.166666666666668,72,12
cnn,U,best,0,panel_draw,1085,0,59.72222222222222,72,12
cnn,U,best,0,panel_draw,1086,0,45.83333333333333,72,12
cnn,U,best,0,panel_draw,1087,0,27.77777777777778,72,12
cnn,U,best,0,panel_draw,1088,2,40.277777777777786,72,12
cnn,U,best,0,panel_draw,1089,0,58.333333333333336,72,12
cnn,U,best,0,panel_draw,1090,1,48.611111111111114,72,12
cnn,U,best,0,panel_draw,1091,1,33.33333333333333,72,12
cnn,U,best,1,panel_draw,1001,1,26.38888888888889,72,12
cnn,U,best,1,panel_draw,1002,3,45.2020202020202,71,11
