model,policy,checkpoint,speaker,fold,uar_percent
cnn,U,best,1001,1,25.0
cnn,U,best,1002,3,43.13973063973064
cnn,U,best,1003,4,39.351851851851855
cnn,U,best,1004,1,44.44444444444445
cnn,U,best,1005,1,35.648148148148145
cnn,U,best,1006,3,34.51178451178451
cnn,U,best,1007,2,34.25925925925926
cnn,U,best,1008,2,31.818181818181817
cnn,U,best,1009,3,54.04040404040404
cnn,U,best,1010,0,51.38888888888889
cnn,U,best,1011,0,49.074074074074076
cnn,U,best,1012,3,39.35185185185185
cnn,U,best,1013,0,54.545454545454554
cnn,U,best,1014,3,50.925925925925924
cnn,U,best,1015,3,41.203703703703695
cnn,U,best,1016,4,40.74074074074074
cnn,U,best,1017,1,35.016835016835024
cnn,U,best,1018,1,56.48148148148149
cnn,U,best,1019,0,44.94949494949494
cnn,U,best,1020,0,45.37037037037036
cnn,U,best,1021,3,40.27777777777778
cnn,U,best,1022,1,38.425925925925924
cnn,U,best,1023,3,43.05555555555555
cnn,U,best,1024,2,33.33333333333333
cnn,U,best,1025,0,28.240740740740737
cnn,U,best,1026,4,48.148148148148145
cnn,U,best,1027,3,51.388888888888886
cnn,U,best,1028,1,40.277777777777786
cnn,U,best,1029,1,37.5
cnn,U,best,1030,0,46.296296296296305
cnn,U,best,1031,2,33.79629629629629
cnn,U,best,1032,0,42.592592592592595
cnn,U,best,1033,3,52.77777777777777
cnn,U,best,1034,0,45.37037037037038
cnn,U,best,1035,4,45.833333333333336
cnn,U,best,1036,3,30.09259259259259
cnn,U,best,1037,3,53.7037037037037
cnn,U,best,1038,0,56.48148148148149
cnn,U,best,1039,4,43.98148148148149
cnn,U,best,1040,1,43.51851851851851
cnn,U,best,1041,1,51.85185185185185
cnn,U,best,1042,4,29.16666666666666
cnn,U,best,1043,4,55.555555555555564
cnn,U,best,1044,2,47.22222222222223
cnn,U,best,1045,0,39.35185185185185
cnn,U,best,1046,2,34.72222222222222
cnn,U,best,1047,1,51.38888888888889
cnn,U,best,1048,2,50.0
cnn,U,best,1049,3,46.2962962962963
cnn,U,best,1050,2,53.7037037037037
cnn,U,best,1051,3,56.01851851851851
cnn,U,best,1052,0,41.666666666666664
cnn,U,best,1053,0,46.2962962962963
cnn,U,best,1054,4,32.40740740740741
cnn,U,best,1055,1,47.22222222222223
cnn,U,best,1056,2,46.2962962962963
cnn,U,best,1057,1,41.20370370370371
cnn,U,best,1058,4,44.44444444444445
cnn,U,best,1059,2,33.33333333333333
cnn,U,best,1060,2,31.48148148148148
cnn,U,best,1061,0,33.333333333333336
cnn,U,best,1062,4,45.370370370370374
cnn,U,best,1063,2,52.77777777777777
cnn,U,best,1064,1,48.14814814814815
cnn,U,best,1065,1,52.31481481481482
cnn,U,best,1066,4,46.75925925925926
cnn,U,best,1067,4,36.57407407407407
cnn,U,best,1068,0,46.2962962962963
cnn,U,best,1069,4,37.037037037037045
cnn,U,best,1070,2,44.90740740740741
cnn,U,best,1071,2,31.48148148148148
cnn,U,best,1072,3,43.51851851851851
cnn,U,best,1073,4,40.27777777777777
cnn,U,best,1074,4,30.09259259259259
cnn,U,best,1075,1,35.18518518518518
cnn,U,best,1076,4,39.351851851851855
cnn,U,best,1077,3,36.57407407407407
cnn,U,best,1078,1,46.75925925925926
cnn,U,best,1079,2,42.12962962962963
cnn,U,best,1080,3,53.7037037037037
cnn,U,best,1081,2,46.75925925925926
cnn,U,best,1082,2,26.85185185185185
cnn,U,best,1083,2,45.37037037037038
cnn,U,best,1084,4,30.555555555555557
cnn,U,best,1085,0,60.18518518518518
cnn,U,best,1086,0,44.90740740740741
cnn,U,best,1087,0,28.240740740740744
cnn,U,best,1088,2,39.351851851851855
cnn,U,best,1089,0,54.629629629629626
cnn,U,best,1090,1,48.611111111111114
cnn,U,best,1091,1,35.18518518518518
cnn,R,best,1001,1,20.833333333333332
cnn,R,best,1002,3,45.2020202020202
cnn,R,best,1003,4,42.59259259259259
cnn,R,best,1004,1,45.370370370370374
cnn,R,best,1005,1,37.50000000000001
cnn,R,best,1006,3,35.016835016835024
cnn,R,best,1007,2,41.666666666666664
cnn,R,best,1008,2,24.74747474747475
cnn,R,best,1009,3,54.04040404040404
cnn,R,best,1010,0,53.24074074074074
cnn,R,best,1011,0,46.2962962962963
cnn,R,best,1012,3,39.81481481481482
cnn,R,best,1013,0,57.02861952861952
cnn,R,best,1014,3,51.851851851851855
cnn,R,best,1015,3,40.74074074074074
cnn,R,best,1016,4,38.888888888888886
cnn,R,best,1017,1,31.565656565656568
cnn,R,best,1018,1,54.166666666666664
cnn,R,best,1019,0,44.444444444444436
cnn,R,best,1020,0,48.61111111111111
cnn,R,best,1021,3,37.96296296296296
cnn,R,best,1022,1,42.129629629629626
cnn,R,best,1023,3,45.833333333333336
cnn,R,best,1024,2,41.2037037037037
cnn,R,best,1025,0,28.240740740740737
cnn,R,best,1026,4,50.46296296296297
cnn,R,best,1027,3,54.629629629629626
cnn,R,best,1028,1,47.22222222222223
cnn,R,best,1029,1,36.111111111111114
cnn,R,best,1030,0,52.31481481481482
cnn,R,best,1031,2,37.03703703703704
cnn,R,best,1032,0,41.20370370370371
cnn,R,best,1033,3,43.98148148148149
cnn,R,best,1034,0,46.75925925925926
cnn,R,best,1035,4,47.68518518518519
cnn,R,best,1036,3,36.574074074074076
cnn,R,best,1037,3,48.14814814814815
cnn,R,best,1038,0,60.18518518518518
cnn,R,best,1039,4,43.05555555555555
cnn,R,best,1040,1,40.235690235690235
cnn,R,best,1041,1,47.22222222222223
cnn,R,best,1042,4,28.240740740740737
cnn,R,best,1043,4,54.629629629629626
cnn,R,best,1044,2,50.0
cnn,R,best,1045,0,44.90740740740741
cnn,R,best,1046,2,40.27777777777778
cnn,R,best,1047,1,50.925925925925924
cnn,R,best,1048,2,47.68518518518518
cnn,R,best,1049,3,50.0
cnn,R,best,1050,2,55.09259259259259
cnn,R,best,1051,3,54.629629629629626
cnn,R,best,1052,0,44.444444444444436
cnn,R,best,1053,0,47.22222222222222
cnn,R,best,1054,4,27.314814814814813
cnn,R,best,1055,1,49.074074074074076
cnn,R,best,1056,2,43.51851851851851
cnn,R,best,1057,1,41.2037037037037
cnn,R,best,1058,4,49.53703703703704
cnn,R,best,1059,2,32.407407407407405
cnn,R,best,1060,2,35.64814814814815
cnn,R,best,1061,0,37.96296296296296
cnn,R,best,1062,4,41.666666666666664
cnn,R,best,1063,2,57.40740740740741
cnn,R,best,1064,1,49.07407407407408
cnn,R,best,1065,1,49.53703703703704
cnn,R,best,1066,4,48.14814814814815
cnn,R,best,1067,4,37.03703703703704
cnn,R,best,1068,0,43.98148148148149
cnn,R,best,1069,4,38.888888888888886
cnn,R,best,1070,2,35.18518518518518
cnn,R,best,1071,2,40.74074074074075
cnn,R,best,1072,3,47.68518518518518
cnn,R,best,1073,4,40.74074074074074
cnn,R,best,1074,4,30.555555555555554
cnn,R,best,1075,1,35.648148148148145
cnn,R,best,1076,4,37.28956228956229
cnn,R,best,1077,3,39.35185185185185
cnn,R,best,1078,1,48.14814814814815
cnn,R,best,1079,2,38.425925925925924
cnn,R,best,1080,3,51.85185185185185
cnn,R,best,1081,2,50.0
cnn,R,best,1082,2,25.462962962962962
cnn,R,best,1083,2,46.75925925925926
cnn,R,best,1084,4,28.703703703703706
cnn,R,best,1085,0,56.944444444444436
cnn,R,best,1086,0,47.68518518518518
cnn,R,best,1087,0,27.314814814814813
cnn,R,best,1088,2,37.03703703703703
cnn,R,best,1089,0,46.75925925925927
cnn,R,best,1090,1,51.388888888888886
cnn,R,best,1091,1,34.722222222222214
cnn,C,best,1001,1,22.685185185185187
cnn,C,best,1002,3,40.36195286195286
cnn,C,best,1003,4,41.2037037037037
cnn,C,best,1004,1,43.05555555555555
cnn,C,best,1005,1,36.111111111111114
cnn,C,best,1006,3,36.111111111111114
cnn,C,best,1007,2,36.11111111111111
cnn,C,best,1008,2,30.3030303030303
cnn,C,best,1009,3,56.56565656565656
cnn,C,best,1010,0,50.925925925925924
cnn,C,best,1011,0,48.14814814814815
cnn,C,best,1012,3,40.27777777777778
cnn,C,best,1013,0,57.070707070707066
cnn,C,best,1014,3,49.53703703703704
cnn,C,best,1015,3,35.18518518518518
cnn,C,best,1016,4,40.27777777777778
cnn,C,best,1017,1,35.85858585858586
cnn,C,best,1018,1,54.629629629629626
cnn,C,best,1019,0,44.444444444444436
cnn,C,best,1020,0,47.68518518518518
cnn,C,best,1021,3,40.27777777777778
cnn,C,best,1022,1,40.27777777777778
cnn,C,best,1023,3,39.351851851851855
cnn,C,best,1024,2,31.944444444444446
cnn,C,best,1025,0,31.01851851851852
cnn,C,best,1026,4,47.68518518518519
cnn,C,best,1027,3,56.018518518518526
cnn,C,best,1028,1,43.05555555555555
cnn,C,best,1029,1,42.129629629629626
cnn,C,best,1030,0,52.77777777777778
cnn,C,best,1031,2,28.703703703703706
cnn,C,best,1032,0,40.27777777777778
cnn,C,best,1033,3,47.22222222222222
cnn,C,best,1034,0,49.537037037037045
cnn,C,best,1035,4,42.5925925925926
cnn,C,best,1036,3,31.94444444444444
cnn,C,best,1037,3,48.61111111111112
cnn,C,best,1038,0,56.94444444444445
cnn,C,best,1039,4,42.59259259259259
cnn,C,best,1040,1,42.55050505050505
cnn,C,best,1041,1,45.833333333333336
cnn,C,best,1042,4,31.01851851851852
cnn,C,best,1043,4,52.77777777777778
cnn,C,best,1044,2,46.75925925925927
cnn,C,best,1045,0,43.055555555555564
cnn,C,best,1046,2,39.351851851851855
cnn,C,best,1047,1,51.85185185185185
cnn,C,best,1048,2,51.85185185185185
cnn,C,best,1049,3,50.925925925925924
cnn,C,best,1050,2,50.0
cnn,C,best,1051,3,53.24074074074074
cnn,C,best,1052,0,39.81481481481482
cnn,C,best,1053,0,53.7037037037037
cnn,C,best,1054,4,27.314814814814813
cnn,C,best,1055,1,46.296296296296305
cnn,C,best,1056,2,43.51851851851851
cnn,C,best,1057,1,39.351851851851855
cnn,C,best,1058,4,46.2962962962963
cnn,C,best,1059,2,30.09259259259259
cnn,C,best,1060,2,31.48148148148148
cnn,C,best,1061,0,38.425925925925924
cnn,C,best,1062,4,42.592592592592595
cnn,C,best,1063,2,52.77777777777777
cnn,C,best,1064,1,47.22222222222222
cnn,C,best,1065,1,49.53703703703704
cnn,C,best,1066,4,45.833333333333336
cnn,C,best,1067,4,34.72222222222222
cnn,C,best,1068,0,43.05555555555555
cnn,C,best,1069,4,32.870370370370374
cnn,C,best,1070,2,43.98148148148149
cnn,C,best,1071,2,34.25925925925926
cnn,C,best,1072,3,46.2962962962963
cnn,C,best,1073,4,39.81481481481482
cnn,C,best,1074,4,29.62962962962963
cnn,C,best,1075,1,37.03703703703704
cnn,C,best,1076,4,38.341750841750844
cnn,C,best,1077,3,40.27777777777777
