model,policy,checkpoint,n_speakers,n_repetitions,mean_speaker_uar_percent,q25_speaker_uar_percent_descriptive,repeat_population_means_percent
cnn,U,best,91,3,42.73874273874274,36.11111111111111,"[42.278554778554785, 43.60916860916861, 42.328504828504826]"
cnn,R,best,91,3,43.19430569430569,37.73148148148148,"[43.50371850371851, 42.45199245199245, 43.62720612720613]"
cnn,C,best,91,3,42.62959262959263,37.03703703703704,"[42.51026751026751, 42.70590520590521, 42.67260517260518]"
cnn,U,last,91,3,44.10496910496911,38.88888888888889,"[44.150294150294144, 44.287656787656786, 43.87695637695638]"
cnn,R,last,91,3,44.099419099419094,38.19444444444444,"[44.17804417804418, 44.329281829281825, 43.7909312909313]"
cnn,C,last,91,3,43.45284345284346,38.19444444444444,"[42.7960927960928, 43.15823065823066, 44.4042069042069]"
ridge_wavlm,U,best,91,3,28.208828208828216,26.262626262626263,"[28.45071595071595, 28.746253746253753, 27.429514929514934]"
ridge_wavlm,R,best,91,3,28.262940762940765,26.157407407407405,"[28.267565767565763, 28.95576645576645, 27.565490065490064]"
ridge_wavlm,C,best,91,3,27.72135272135272,25.0,"[28.78926628926629, 27.02020202020202, 27.354589854589854]"
ridge_wavlm,U,last,91,3,28.208828208828216,26.262626262626263,"[28.45071595071595, 28.746253746253753, 27.429514929514934]"
ridge_wavlm,R,last,91,3,28.262940762940765,26.157407407407405,"[28.267565767565763, 28.95576645576645, 27.565490065490064]"
ridge_wavlm,C,last,91,3,27.72135272135272,25.0,"[28.78926628926629, 27.02020202020202, 27.354589854589854]"
wavlm_ft,U,best,91,2,54.39352314352313,49.30555555555556,"[54.943667443667444, 53.84337884337884]"
wavlm_ft,R,best,91,2,54.618298368298376,48.611111111111114,"[54.90342990342989, 54.333166833166835]"
wavlm_ft,C,best,91,2,54.46844821844823,47.56944444444445,"[54.74941724941724, 54.1874791874792]"
wavlm_ft,U,last,91,2,54.680735930735935,48.95833333333334,"[54.853479853479854, 54.507992007992]"
wavlm_ft,R,last,91,2,53.576978576978576,48.611111111111114,"[52.86657786657786, 54.28737928737929]"
wavlm_ft,C,last,91,2,55.7109557109557,50.0,"[56.03008103008102, 55.39183039183039]"
