attempt_id,voice_id,emotion,retrieved_anchor_voice_id,anchor_retrieval_matches_description,own_anchor_cosine,best_other_anchor_cosine,own_minus_other_margin
a001,F1,ANG,F2,0,0.2467443346977234,0.330285906791687,-0.08354157209396362
a002,F1,ANG,F2,0,0.12766848504543304,0.3227120041847229,-0.19504351913928986
a003,F1,ANG,F2,0,0.20672808587551117,0.25816184282302856,-0.051433756947517395
a004,F1,ANG,F2,0,0.19468806684017181,0.28369393944740295,-0.08900587260723114
a005,F1,DIS,F2,0,0.18311083316802979,0.282604455947876,-0.09949362277984619
a006,F1,DIS,F2,0,0.22148531675338745,0.28219130635261536,-0.060705989599227905
a007,F1,DIS,F1,1,0.3041716516017914,0.1987750232219696,0.10539662837982178
a008,F1,DIS,F1,1,0.3311995565891266,0.12170203030109406,0.20949752628803253
a009,F1,FEA,F2,0,0.1757575273513794,0.2543066143989563,-0.0785490870475769
a010,F1,FEA,F1,1,0.13411760330200195,0.052321657538414,0.08179594576358795
a011,F1,FEA,F1,1,0.2332528531551361,0.22658663988113403,0.006666213274002075
a012,F1,FEA,F2,0,-0.00923630315810442,0.1912548840045929,-0.20049118995666504
a013,F1,HAP,F2,0,0.033453866839408875,0.217405766248703,-0.18395189940929413
a014,F1,HAP,F2,0,0.015515521168708801,0.20144474506378174,-0.18592922389507294
a015,F1,HAP,F1,1,0.2057245969772339,0.19941961765289307,0.00630497932434082
a016,F1,HAP,F2,0,-0.0145786227658391,0.29496708512306213,-0.30954569578170776
a017,F1,NEU,F2,0,0.13443145155906677,0.34129393100738525,-0.20686247944831848
a018,F1,NEU,F2,0,0.12174735963344574,0.12966713309288025,-0.00791977345943451
a019,F1,NEU,F2,0,0.1922720968723297,0.24793890118598938,-0.05566680431365967
a020,F1,NEU,F1,1,0.10209157317876816,0.08192859590053558,0.020162977278232574
a021,F1,SAD,F2,0,0.13263393938541412,0.1942051202058792,-0.06157118082046509
a022,F1,SAD,F2,0,0.09562250226736069,0.17772457003593445,-0.08210206776857376
a023,F1,SAD,F2,0,0.13709041476249695,0.17484241724014282,-0.037752002477645874
a024,F1,SAD,F1,1,0.37708234786987305,0.21390198171138763,0.1631803661584854
a026,F2,ANG,F2,1,0.2375546097755432,0.18299387395381927,0.05456073582172394
a027,F2,ANG,F2,1,0.23990419507026672,0.1414589285850525,0.09844526648521423
a028,F2,ANG,F2,1,0.305807888507843,0.08413343131542206,0.22167445719242096
a029,F2,ANG,F2,1,0.23916321992874146,0.1639002114534378,0.07526300847530365
a030,F2,DIS,F2,1,0.39129531383514404,0.17702163755893707,0.21427367627620697
a031,F2,DIS,F2,1,0.4054417908191681,0.1992390900850296,0.2062027007341385
a032,F2,DIS,F2,1,0.24980515241622925,0.16644254326820374,0.08336260914802551
a033,F2,DIS,F2,1,0.2366582751274109,0.16645167768001556,0.07020659744739532
a034,F2,FEA,F2,1,0.20524032413959503,0.1784781813621521,0.026762142777442932
a035,F2,FEA,F2,1,0.2652367651462555,0.08961091935634613,0.17562584578990936
a036,F2,FEA,F2,1,0.16763964295387268,0.10254925489425659,0.06509038805961609
