speaker,mean_uar_pp,nn3_distance,global_loso_mean_distance,n_contexts,references_per_context,draw0_uar_pp,draw1_uar_pp,draw2_uar_pp,human_plurality_uar_pp,human_intended_vote_share_pp,human_agreement_pp,unique_query_paths,unique_aligned_paths,query_sets_identical_across_draws,unique_query_prompts,draw_class_counts
1001,22.222222222222225,0.6720929892159053,0.8760080723522002,18.0,8.0,20.833333333333336,23.611111111111114,22.22222222222222,34.49074074074075,32.868416305916305,61.55563572230239,72,72,True,12,"[{""A"": 12, ""D"": 12, ""F"": 12, ""H"": 12, ""N"": 12, ""S"": 12}, {""A"": 12, ""D"": 12, ""F"": 12, ""H"": 12, ""N"": 12, ""S"": 12}, {""A"": 12, ""D"": 12, ""F"": 12, ""H"": 12, ""N"": 12, ""S"": 12}]"
1003,41.20370370370371,0.5761813610486384,0.8081292877711095,18.0,8.0,41.66666666666667,41.66666666666667,40.277777777777786,56.25,45.969015552348885,60.35077962161296,72,72,True,12,"[{""A"": 12, ""D"": 12, ""F"": 12, ""H"": 12, ""N"": 12, ""S"": 12}, {""A"": 12, ""D"": 12, ""F"": 12, ""H"": 12, ""N"": 12, ""S"": 12}, {""A"": 12, ""D"": 12, ""F"": 12, ""H"": 12, ""N"": 12, ""S"": 12}]"
1004,42.12962962962962,0.5659846022739466,0.8421480013643325,18.0,8.0,40.27777777777777,43.05555555555555,43.05555555555555,52.54629629629628,46.86462842712842,62.23605098605098,72,72,True,12,"[{""A"": 12, ""D"": 12, ""F"": 12, ""H"": 12, ""N"": 12, ""S"": 12}, {""A"": 12, ""D"": 12, ""F"": 12, ""H"": 12, ""N"": 12, ""S"": 12}, {""A"": 12, ""D"": 12, ""F"": 12, ""H"": 12, ""N"": 12, ""S"": 12}]"
1005,33.7962962962963,0.5708071459829639,0.7975279064492357,18.0,8.0,30.555555555555557,33.33333333333333,37.5,52.77777777777778,45.28128507295175,62.33129910213244,72,72,True,12,"[{""A"": 12, ""D"": 12, ""F"": 12, ""H"": 12, ""N"": 12, ""S"": 12}, {""A"": 12, ""D"": 12, ""F"": 12, ""H"": 12, ""N"": 12, ""S"": 12}, {""A"": 12, ""D"": 12, ""F"": 12, ""H"": 12, ""N"": 12, ""S"": 12}]"
1007,40.27777777777778,0.5317251152695608,0.8067409068183201,18.0,8.0,40.27777777777777,36.11111111111111,44.44444444444445,34.606481481481474,32.95249118165785,58.89419993586662,72,72,True,12,"[{""A"": 12, ""D"": 12, ""F"": 12, ""H"": 12, ""N"": 12, ""S"": 12}, {""A"": 12, ""D"": 12, ""F"": 12, ""H"": 12, ""N"": 12, ""S"": 12}, {""A"": 12, ""D"": 12, ""F"": 12, ""H"": 12, ""N"": 12, ""S"": 12}]"
1010,49.53703703703704,0.5782218319143115,0.8035258408099457,18.0,8.0,45.83333333333333,50.0,52.77777777777778,49.074074074074076,40.439113355780016,62.64885962802631,72,72,True,12,"[{""A"": 12, ""D"": 12, ""F"": 12, ""H"": 12, ""N"": 12, ""S"": 12}, {""A"": 12, ""D"": 12, ""F"": 12, ""H"": 12, ""N"": 12, ""S"": 12}, {""A"": 12, ""D"": 12, ""F"": 12, ""H"": 12, ""N"": 12, ""S"": 12}]"
1011,52.77777777777778,0.45734235865977957,0.7811753096073517,18.0,8.0,48.611111111111114,56.94444444444444,52.77777777777778,38.19444444444444,36.70128868045535,64.42360109026775,72,72,True,12,"[{""A"": 12, ""D"": 12, ""F"": 12, ""H"": 12, ""N"": 12, ""S"": 12}, {""A"": 12, ""D"": 12, ""F"": 12, ""H"": 12, ""N"": 12, ""S"": 12}, {""A"": 12, ""D"": 12, ""F"": 12, ""H"": 12, ""N"": 12, ""S"": 12}]"
1012,40.74074074074074,0.5116349297294636,0.8350118419253003,18.0,8.0,43.05555555555555,34.72222222222223,44.44444444444444,54.629629629629626,42.34978755812089,61.10850569183902,72,72,True,12,"[{""A"": 12, ""D"": 12, ""F"": 12, ""H"": 12, ""N"": 12, ""S"": 12}, {""A"": 12, ""D"": 12, ""F"": 12, ""H"": 12, ""N"": 12, ""S"": 12}, {""A"": 12, ""D"": 12, ""F"": 12, ""H"": 12, ""N"": 12, ""S"": 12}]"
1013,56.60774410774411,0.5621618699989702,0.7938037636615493,18.0,8.0,58.964646464646464,53.28282828282828,57.57575757575758,61.38468013468012,51.28382945617793,63.96208203973356,70,70,True,12,"[{""A"": 12, ""D"": 11, ""F"": 12, ""H"": 12, ""N"": 12, ""S"": 11}, {""A"": 12, ""D"": 11, ""F"": 12, ""H"": 12, ""N"": 12, ""S"": 11}, {""A"": 12, ""D"": 11, ""F"": 12, ""H"": 12, ""N"": 12, ""S"": 11}]"
1014,53.7037037037037,0.6405222811364264,0.8571635504085418,18.0,8.0,51.38888888888889,51.38888888888889,58.333333333333336,41.66666666666667,38.42291967291967,61.74863716530384,72,72,True,12,"[{""A"": 12, ""D"": 12, ""F"": 12, ""H"": 12, ""N"": 12, ""S"": 12}, {""A"": 12, ""D"": 12, ""F"": 12, ""H"": 12, ""N"": 12, ""S"": 12}, {""A"": 12, ""D"": 12, ""F"": 12, ""H"": 12, ""N"": 12, ""S"": 12}]"
1015,41.666666666666664,0.597205928166311,0.808670753456672,18.0,8.0,44.44444444444444,40.27777777777777,40.27777777777777,45.601851851851855,39.8244849286516,63.588664421997755,72,72,True,12,"[{""A"": 12, ""D"": 12, ""F"": 12, ""H"": 12, ""N"": 12, ""S"": 12}, {""A"": 12, ""D"": 12, ""F"": 12, ""H"": 12, ""N"": 12, ""S"": 12}, {""A"": 12, ""D"": 12, ""F"": 12, ""H"": 12, ""N"": 12, ""S"": 12}]"
1016,41.666666666666664,0.5857200302880917,0.8279735072540466,18.0,8.0,45.83333333333333,40.277777777777786,38.88888888888889,52.77777777777778,46.55688832772167,63.22435666185666,72,72,True,12,"[{""A"": 12, ""D"": 12, ""F"": 12, ""H"": 12, ""N"": 12, ""S"": 12}, {""A"": 12, ""D"": 12, ""F"": 12, ""H"": 12, ""N"": 12, ""S"": 12}, {""A"": 12, ""D"": 12, ""F"": 12, ""H"": 12, ""N"": 12, ""S"": 12}]"
1017,35.01683501683502,0.5053150217627658,0.8052133592137058,18.0,8.0,39.267676767676775,34.974747474747474,30.808080808080806,18.876262626262626,22.597612124127277,67.0618705088402,70,70,True,12,"[{""A"": 11, ""D"": 12, ""F"": 11, ""H"": 12, ""N"": 12, ""S"": 12}, {""A"": 11, ""D"": 12, ""F"": 11, ""H"": 12, ""N"": 12, ""S"": 12}, {""A"": 11, ""D"": 12, ""F"": 11, ""H"": 12, ""N"": 12, ""S"": 12}]"
